Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,1. FC Köln,34,22,4,8,86:41,45,48:20
2,Bor. M'gladbach,34,20,8,6,86:44,42,48:20
3,Hertha BSC,34,15,10,9,59:48,11,40:28
4,VfB Stuttgart,34,17,5,12,58:40,18,39:29
5,F. Düsseldorf,34,15,9,10,49:36,13,39:29
6,MSV Duisburg,34,15,7,12,62:59,3,37:31
7,E. Frankfurt,34,16,4,14,59:52,7,36:32
8,1.FC K'lautern,34,16,4,14,64:63,1,36:32
9,FC Schalke 04,34,14,6,14,47:52,-5,34:34
10,Hamburger SV,34,14,6,14,61:67,-6,34:34
11,Bor. Dortmund,34,14,5,15,57:71,-14,33:35
12,Bayern Munich ,34,11,10,13,62:64,-2,32:36
13,E. Braunschweig,34,14,4,16,43:53,-10,32:36
14,VfL Bochum,34,11,9,14,49:51,-2,31:37
15,Werder Bremen,34,13,5,16,48:57,-9,31:37
16,1860 Munich,34,7,8,19,41:60,-19,22:46
17,Saarbrücken,34,6,10,18,39:70,-31,22:46
18,FC St. Pauli,34,6,6,22,44:86,-42,18:50
