Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,FC Barcelona,34,21,11,2,69:25,44,53:15
2,Atlético Madrid,34,16,11,7,51:28,23,43:25
3,Athletic,34,13,15,6,39:26,13,41:27
4,Sporting Gijón,34,13,15,6,34:23,11,41:27
5,Real Madrid,34,13,10,11,46:36,10,36:32
6,CA Osasuna,34,13,8,13,38:38,0,34:34
7,Real Sociedad,34,11,12,11,41:33,8,34:34
8,Espanyol,34,11,12,11,40:44,-4,34:34
9,Valencia,34,9,15,10,40:37,3,33:35
10,Real Zaragoza,34,11,11,12,39:39,0,33:35
11,Racing,34,10,12,12,27:34,-7,32:36
12,Sevilla FC,34,10,11,13,29:41,-12,31:37
13,Real Valladolid,34,7,16,11,39:45,-6,30:38
14,Real Betis,34,11,8,15,37:43,-6,30:38
15,Hércules CF,34,9,12,13,28:45,-17,30:38
16,CD Málaga,34,7,15,12,23:36,-13,29:39
17,Elche CF,34,6,14,14,18:37,-19,26:42
18,Real Murcia,34,6,10,18,24:52,-28,22:46
