Name,Position,DOB,Nationality,Kit Number
Juan Soriano,Goalkeeper,"Aug 23, 1997 (22)",Spain,13
Iván Cuéllar,Goalkeeper,"May 25, 1984 (35)",Spain,1
Dimitrios Siovas,Centre-Back,"Sep 16, 1988 (31)",Greece,22
Kenneth Omeruo,Centre-Back,"Oct 17, 1993 (26)",Nigeria,4
Unai Bustinza,Centre-Back,"Feb 2, 1992 (27)",Spain,3
Chidozie Awaziem,Centre-Back,"Jan 1, 1997 (22)",Nigeria,12
Rodrigo Tarín,Centre-Back,"Jul 5, 1996 (23)",Spain,15
Jonathan Silva,Left-Back,"Jun 29, 1994 (25)",Argentina,5
Vasyl Kravets,Left-Back,"Aug 20, 1997 (22)",Ukraine,23
Kévin Rodrigues,Left-Back,"Mar 5, 1994 (25)",Portugal,24
Roberto Rosales,Right-Back,"Nov 20, 1988 (30)",Venezuela,16
Marc Navarro,Right-Back,"Jul 2, 1995 (24)",Spain,2
Rubén Pérez,Defensive Midfield,"Apr 26, 1989 (30)",Spain,21
Roque Mesa,Central Midfield,"Jun 7, 1989 (30)",Spain,6
Recio,Central Midfield,"Jan 11, 1991 (28)",Spain,8
Christian Rivera,Central Midfield,"Jul 9, 1997 (22)",Spain,14
Óscar Rodríguez,Attacking Midfield,"Jun 28, 1998 (21)",Spain,27
Fede Varela,Attacking Midfield,"Apr 18, 1997 (22)",Argentina,20
Javi Eraso,Attacking Midfield,"Mar 22, 1990 (29)",Spain,17
José Manuel Arnáiz,Left Winger,"Apr 15, 1995 (24)",Spain,10
Alexander Szymanowski,Left Winger,"Oct 13, 1988 (31)",Argentina,11
Sabin Merino,Left Winger,"Jan 4, 1992 (27)",Spain,9
Aitor Ruibal,Right Winger,"Mar 22, 1996 (23)",Spain,19
Youssef En-Nesyri,Centre-Forward,"Jun 1, 1997 (22)",Morocco,26
Martin Braithwaite,Centre-Forward,"Jun 5, 1991 (28)",Denmark,7
Guido Carrillo,Centre-Forward,"May 25, 1991 (28)",Argentina,18
