Name,Position,DOB,Nationality,Kit Number
Thibaut Courtois,Goalkeeper,"May 11, 1992 (27)",Belgium,13
Alphonse Areola,Goalkeeper,"Feb 27, 1993 (26)",France,1
Raphaël Varane,Centre-Back,"Apr 25, 1993 (26)",France,5
Éder Militão,Centre-Back,"Jan 18, 1998 (21)",Brazil,3
Sergio Ramos,Centre-Back,"Mar 30, 1986 (33)",Spain,4
Nacho,Centre-Back,"Jan 18, 1990 (29)",Spain,6
Ferland Mendy,Left-Back,"Jun 8, 1995 (24)",France,23
Marcelo,Left-Back,"May 12, 1988 (31)",Brazil,12
Daniel Carvajal,Right-Back,"Jan 11, 1992 (27)",Spain,2
Álvaro Odriozola,Right-Back,"Dec 14, 1995 (23)",Spain,19
Casemiro,Defensive Midfield,"Feb 23, 1992 (27)",Brazil,14
Toni Kroos,Central Midfield,"Jan 4, 1990 (29)",Germany,8
Luka Modric,Central Midfield,"Sep 9, 1985 (34)",Croatia,10
Federico Valverde,Central Midfield,"Jul 22, 1998 (21)",Uruguay,15
Isco,Attacking Midfield,"Apr 21, 1992 (27)",Spain,22
James Rodríguez,Attacking Midfield,"Jul 12, 1991 (28)",Colombia,16
Brahim Díaz,Attacking Midfield,"Aug 3, 1999 (20)",Spain,21
Eden Hazard,Left Winger,"Jan 7, 1991 (28)",Belgium,7
Vinícius Júnior,Left Winger,"Jul 12, 2000 (19)",Brazil,25
Marco Asensio,Left Winger,"Jan 21, 1996 (23)",Spain,20
Rodrygo,Left Winger,"Jan 9, 2001 (18)",Brazil,27
Gareth Bale,Right Winger,"Jul 16, 1989 (30)",Wales,11
Lucas Vázquez,Right Winger,"Jul 1, 1991 (28)",Spain,17
Luka Jovic,Centre-Forward,"Dec 23, 1997 (21)",Serbia,18
Karim Benzema,Centre-Forward,"Dec 19, 1987 (31)",France,9
Mariano Díaz,Centre-Forward,"Aug 1, 1993 (26)",Dominican Republic,24
