Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Marseille,38,23,12,3,67:21,46,58:18
2,Monaco,38,22,8,8,55:33,22,52:24
3,Paris SG,38,15,17,6,43:27,16,47:29
4,AJ Auxerre,38,16,12,10,55:32,23,44:32
5,SM Caen,38,17,10,11,46:45,1,44:32
6,Montpellier,38,12,18,8,40:32,8,42:34
7,AC Le Havre,38,13,16,9,35:32,3,42:34
8,Lens,38,11,17,10,36:30,6,39:37
9,FC Nantes,38,12,14,12,37:39,-2,38:38
10,Saint-Étienne,38,13,11,14,42:37,5,37:39
11,Toulouse,38,11,14,13,33:40,-7,36:40
12,FC Metz,38,12,11,15,42:43,-1,35:41
13,LOSC Lille,38,11,13,14,31:34,-3,35:41
14,SC Toulon Var,38,13,6,19,41:55,-14,32:44
15,Nîmes Olympique,38,9,14,15,31:50,-19,32:44
16,Olympique Lyon,38,10,11,17,25:39,-14,31:45
17,FC Sochaux,38,9,13,16,35:50,-15,31:45
18,Stade Rennais,38,6,17,15,25:42,-17,29:47
19,Cannes,38,8,12,18,34:48,-14,28:48
20,AS Nancy,38,10,8,20,43:67,-24,28:48
