Name,Position,DOB,Nationality,Kit Number
Benjamin Lecomte,Goalkeeper,"Apr 26, 1991 (28)",France,40
Danijel Subasic,Goalkeeper,"Oct 27, 1984 (35)",Croatia,1
Seydou Sy,Goalkeeper,"Dec 12, 1995 (23)",Senegal,30
Diego Benaglio,Goalkeeper,"Sep 8, 1983 (36)",Switzerland,16
Benoît Badiashile,Centre-Back,"Mar 26, 2001 (18)",France,32
Guillermo Maripán,Centre-Back,"May 6, 1994 (25)",Chile,3
Kamil Glik,Centre-Back,"Feb 3, 1988 (31)",Poland,25
Jemerson,Centre-Back,"Aug 24, 1992 (27)",Brazil,5
Naldo,Centre-Back,"Sep 10, 1982 (37)",Brazil,27
Fodé Ballo-Touré,Left-Back,"Jan 3, 1997 (22)",France,2
Arthur Zagre,Left-Back,"Oct 4, 2001 (18)",France,18
Benjamin Henrichs,Right-Back,"Feb 23, 1997 (22)",Germany,39
Ruben Aguilar,Right-Back,"Apr 26, 1993 (26)",France,12
Tiemoué Bakayoko,Defensive Midfield,"Aug 17, 1994 (25)",France,6
Adrien Silva,Central Midfield,"Mar 15, 1989 (30)",Portugal,8
Cesc Fàbregas,Central Midfield,"May 4, 1987 (32)",Spain,4
Aleksandr Golovin,Attacking Midfield,"May 30, 1996 (23)",Russia,17
Gabriel Boschilia,Attacking Midfield,"Mar 5, 1996 (23)",Brazil,26
Keita Baldé,Left Winger,"Mar 8, 1995 (24)",Senegal,14
Henry Onyekuru,Left Winger,"Jun 5, 1997 (22)",Nigeria,7
Willem Geubbels,Left Winger,"Aug 16, 2001 (18)",France,13
Gelson Martins,Right Winger,"May 11, 1995 (24)",Portugal,11
Gil Dias,Right Winger,"Sep 28, 1996 (23)",Portugal,31
Wissam Ben Yedder,Centre-Forward,"Aug 12, 1990 (29)",France,9
Jean-Kévin Augustin,Centre-Forward,"Jun 16, 1997 (22)",France,22
Stevan Jovetic,Centre-Forward,"Nov 2, 1989 (30)",Montenegro,10
Pietro Pellegri,Centre-Forward,"Mar 17, 2001 (18)",Italy,19
Islam Slimani,Centre-Forward,"Jun 18, 1988 (31)",Algeria,20
Moussa Sylla,Centre-Forward,"Nov 25, 1999 (19)",France,34
