Name,Position,DOB,Nationality,Kit Number
Bernd Leno,Goalkeeper,"Mar 4, 1992 (27)",Germany,1
Emiliano Martínez,Goalkeeper,"Sep 2, 1992 (27)",Argentina,26
Matt Macey,Goalkeeper,"Sep 9, 1994 (25)",England,33
Sokratis,Centre-Back,"Jun 9, 1988 (31)",Greece,5
David Luiz,Centre-Back,"Apr 22, 1987 (32)",Brazil,23
Shkodran Mustafi,Centre-Back,"Apr 17, 1992 (27)",Germany,20
Rob Holding,Centre-Back,"Sep 20, 1995 (24)",England,16
Konstantinos Mavropanos,Centre-Back,"Dec 11, 1997 (21)",Greece,27
Kieran Tierney,Left-Back,"Jun 5, 1997 (22)",Scotland,3
Sead Kolasinac,Left-Back,"Jun 20, 1993 (26)",Bosnia-Herzegovina,31
Héctor Bellerín,Right-Back,"Mar 19, 1995 (24)",Spain,2
Calum Chambers,Right-Back,"Jan 20, 1995 (24)",England,21
Lucas Torreira,Defensive Midfield,"Feb 11, 1996 (23)",Uruguay,11
Granit Xhaka,Defensive Midfield,"Sep 27, 1992 (27)",Switzerland,34
Dani Ceballos,Central Midfield,"Aug 7, 1996 (23)",Spain,8
Mattéo Guendouzi,Central Midfield,"Apr 14, 1999 (20)",France,29
Joe Willock,Central Midfield,"Aug 20, 1999 (20)",England,28
Ainsley Maitland-Niles,Right Midfield,"Aug 29, 1997 (22)",England,15
Mesut Özil,Attacking Midfield,"Oct 15, 1988 (31)",Germany,10
Bukayo Saka,Left Winger,"Sep 5, 2001 (18)",England,77
Nicolas Pépé,Right Winger,"May 29, 1995 (24)",Cote d'Ivoire,19
Reiss Nelson,Right Winger,"Dec 10, 1999 (19)",England,24
Alexandre Lacazette,Centre-Forward,"May 28, 1991 (28)",France,9
Pierre-Emerick Aubameyang,Centre-Forward,"Jun 18, 1989 (30)",Gabon,14
Gabriel Martinelli,Centre-Forward,"Jun 18, 2001 (18)",Brazil,35
