Name,Position,DOB,Nationality,Kit Number
Mathew Ryan,Goalkeeper,"Apr 8, 1992 (27)",Australia,1
David Button,Goalkeeper,"Feb 27, 1989 (30)",England,27
Jason Steele,Goalkeeper,"Aug 18, 1990 (29)",England,23
Lewis Dunk,Centre-Back,"Nov 21, 1991 (27)",England,5
Adam Webster,Centre-Back,"Jan 4, 1995 (24)",England,15
Shane Duffy,Centre-Back,"Jan 1, 1992 (27)",Ireland,4
Dan Burn,Centre-Back,"May 9, 1992 (27)",England,33
Leon Balogun,Centre-Back,"Jun 28, 1988 (31)",Nigeria,14
Bernardo,Left-Back,"May 14, 1995 (24)",Brazil,30
Gaëtan Bong,Left-Back,"Apr 25, 1988 (31)",Cameroon,3
Martín Montoya,Right-Back,"Apr 14, 1991 (28)",Spain,22
Ezequiel Schelotto,Right-Back,"May 23, 1989 (30)",Italy,21
Tudor Baluta,Defensive Midfield,"Mar 27, 1999 (20)",Romania,28
Yves Bissouma,Central Midfield,"Aug 30, 1996 (23)",Mali,8
Davy Pröpper,Central Midfield,"Sep 2, 1991 (28)",Netherlands,24
Aaron Mooy,Central Midfield,"Sep 15, 1990 (29)",Australia,18
Pascal Groß,Central Midfield,"Jun 15, 1991 (28)",Germany,13
Dale Stephens,Central Midfield,"Dec 12, 1989 (29)",England,6
Andrew Crofts,Central Midfield,"May 29, 1984 (35)",Wales,48
Solly March,Left Midfield,"Jul 20, 1994 (25)",England,20
Steven Alzate,Attacking Midfield,"Sep 8, 1998 (21)",Colombia,46
Leandro Trossard,Left Winger,"Dec 4, 1994 (24)",Belgium,11
José Izquierdo,Left Winger,"Jul 7, 1992 (27)",Colombia,19
Alireza Jahanbakhsh,Right Winger,"Aug 11, 1993 (26)",Iran,16
Neal Maupay,Centre-Forward,"Aug 14, 1996 (23)",France,7
Glenn Murray,Centre-Forward,"Sep 25, 1983 (36)",England,17
Aaron Connolly,Centre-Forward,"Jan 28, 2000 (19)",Ireland,44
