Name,Position,DOB,Nationality,Kit Number
Jordan Pickford,Goalkeeper,"Mar 7, 1994 (25)",England,1
Jonas Lössl,Goalkeeper,"Feb 1, 1989 (30)",Denmark,49
Maarten Stekelenburg,Goalkeeper,"Sep 22, 1982 (37)",Netherlands,22
Michael Keane,Centre-Back,"Jan 11, 1993 (26)",England,5
Yerry Mina,Centre-Back,"Sep 23, 1994 (25)",Colombia,13
Mason Holgate,Centre-Back,"Oct 22, 1996 (23)",England,2
Lucas Digne,Left-Back,"Jul 20, 1993 (26)",France,12
Leighton Baines,Left-Back,"Dec 11, 1984 (34)",England,3
Seamus Coleman,Right-Back,"Oct 11, 1988 (31)",Ireland,23
Djibril Sidibé,Right-Back,"Jul 29, 1992 (27)",France,19
Cuco Martina,Right-Back,"Sep 25, 1989 (30)",Curacao,30
Jean-Philippe Gbamin,Defensive Midfield,"Sep 25, 1995 (24)",Cote d'Ivoire,25
Morgan Schneiderlin,Defensive Midfield,"Nov 8, 1989 (29)",France,18
André Gomes,Central Midfield,"Jul 30, 1993 (26)",Portugal,21
Fabian Delph,Central Midfield,"Nov 21, 1989 (29)",England,8
Tom Davies,Central Midfield,"Jun 30, 1998 (21)",England,26
Beni Baningime,Central Midfield,"Sep 9, 1998 (21)",DR Congo,34
Gylfi Sigurdsson,Attacking Midfield,"Sep 8, 1989 (30)",Iceland,10
Richarlison,Left Winger,"May 10, 1997 (22)",Brazil,7
Alex Iwobi,Left Winger,"May 3, 1996 (23)",Nigeria,17
Bernard,Left Winger,"Sep 8, 1992 (27)",Brazil,20
Theo Walcott,Right Winger,"Mar 16, 1989 (30)",England,11
Moise Kean,Centre-Forward,"Feb 28, 2000 (19)",Italy,27
Dominic Calvert-Lewin,Centre-Forward,"Mar 16, 1997 (22)",England,9
Cenk Tosun,Centre-Forward,"Jun 7, 1991 (28)",Turkey,14
Oumar Niasse,Centre-Forward,"Apr 18, 1990 (29)",Senegal,29
