Name,Position,DOB,Nationality,Kit Number
Martin Dubravka,Goalkeeper,"Jan 15, 1989 (30)",Slovakia,1
Karl Darlow,Goalkeeper,"Oct 8, 1990 (29)",England,26
Rob Elliot,Goalkeeper,"Apr 30, 1986 (33)",Ireland,21
Jamaal Lascelles,Centre-Back,"Nov 11, 1993 (25)",England,6
Fabian Schär,Centre-Back,"Dec 20, 1991 (27)",Switzerland,5
Florian Lejeune,Centre-Back,"May 20, 1991 (28)",France,20
Federico Fernández,Centre-Back,"Feb 21, 1989 (30)",Argentina,18
Ciaran Clark,Centre-Back,"Sep 26, 1989 (30)",Ireland,2
Paul Dummett,Left-Back,"Sep 26, 1991 (28)",Wales,3
Jetro Willems,Left-Back,"Mar 30, 1994 (25)",Netherlands,15
DeAndre Yedlin,Right-Back,"Jul 9, 1993 (26)",United States,22
Emil Krafth,Right-Back,"Aug 2, 1994 (25)",Sweden,17
Javier Manquillo,Right-Back,"May 5, 1994 (25)",Spain,19
Jamie Sterry,Right-Back,"Nov 21, 1995 (23)",England,42
Isaac Hayden,Defensive Midfield,"Mar 22, 1995 (24)",England,14
Sung-yong Ki,Defensive Midfield,"Jan 24, 1989 (30)","Korea, South",4
Jack Colback,Defensive Midfield,"Oct 24, 1989 (30)",England,-
Sean Longstaff,Central Midfield,"Oct 30, 1997 (22)",England,36
Jonjo Shelvey,Central Midfield,"Feb 27, 1992 (27)",England,8
Matt Ritchie,Right Midfield,"Sep 10, 1989 (30)",Scotland,11
Miguel Almirón,Attacking Midfield,"Feb 10, 1994 (25)",Paraguay,24
Henri Saivet,Attacking Midfield,"Oct 26, 1990 (29)",Senegal,28
Christian Atsu,Left Winger,"Jan 10, 1992 (27)",Ghana,30
Allan Saint-Maximin,Right Winger,"Mar 12, 1997 (22)",France,10
Joelinton,Centre-Forward,"Aug 14, 1996 (23)",Brazil,9
Dwight Gayle,Centre-Forward,"Oct 17, 1990 (29)",England,12
Yoshinori Muto,Centre-Forward,"Jul 15, 1992 (27)",Japan,13
Andy Carroll,Centre-Forward,"Jan 6, 1989 (30)",England,7
