Name,Position,DOB,Nationality,Kit Number
Rui Patrício,Goalkeeper,"Feb 15, 1988 (31)",Portugal,11
John Ruddy,Goalkeeper,"Oct 24, 1986 (33)",England,21
Harry Burgoyne,Goalkeeper,"Dec 28, 1996 (22)",England,-
Willy Boly,Centre-Back,"Feb 3, 1991 (28)",France,15
Conor Coady,Centre-Back,"Feb 25, 1993 (26)",England,16
Jesús Vallejo,Centre-Back,"Jan 5, 1997 (22)",Spain,4
Ryan Bennett,Centre-Back,"Mar 6, 1990 (29)",England,5
Max Kilman,Centre-Back,"May 23, 1997 (22)",England,49
Jonny Otto,Left-Back,"Mar 3, 1994 (25)",Spain,19
Rúben Vinagre,Left-Back,"Apr 9, 1999 (20)",Portugal,29
Matt Doherty,Right-Back,"Jan 16, 1992 (27)",Ireland,2
Phil Ofosu-Ayeh,Right-Back,"Sep 15, 1991 (28)",Ghana,-
Rúben Neves,Defensive Midfield,"Mar 13, 1997 (22)",Portugal,8
Leander Dendoncker,Defensive Midfield,"Apr 15, 1995 (24)",Belgium,32
Romain Saïss,Defensive Midfield,"Mar 26, 1990 (29)",Morocco,27
João Moutinho,Central Midfield,"Sep 8, 1986 (33)",Portugal,28
Morgan Gibbs-White,Central Midfield,"Jan 27, 2000 (19)",England,17
Bruno Jordão,Central Midfield,"Oct 12, 1998 (21)",Portugal,6
Ming-Yang Yang,Central Midfield,"Jul 11, 1995 (24)",Switzerland,39
Diogo Jota,Left Winger,"Dec 4, 1996 (22)",Portugal,18
Jordan Graham,Left Winger,"Mar 5, 1995 (24)",England,-
Adama Traoré,Right Winger,"Jan 25, 1996 (23)",Spain,37
Pedro Neto,Right Winger,"Mar 9, 2000 (19)",Portugal,7
Raúl Jiménez,Centre-Forward,"May 5, 1991 (28)",Mexico,9
Patrick Cutrone,Centre-Forward,"Jan 3, 1998 (21)",Italy,10
