Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,30,17,9,4,48:24,24,43:17
2 ,Milan,30,16,10,4,36:17,19,42:18
3 ,AC Torino,30,17,8,5,39:25,14,42:18
4 ,Cagliari Calcio,30,15,9,6,39:23,16,39:21
5 ,Inter,30,13,10,7,49:28,21,36:24
6 ,Fiorentina,30,12,12,6,28:20,8,36:24
7 ,AS Roma,30,13,9,8,37:31,6,35:25
8 ,SSC Napoli,30,6,16,8,27:31,-4,28:32
9 ,Sampdoria,30,8,12,10,23:28,-5,28:32
10 ,Atalanta,30,9,8,13,21:26,-5,26:34
11 ,Bologna,30,7,11,12,28:36,-8,25:35
12 ,Vicenza,30,8,7,15,30:43,-13,23:37
13 ,Hellas Verona,30,4,14,12,21:36,-15,22:38
14 ,Mantova,30,6,9,15,23:39,-16,21:39
15 ,Catanzaro,30,3,15,12,17:34,-17,21:39
16 ,Varese,30,1,11,18,17:42,-25,13:47
