Name,Position,DOB,Nationality,Kit Number
Alessio Cragno,Goalkeeper,"Jun 28, 1994 (25)",Italy,28
Robin Olsen,Goalkeeper,"Jan 8, 1990 (29)",Sweden,90
Rafael,Goalkeeper,"Mar 3, 1982 (37)",Brazil,1
Simone Aresti,Goalkeeper,"Mar 15, 1986 (33)",Italy,20
Sebastian Walukiewicz,Centre-Back,"Apr 5, 2000 (19)",Poland,40
Luca Ceppitelli,Centre-Back,"Aug 11, 1989 (30)",Italy,23
Ragnar Klavan,Centre-Back,"Oct 30, 1985 (34)",Estonia,15
Fabio Pisacane,Centre-Back,"Jan 28, 1986 (33)",Italy,19
Luca Pellegrini,Left-Back,"Mar 7, 1999 (20)",Italy,33
Charalampos Lykogiannis,Left-Back,"Oct 22, 1993 (26)",Greece,22
Paolo Faragò,Right-Back,"Feb 12, 1993 (26)",Italy,24
Federico Mattiello,Right-Back,"Jul 14, 1995 (24)",Italy,3
Fabrizio Cacciatore,Right-Back,"Oct 8, 1986 (33)",Italy,12
Simone Pinna,Right-Back,"Oct 17, 1997 (22)",Italy,2
Christian Oliva,Defensive Midfield,"Jun 1, 1996 (23)",Uruguay,17
Luca Cigarini,Defensive Midfield,"Jun 20, 1986 (33)",Italy,8
Nahitan Nández,Central Midfield,"Dec 28, 1995 (23)",Uruguay,18
Radja Nainggolan,Central Midfield,"May 4, 1988 (31)",Belgium,4
Marko Rog,Central Midfield,"Jul 19, 1995 (24)",Croatia,6
Lucas Castro,Central Midfield,"Apr 9, 1989 (30)",Argentina,29
Artur Ionita,Central Midfield,"Aug 17, 1990 (29)",Moldova,21
Alessandro Deiola,Central Midfield,"Aug 1, 1995 (24)",Italy,27
Valter Birsa,Attacking Midfield,"Aug 7, 1986 (33)",Slovenia,14
João Pedro,Second Striker,"Mar 9, 1992 (27)",Brazil,10
Daniele Ragatzu,Second Striker,"Sep 21, 1991 (28)",Italy,26
Giovanni Simeone,Centre-Forward,"Jul 5, 1995 (24)",Argentina,99
Leonardo Pavoletti,Centre-Forward,"Nov 26, 1988 (30)",Italy,30
Alberto Cerri,Centre-Forward,"Apr 16, 1996 (23)",Italy,9
