Name,Position,DOB,Nationality,Kit Number
Juan Musso,Goalkeeper,"May 6, 1994 (25)",Argentina,1
Nícolas,Goalkeeper,"Apr 12, 1988 (31)",Brazil,88
Samuele Perisan,Goalkeeper,"Aug 21, 1997 (22)",Italy,27
Rodrigo Becão,Centre-Back,"Jan 19, 1996 (23)",Brazil,50
Samir,Centre-Back,"Dec 5, 1994 (24)",Brazil,3
William Troost-Ekong,Centre-Back,"Sep 1, 1993 (26)",Nigeria,5
Bram Nuytinck,Centre-Back,"May 4, 1990 (29)",Netherlands,17
Nicholas Opoku,Centre-Back,"Nov 8, 1997 (21)",Ghana,4
Sebastien De Maio,Centre-Back,"Mar 5, 1987 (32)",France,87
Francisco Sierralta,Centre-Back,"May 6, 1997 (22)",Chile,2
Jens Stryger Larsen,Right-Back,"Feb 21, 1991 (28)",Denmark,19
Hidde ter Avest,Right-Back,"May 20, 1997 (22)",Netherlands,18
Rolando Mandragora,Defensive Midfield,"Jun 29, 1997 (22)",Italy,38
Walace,Defensive Midfield,"Apr 4, 1995 (24)",Brazil,11
Mato Jajalo,Defensive Midfield,"May 25, 1988 (31)",Bosnia-Herzegovina,8
Rodrigo de Paul,Central Midfield,"May 24, 1994 (25)",Argentina,10
Seko Fofana,Central Midfield,"May 7, 1995 (24)",Cote d'Ivoire,6
Antonin Barak,Central Midfield,"Dec 3, 1994 (24)",Czech Republic,72
Ken Sema,Left Midfield,"Sep 30, 1993 (26)",Sweden,12
Ignacio Pussetto,Right Winger,"Dec 21, 1995 (23)",Argentina,23
Kevin Lasagna,Centre-Forward,"Aug 10, 1992 (27)",Italy,15
Stefano Okaka,Centre-Forward,"Aug 9, 1989 (30)",Italy,7
Ilija Nestorovski,Centre-Forward,"Mar 12, 1990 (29)",North Macedonia,30
Lukasz Teodorczyk,Centre-Forward,"Jun 3, 1991 (28)",Poland,91
Emanuele Rovini,Centre-Forward,"Feb 20, 1995 (24)",Italy,40
