Name,Country,Position,Born
Ali Ahmad,Germany,Midfielder,21/07/1991
Zijad ArslanagiÄ,Bosnia-Herzegovina,Forward,18/04/1936
Melih Aydogdu,Germany,Defender,18/11/1995
Merdan Baba,Germany,Forward,07/10/1996
Lucas BÃ¤hr,Germany,Defender,24/10/1992
Ali Baker,Germany,Midfielder,
Hans Baron,Germany,Forward,19/12/1914
Klaus Basikow,Germany,Goalkeeper,12/06/1937
Hans-JÃ¼rgen BÃ¤sler,Germany,Defender,28/03/1938
Hans-GÃ¼nter Becker,Germany,Defender,31/08/1938
Volker Becker,Germany,Defender,12/12/1946
Danny Beier,Germany,Midfielder,02/08/1987
Hans Bernrieder,Germany,Forward,04/11/1941
Cihat Birol,Germany,Defender,
GÃ¼nter Blume,Germany,Defender,23/11/1941
BÃ¶hl,Germany,Forward,
Gert BÃ¶hm,Germany,Forward,04/10/1940
Uli Borowka,Germany,Defender,19/05/1962
Bernd BrÃ¼ckner,Germany,Midfielder,14/11/1940
Erwin Bruske,Germany,Forward,04/01/1936
Jochen Bzdok,Germany,Goalkeeper,21/09/1946
Hakan Cankaya,Turkey,Midfielder,17/06/1986
Ibrahima Sory Cisse,France,Forward,20/01/1987
Karem Civa,Germany,Defender,28/07/1989
Erblin Colakaj,Kosovo,Midfielder,18/04/2000
Manuel Cornelius,Germany,Defender,29/04/1977
Birol Cubukcu,Turkey,Forward,18/06/1991
Emre Demir,Germany,Midfielder,21/09/1992
Erich Dreher,Germany,Forward,02/12/1919
Faris EfendiÄ,Bosnia-Herzegovina,Goalkeeper,20/02/1983
Jonny Egbuono,Nigeria,Midfielder,20/07/1944
Tim Ehrenberg,Germany,Goalkeeper,
Durim Elezi,Germany,Defender,21/12/1990
Franz Emans,Germany,Forward,05/12/1950
Michael Enders,Germany,Midfielder,23/02/1964
Fabio Engelhardt,Germany,Defender,05/03/1995
Peter Engler,Germany,Midfielder,03/09/1936
Helmut Fiebach,Germany,Forward,08/08/1933
Frederick Fiebig,Germany,Forward,26/03/1998
Heribert Finken,Germany,Defender,31/12/1939
Fischer,Germany,Goalkeeper,
Heinz Fischer,Germany,Forward,08/02/1939
Paul Fischer,Germany,Midfielder,
Bernd Frati,Germany,Midfielder,01/06/1945
Maurice Froelian,Germany,Defender,10/05/1994
