Name,Country,Position,Born
Camaldine Abraw,Togo,Forward,15/08/1990
FrÃ©dÃ©ric Adam,France,Midfielder,11/08/1973
JerÃ´me Adam,France,Defender,05/11/1978
Bryan Adinany,France,Forward,13/03/2000
KÃ©vin Afougou,France,Defender,26/01/1990
CÃ©dric Agrain,France,Forward,28/03/1985
Bilel Agueni,France,Midfielder,04/01/1995
Hassan Ahamada,France,Forward,13/04/1981
Christophe Ajas,France,Forward,23/05/1972
Mokhtar Ajouaou,France,Defender,19/01/1984
Jimmy Algerino,France,Defender,28/10/1971
Chaker Alhadhur,Comoros,Defender,04/12/1991
Alexis Allart,France,Forward,07/08/1986
Samuel Allegro,France,Defender,14/03/1978
Sanaa Altama,Chad,Midfielder,23/07/1990
Romain Amalfitano,France,Midfielder,27/08/1989
Aldo Angoula,France,Defender,04/05/1981
Jean-Hugues Ateba,Cameroon,Defender,01/09/1981
Philippe Avenet,France,Midfielder,16/04/1967
Serge Ayeli,Ivory Coast,Forward,23/08/1981
Issa Ba,Senegal,Midfielder,07/11/1981
Jean-Sylvain Babin,France,Defender,14/10/1986
Amara Baby,Senegal,Midfielder,23/02/1989
Thierry Bacconnier,France,Defender,02/10/1963
Schuman Bah,Guinea,Defender,24/08/1974
Denys Bain,France,Defender,02/07/1993
Ablai BaldÃ©,France,Forward,30/11/1986
Maxime BarthelmÃ©,France,Midfielder,08/09/1988
Stevan Bates,Serbia,Defender,29/11/1981
Bernard Baudet,France,Defender,16/12/1939
Nicolas Baudouin,France,Defender,16/02/1970
Nicolas Bayod,France,Midfielder,07/03/1982
Gilles Beaumian,France,Midfielder,11/01/1969
Claudio Beauvue,Guadeloupe,Forward,16/04/1988
Wilfried Bedfian,France,Goalkeeper,09/07/2001
Henri BÃ©dimo,Cameroon,Defender,04/06/1984
Alain Behi,France,Midfielder,01/07/1978
David Bellime,France,Midfielder,22/08/1968
Mohamed Benabdellah,France,Midfielder,03/03/1984
Patrick Beneforti,France,Midfielder,28/08/1980
SaÃ¯d Benrahma,Algeria,Forward,10/08/1995
Bryan Bergougnoux,France,Midfielder,12/01/1983
Vincent Bernardet,France,Defender,23/04/1981
Teddy Bertin,France,Defender,06/08/1969
Matteo Bertoli,Italy,Defender,05/01/1983
Edward Biernacki,Poland,Midfielder,23/06/1947
Dominique Bijotat,France,Midfielder,03/01/1961
Roland Billotte,France,Midfielder,29/10/1956
Nenad BjekoviÄ,Serbia,Forward,17/11/1974
Maxime Blanc,France,Midfielder,23/01/1992
JÃ©rÃ©my Blayac,France,Forward,13/06/1983
Theo Bobek,France,Defender,03/11/1994
Bocoundji CÃ¡,Guinea-Bissau,Midfielder,28/12/1986
Laurent Bonnart,France,Defender,25/12/1979
Landry Bonnefoi,France,Goalkeeper,20/09/1983
Philippe Bonnet,France,Midfielder,04/02/1971
JoÃ«l Bossis,France,Midfielder,20/05/1965
Alexandre Bouchard,France,Goalkeeper,01/05/1988
Razak Boukari,Togo,Midfielder,25/04/1987
Sadou Boukari,Togo,Forward,15/01/1966
Karim Boukrouh,France,Goalkeeper,06/09/1969
Maxime Bourgeois,France,Forward,03/02/1991
GrÃ©gory Bourillon,France,Defender,01/07/1984
Raouf Bouzaiene,Tunisia,Defender,16/08/1970
Fabien Boyer,France,Defender,12/04/1991
Yves BrÃ©cheteau,France,Midfielder,13/11/1955
Romain BrÃ©gerie,France,Defender,09/08/1986
JÃ©rÃ´me Brocard,France,Midfielder,03/10/1974
KÃ©vin Bru,Mauritius,Midfielder,12/12/1988
Bruno Santos,Brazil,Forward,31/08/1983
Hugues Buffat,France,Defender,09/06/1950
HervÃ© Bugnet,France,Forward,24/08/1981
Damir Äakar,Serbia,Midfielder,28/06/1973
SÃ©bastien Caleiras,France,Goalkeeper,28/05/1984
RomÃ©o Calenda,France,Midfielder,21/08/1972
AlsÃ©ny Camara,Guinea,Defender,04/11/1986
Camazzola,Brazil,Midfielder,30/08/1982
Marcel Campagnac,Morocco,Forward,01/01/1957
Mickael Caradec,France,Goalkeeper,29/04/1982
Dominique Carlier,France,Defender,18/04/1959
SÃ©bastien Carole,France,Midfielder,08/09/1982
Michel Castellani,France,Forward,23/12/1959
Mickael Cerielo,France,Defender,01/09/1984
Fabien Cerqueira,France,Midfielder,26/11/1981
Youssef Chaddi,Morocco,Forward,22/04/1973
Kamel Chafni,Morocco,Midfielder,11/06/1982
Mohamed Chalali,Algeria,Forward,04/04/1989
Nasser Chamed,Comoros,Defender,04/10/1993
Yohan Charlot,France,Midfielder,02/08/1978
Pierre Chavrondier,France,Midfielder,26/08/1971
Sofyane Cherfa,Algeria,Defender,13/08/1984
Kamel Chergui,France,Midfielder,16/04/1993
Brian Chevreuil,Haiti,Midfielder,26/02/1997
Ylyas Chouaref,France,Forward,12/12/2000
Morlaye CissÃ©,Guinea,Defender,19/12/1983
Papiss Demba CissÃ©,Senegal,Forward,03/06/1985
Bruno ClÃ©ment,France,Goalkeeper,07/05/1969
Ludovic ClÃ©ment,France,Defender,05/12/1976
JoÃ«l Cloarec,France,Forward,05/02/1966
Guillaume Coelho,France,Defender,19/03/1986
Alain Colacicco,Jamaica,Defender,03/01/1973
Jean-Christophe Colard,France,Goalkeeper,29/08/1980
Ferdinand Coly,Senegal,Defender,10/09/1973
Lilian Compan,France,Forward,30/04/1977
SÃ©kou CondÃ©,Guinea,Defender,09/06/1993
KÃ©vin Constant,Guinea,Midfielder,10/05/1987
JosÃ© Contreras,Venezuela,Goalkeeper,20/10/1994
Julien Cordonnier,France,Defender,27/06/1980
JÃ©rÃ©my Cordoval,France,Defender,12/01/1990
Mario Corian,France,Defender,18/11/1961
Mariano Corsico,Argentina,Midfielder,15/09/1981
Abdoulaye Coulibaly,Mali,Midfielder,06/04/1991
David Coulibaly,Mali,Midfielder,21/01/1978
JudicaÃ«l Crillon,France,Defender,21/11/1988
Patricio D'Amico,Argentina,Forward,10/02/1975
Pascal D'Hondt,France,Midfielder,27/07/1956
David Da Cunha,France,Defender,19/05/1983
Damien Da Silva,France,Defender,17/05/1988
StÃ©phane Dalmat,France,Midfielder,16/02/1979
Wilfried Dalmat,France,Midfielder,17/07/1982
Maxime Darrieux,France,Midfielder,16/02/1993
Kevin Das Neves,France,Defender,08/05/1986
Pierre Dasse,France,Midfielder,23/04/1991
CÃ©dric Daury,France,Forward,19/10/1969
Alain David,France,Midfielder,31/07/1957
David de Freitas,France,Midfielder,30/09/1979
Fabien Debec,France,Goalkeeper,18/01/1976
Laurent Debrosse,France,Midfielder,02/10/1969
StÃ©phane Dedebant,France,Midfielder,17/10/1970
Yvon Delestre,France,Midfielder,24/11/1952
Mana DembÃ©lÃ©,Mali,Forward,29/11/1988
Gaetan Deneuve,France,Goalkeeper,03/05/1985
Eric Denizart,France,Defender,10/06/1966
