Name,Country,Position,Born
Ignazio Abate,Italy,Midfielder,12/11/1986
Francesco Acerbi,Italy,Defender,10/02/1988
AdriÃ  Carmona,Spain,Midfielder,08/02/1992
Massimo Agostini,Italy,Forward,20/01/1964
Demetrio Albertini,Italy,Midfielder,23/08/1971
Gabriele Aldegani,Italy,Goalkeeper,10/05/1976
Alexandre Pato,Brazil,Forward,02/09/1989
Mohammed Aliyu Datti,Nigeria,Forward,14/03/1982
JosÃ© Altafini,Brazil,Forward,24/07/1938
Amarildo,Brazil,Forward,29/07/1940
Marco Amelia,Italy,Goalkeeper,02/04/1982
Carlo Ancelotti,Italy,Midfielder,10/06/1959
AndrÃ© Cruz,Brazil,Defender,20/09/1968
Lorenzo Andrenacci,Italy,Goalkeeper,02/01/1995
Ãngelo Sormani,Brazil,Forward,03/07/1939
Favour Aniekan,Nigeria,Midfielder,10/04/1994
Angelo Anquilletti,Italy,Defender,25/04/1943
Roberto Antonelli,Italy,Forward,29/05/1953
Francesco Antonioli,Italy,Goalkeeper,14/09/1969
Pietro Sante Arcari,Italy,Forward,03/12/1908
Pablo Armero,Colombia,Defender,02/11/1986
Willy Aubameyang,Gabon,Forward,16/02/1987
Ibrahim Ba,France,Midfielder,12/11/1973
Bruno Bacchetta,Italy,Midfielder,18/08/1944
Roberto Baggio,Italy,Forward,18/02/1967
TiemouÃ© Bakayoko,France,Midfielder,17/08/1994
Mario Balotelli,Italy,Forward,12/08/1990
JÃ³zsef BÃ¡nÃ¡s,Hungary,Midfielder,05/02/1894
Franco Baresi,Italy,Defender,08/05/1960
Paolo Barison,Italy,Forward,23/06/1936
Dario Baruffi,Italy,Forward,07/01/1938
Giulio Bavastro,Uruguay,Forward,07/04/1894
Gastone Bean,Italy,Forward,11/08/1936
Asmir BegoviÄ,Bosnia-Herzegovina,Goalkeeper,20/06/1987
Pierangelo Belli,Italy,Goalkeeper,29/07/1944
Fabio Bellotti,Italy,Midfielder,26/03/1972
Giancarlo Beltrami,Italy,Midfielder,23/04/1937
Å½an BenediÄiÄ,Slovenia,Midfielder,03/10/1995
VÃ­ctor BenÃ­tez,Peru,Midfielder,30/10/1935
Eros Beraldo,Italy,Defender,27/07/1929
Francesco Bergamaschi,Italy,Midfielder,09/02/1951
Andrea Bertolacci,Italy,Midfielder,11/01/1991
Ottavio Bianchi,Italy,Midfielder,06/10/1943
Giorgio Biasiolo,Italy,Midfielder,16/02/1946
Roberto Biffi,Italy,Defender,21/08/1965
Alberto Bigon,Italy,Midfielder,31/10/1947
Guido Bistazzoni,Italy,Goalkeeper,12/03/1960
Jesper Blomqvist,Sweden,Midfielder,05/02/1974
Kingsley Boateng,Italy,Forward,07/04/1994
Salvatore Bocchetti,Italy,Defender,30/11/1986
Winston Bogarde,Netherlands,Defender,22/10/1970
Simone Boldini,Italy,Defender,23/05/1954
Giacomo Bonaventura,Italy,Midfielder,22/08/1989
Dario Bonetti,Italy,Defender,05/08/1961
Andrea Bonomi,Italy,Defender,14/02/1923
Franco Bontadini,Italy,Forward,04/01/1893
Francesco Bordi,Italy,Defender,28/01/1997
Fabio Borini,Italy,Forward,23/03/1991
Marco Borriello,Italy,Forward,18/06/1982
Roberto Bortolotto,Italy,Forward,15/04/1985
Gastone Bottini,Italy,Midfielder,24/02/1987
Simone Braglia,Italy,Goalkeeper,22/07/1962
Per Bredesen,Norway,Forward,22/12/1930
Marco Brescianini,Italy,Midfielder,20/01/2000
Drazen BrnÄiÄ,Croatia,Midfielder,17/07/1971
Matteo Bruscagin,Italy,Defender,03/08/1989
Lorenzo Buffon,Italy,Goalkeeper,19/12/1929
