Name,Country,Position,Born
Beniamino Abate,Italy,Goalkeeper,10/04/1962
Nelson AbeijÃ³n,Uruguay,Midfielder,21/07/1973
Salvatore Accursi,Italy,Defender,03/02/1978
Rafael Acosta,Venezuela,Midfielder,13/02/1989
Robert Acquafresca,Italy,Forward,11/09/1987
AdÃ¡n,Spain,Goalkeeper,13/05/1987
Adryan,Brazil,Forward,10/08/1994
Michael Agazzi,Italy,Goalkeeper,03/07/1984
Alessandro Agostini,Italy,Defender,23/07/1979
Enrico Albertosi,Italy,Goalkeeper,02/11/1939
Marcello Albino,Italy,Midfielder,07/10/1971
Massimiliano Allegri,Italy,Midfielder,11/08/1967
Antonio Aloisi,Italy,Defender,28/08/1968
Edgar Ãlvarez,Honduras,Midfielder,18/01/1980
Raffaele Ametrano,Italy,Midfielder,15/02/1973
Nicola Ancis,Italy,Midfielder,08/02/1974
Marco Andreolli,Italy,Defender,10/06/1986
Riccardo Anedda,Italy,Goalkeeper,08/07/1993
Paolo Arca,Italy,Defender,20/01/1997
Simone Aresti,Italy,Goalkeeper,15/03/1986
Lorenzo Ariaudo,Italy,Defender,11/06/1989
Davide Arras,Italy,Forward,02/04/1998
Davide Astori,Italy,Defender,07/01/1987
Vlada Avramov,Serbia,Goalkeeper,05/04/1979
Claudio Azzali,Italy,Defender,18/02/1956
Alessio Badari,Italy,Forward,28/05/1946
Amedeo Baldizzone,Italy,Defender,02/05/1960
Antonio Balzano,Italy,Midfielder,13/06/1986
Giacomo Banchelli,Italy,Forward,14/06/1973
NicolÃ² Barella,Italy,Midfielder,07/02/1997
Simone Barone,Italy,Midfielder,30/04/1978
Antonio Barreca,Italy,Defender,18/03/1995
Alessandro Bastrini,Italy,Defender,03/04/1987
Francesco Bega,Italy,Defender,26/10/1974
Luigi Beghetto,Italy,Forward,06/07/1973
Giuseppe Bellini,Italy,Midfielder,18/06/1957
Francesco Bellucci,Italy,Defender,23/02/1973
Simone Benedetti,Italy,Defender,03/04/1992
Roberto Bergamaschi,Italy,Midfielder,07/09/1960
Alessio Bernardi,Italy,Defender,16/01/1997
Lucio Bernardini,Italy,Midfielder,27/09/1960
Daniele Berretta,Italy,Midfielder,08/03/1972
Sergio Bertola,Italy,Goalkeeper,26/06/1937
Stefano Bettarini,Italy,Defender,06/02/1972
Ottavio Bianchi,Italy,Midfielder,06/10/1943
Rolando Bianchi,Italy,Forward,15/02/1983
Paolo Bianco,Italy,Defender,20/08/1977
Stefano Bianconi,Italy,Defender,31/12/1968
Roberto Biancu,Italy,Midfielder,19/01/2000
Dario Biasi,Italy,Defender,24/08/1979
Guido Biondi,Italy,Midfielder,18/07/1952
Davide Biondini,Italy,Midfielder,24/01/1983
Valter Birsa,Slovenia,Midfielder,07/08/1986
Pierpaolo Bisoli,Italy,Midfielder,20/11/1966
Antonio Bitetti,Italy,Midfielder,17/09/1974
Luca Bittante,Italy,Defender,14/08/1993
Joe Bizera,Uruguay,Defender,17/05/1980
Mirko Bizzi,Italy,Goalkeeper,18/08/1999
Antonio Bogoni,Italy,Defender,10/01/1957
Roberto Boninsegna,Italy,Forward,13/11/1943
Mauro Bonomi,Italy,Defender,23/08/1972
Marco Borriello,Italy,Forward,18/06/1982
Raoul Bortoletto,Italy,Midfielder,09/05/1925
Nicolas Bovi,Italy,Midfielder,11/03/1993
Filip BradariÄ,Croatia,Midfielder,11/01/1992
Massimo Brambilla,Italy,Midfielder,04/03/1973
Marco Branca,Italy,Forward,06/01/1965
Renzo Brando,Italy,Forward,07/05/1943
Enzo Bravi,Italy,Goalkeeper,30/03/1954
Giorgio Bresciani,Italy,Forward,23/04/1969
Mauro Bressan,Italy,Midfielder,05/01/1971
Massimo Briaschi,Italy,Forward,12/05/1958
Illia Briukhov,Ukraine,Defender,08/08/1998
Å½eljko BrkiÄ,Serbia,Goalkeeper,09/07/1986
Mario BrkljaÄa,Croatia,Midfielder,07/02/1985
Mario Brugnera,Italy,Forward,26/02/1946
Alex Brunner,Italy,Goalkeeper,08/12/1973
Bruno Alves,Portugal,Defender,27/11/1981
Tiziano Bruzzone,Italy,Forward,19/08/1984
Cristian Bucchi,Italy,Forward,30/05/1977
Alessandro Budel,Italy,Midfielder,25/02/1981
Emilio Budruni,Italy,Forward,11/01/1969
Salvatore Burrai,Italy,Midfielder,26/05/1987
Renato Buso,Italy,Midfielder,19/12/1969
Sergio Buso,Italy,Goalkeeper,03/04/1950
Cesare Butti,Italy,Midfielder,05/05/1951
NicolÃ² Cabras,Italy,Goalkeeper,11/02/2001
MatÃ­as Cabrera,Uruguay,Midfielder,16/05/1986
Fabrizio Cacciatore,Italy,Defender,08/10/1986
Massimo Cacciatori,Italy,Goalkeeper,04/05/1951
Giancarlo CadÃ©,Italy,Defender,27/02/1930
Andrea Cadili,Italy,Defender,05/05/1999
Caio Rangel,Brazil,Forward,16/01/1996
Fabrizio Caligara,Italy,Midfielder,12/04/2000
Vincenzo Camilleri,Italy,Defender,06/03/1992
Fabrizio Cammarata,Italy,Forward,30/08/1975
Andrea Campagnolo,Italy,Goalkeeper,17/06/1978
Roberto Canestrari,Italy,Defender,26/04/1953
Michele Canini,Italy,Defender,05/06/1985
Renato Caocci,Italy,Defender,17/02/1943
Luca Capecchi,Italy,Goalkeeper,04/08/1974
Alessandro Capello,Italy,Midfielder,12/12/1995
Davide Capello,Italy,Goalkeeper,27/09/1984
Andrea Capone,Italy,Forward,08/01/1981
Renzo Cappellaro,Italy,Forward,12/05/1937
Massimiliano Cappioli,Italy,Midfielder,17/01/1968
Marco Capuano,Italy,Defender,14/10/1991
Andrea Carboni,Italy,Defender,04/02/2001
Werther Carboni,Italy,Goalkeeper,04/04/1996
Fabian Carini,Uruguay,Goalkeeper,26/12/1979
Alan Carlet,Italy,Forward,12/01/1977
Andrea Carnevale,Italy,Forward,12/01/1961
Eupremio Carruezzo,Italy,Forward,09/12/1969
Davide Carrus,Italy,Midfielder,19/03/1979
Ignazio Carta,Italy,Midfielder,18/05/1991
Francesco Casagrande,Italy,Midfielder,02/07/1953
Pasquale Casale,Italy,Midfielder,02/03/1959
Federico Casarini,Italy,Midfielder,07/08/1989
Paolo Castelli,Italy,Goalkeeper,03/01/1980
Lucas Castro,Argentina,Midfielder,09/04/1989
Giovanbattista Catalano,Italy,Forward,22/01/1994
Luca Cavallo,Italy,Midfielder,19/05/1973
Gianni Cavezzi,Italy,Midfielder,07/08/1969
Matteo Centurioni,Italy,Defender,08/05/1974
Pablo Ceppelini,Uruguay,Midfielder,11/09/1991
Luca Ceppitelli,Italy,Defender,11/08/1989
Pierluigi Cera,Italy,Defender,25/02/1941
Alberto Cerri,Italy,Forward,16/04/1996
Damir Ceter,Colombia,Forward,02/11/1997
Michele Chelo,Italy,Forward,05/05/1993
Antonio Chimenti,Italy,Goalkeeper,30/06/1970
Giacomo Chinellato,Italy,Defender,29/06/1955
Flavio Chiti,Italy,Defender,12/02/1970
Francesco Ciampoli,Italy,Defender,08/03/1951
Alejandro Cichero,Venezuela,Defender,20/04/1977
Luca Cigarini,Italy,Midfielder,20/06/1986
Antonio Cinelli,Italy,Midfielder,08/12/1989
Raffaello Ciocca,Italy,Forward,26/04/1945
Giuseppe Ciocci,Italy,Goalkeeper,24/01/2002
Gianfranco Circati,Italy,Midfielder,02/02/1971
Andrea Cocco,Italy,Forward,08/04/1986
Alessandro Colasante,Italy,Midfielder,02/08/1973
Antonio Colomban,Italy,Midfielder,05/02/1932
Santiago Colombatto,Argentina,Midfielder,17/01/1997
Simone Colombi,Italy,Goalkeeper,01/07/1991
Angelo Colombo,Italy,Goalkeeper,13/05/1935
Roberto Colombo,Italy,Goalkeeper,24/08/1975
Leonardo Colucci,Italy,Midfielder,29/12/1972
Angelo Conca,Italy,Midfielder,09/03/1959
Antonio Congiu,Italy,Midfielder,08/02/1936
Daniele Conti,Italy,Midfielder,09/01/1979
Alessandro Conticchio,Italy,Midfielder,19/01/1974
Duje Äop,Croatia,Forward,01/02/1990
Renato Copparoni,Italy,Goalkeeper,27/10/1952
Guglielmo Coppola,Italy,Forward,18/05/1962
Maurizio Coppola,Italy,Midfielder,24/05/1965
Pierluigi Corellas,Italy,Forward,16/06/1972
Carlo Cornacchia,Italy,Defender,04/05/1965
Bernardo Corradi,Italy,Forward,30/03/1976
Roberto Corti,Italy,Goalkeeper,28/10/1952
Andrea Cossu,Italy,Forward,03/05/1980
Matteo Cotali,Italy,Defender,22/04/1997
Enrico Cotza,Italy,Midfielder,03/07/1988
Francesco Cozza,Italy,Midfielder,19/01/1974
Alessio Cragno,Italy,Goalkeeper,28/06/1994
Antonio Criniti,Italy,Forward,29/10/1970
Lorenzo Crisetig,Italy,Midfielder,20/01/1993
Luca Crosta,Italy,Goalkeeper,23/02/1998
Antonio Crusco,Italy,Midfielder,28/02/1958
Mirko Cudini,Italy,Defender,01/09/1973
Antonino D'Agostino,Italy,Midfielder,08/10/1978
Siro D'Alessandro,Italy,Midfielder,09/03/1953
Riccardo Daga,Italy,Goalkeeper,13/01/2000
Paolo Dametto,Italy,Defender,28/06/1993
Danilo Avelar,Brazil,Defender,09/06/1989
Marco Dasara,Italy,Midfielder,09/01/1960
Daniele Davin,Italy,Defender,07/07/1962
Stefano de Angelis,Italy,Defender,23/05/1974
Fernando De Napoli,Italy,Midfielder,15/03/1964
Luciano De Paola,Italy,Midfielder,30/05/1961
Tiziano De Patre,Italy,Midfielder,18/12/1968
Roberto De Petri,Italy,Defender,09/02/1947
Giovanni De Rosa,Italy,Forward,19/09/1956
Marco De Simone,Italy,Defender,09/01/1963
Alessandro Deiola,Italy,Midfielder,01/08/1995
Dario Del Fabro,Italy,Defender,24/03/1995
Cristiano Del Grosso,Italy,Defender,24/03/1983
Loris Del Nevo,Italy,Midfielder,31/05/1975
Julio Dely ValdÃ©s,Panama,Forward,12/03/1967
Angelo Demartis,Italy,Forward,27/05/1984
Andrea Demontis,Italy,Midfielder,10/01/1995
Kiril Despodov,Bulgaria,Forward,11/11/1996
Daniele Dessena,Italy,Midfielder,10/05/1987
Riccardo Dessi,Italy,Defender,04/03/1947
Alessandro Dettori,Italy,Midfielder,26/12/1989
Nicola Di Bitonto,Italy,Goalkeeper,01/05/1966
Emidio Di Carmine,Italy,Forward,08/03/1952
Stefano Di Chiara,Italy,Defender,21/02/1956
JoÃ£o Di Fabio,Italy,Defender,24/11/1979
Davide Di Gennaro,Italy,Midfielder,16/06/1988
Luca Di Laura,Italy,Defender,25/03/1991
Modibo DiakitÃ©,France,Defender,02/03/1987
Diego Farias,Brazil,Forward,10/05/1990
Nicola Diliso,Italy,Defender,10/10/1974
Enea Dionisio,Italy,Defender,24/05/1978
Angelo Domenghini,Italy,Forward,25/08/1941
Godfred Donsah,Ghana,Midfielder,07/06/1996
Riccardo Doratiotto,Italy,Forward,07/06/1999
Roberto Dore,Italy,Goalkeeper,29/03/1960
Albin Ekdal,Sweden,Midfielder,28/07/1989
Mostafa El Kabir,Morocco,Forward,05/10/1988
Sebastian Eriksson,Sweden,Defender,31/01/1989
Antonio Esposito,Switzerland,Midfielder,13/12/1972
Mauro Esposito,Italy,Forward,13/06/1979
Vincenzo Esposito,Italy,Midfielder,06/01/1971
Michele Fadda,Italy,Defender,21/10/1967
Felice Falaguerra,Italy,Forward,08/04/1971
Paolo FaragÃ²,Italy,Midfielder,12/02/1993
Simone Farci,Italy,Midfielder,30/05/1985
Arpad Fekete,Hungary,Forward,05/03/1921
Claudio Ferrarese,Italy,Midfielder,07/09/1978
Giovanni Ferrari,Italy,Forward,01/02/1949
Giuseppe Ferrero,Italy,Midfielder,13/10/1942
Michele Ferri,Italy,Defender,29/05/1981
Gianluca Festa,Italy,Defender,16/03/1969
Michele Fini,Italy,Midfielder,14/06/1974
Valerio Fiori,Italy,Goalkeeper,27/04/1969
Aldo Firicano,Italy,Defender,12/03/1967
Pasquale Foggia,Italy,Midfielder,03/06/1983
Daniel Fonseca,Uruguay,Forward,13/09/1969
Davide Fontolan,Italy,Midfielder,24/02/1966
Marco Fortin,Italy,Goalkeeper,08/07/1974
Marco Fossati,Italy,Midfielder,05/10/1992
Enzo FrancÃ©scoli,Uruguay,Midfielder,12/11/1961
Maurizio Franzone,Italy,Goalkeeper,25/02/1969
Alfredo Fulvi,Italy,Midfielder,22/08/1962
Gabriel,Brazil,Goalkeeper,27/09/1992
Alessandro Gadau,Italy,Midfielder,10/02/1981
Luca Gagliano,Italy,Forward,14/07/2000
Alberto Gallardo,Peru,Forward,28/11/1940
Mattia Gallon,Italy,Forward,30/05/1992
Giacomo Garau,Italy,Defender,27/02/1988
Emanuele Gattelli,Italy,Forward,21/12/1953
Gianluca Gaudenzi,Italy,Midfielder,28/12/1965
Riccardo Gavioli,Italy,Midfielder,26/07/1983
NiccolÃ³ Giannetti,Italy,Forward,12/05/1991
Daniele Giorico,Italy,Midfielder,01/01/1992
Maurizio Giovannelli,Italy,Midfielder,12/03/1958
Massimo Gobbi,Italy,Defender,31/10/1980
Daniele Goletti,Italy,Goalkeeper,18/08/1958
Alejandro GonzÃ¡lez,Uruguay,Defender,23/03/1988
Mario Goretti,Italy,Midfielder,10/02/1958
Giorgio Gorgone,Italy,Midfielder,18/08/1976
Sergio Gori,Italy,Forward,24/02/1946
Simone Gozzi,Italy,Defender,13/04/1986
Gianluca Grassadonia,Italy,Defender,20/05/1972
Biagio Grasso,Italy,Defender,08/03/1967
Vito Graziani,Italy,Midfielder,01/12/1956
Ricciotti Greatti,Italy,Midfielder,13/10/1939
Alfonso Greco,Italy,Midfielder,19/05/1969
Ivan Gregori,Italy,Midfielder,25/04/1947
Gianpaolo Grudina,Italy,Goalkeeper,04/02/1956
Roberto Guana,Italy,Midfielder,21/01/1981
Kwang-song Han,North Korea,Forward,11/09/1998
JosÃ© Herrera,Uruguay,Defender,17/06/1965
Gerry Hitchens,England,Forward,08/10/1934
Josef HuÅ¡bauer,Czech Republic,Midfielder,16/03/1990
VÃ­ctor Ibarbo,Colombia,Forward,19/05/1990
Agim Ibraimi,North Macedonia,Forward,29/08/1988
Costantino Idini,Italy,Defender,27/03/1955
Mario Ielpo,Italy,Goalkeeper,08/06/1963
Gennaro Iezzo,Italy,Goalkeeper,08/06/1973
Antonio Imborgia,Italy,Defender,21/08/1958
Artur IoniÈÄ,Moldova,Midfielder,17/08/1990
Mauricio Isla,Chile,Midfielder,12/06/1988
Jeda,Brazil,Forward,15/04/1979
JoÃ£o Pedro,Brazil,Midfielder,09/03/1992
Mohamed Kallon,Sierra Leone,Forward,06/10/1979
Theofanis Katergiannakis,Greece,Goalkeeper,16/02/1974
Moustapha Keita,France,Defender,11/05/1980
Ragnar Klavan,Estonia,Defender,30/10/1985
Jan Koprivec,Slovenia,Goalkeeper,15/07/1988
Christ Kouadio,Ivory Coast,Defender,23/12/2000
Luka Krajnc,Slovenia,Defender,19/09/1994
Nunzio La Torre,Italy,Midfielder,21/04/1973
Riccardo Ladinetti,Italy,Midfielder,20/12/2000
Nicola Lai,Italy,Midfielder,17/01/1986
Oreste Lamagni,Italy,Defender,23/04/1952
Vincenzo Lambertini,Italy,Defender,07/05/1970
Simon Laner,Italy,Midfielder,28/01/1984
Antonio Langella,Italy,Forward,30/03/1977
Christian Lantignotti,Italy,Midfielder,18/03/1970
Joaquin Larrivey,Argentina,Forward,20/08/1984
Andrea Lazzari,Italy,Midfielder,03/12/1984
Leandro CastÃ¡n,Brazil,Defender,05/11/1986
Nunzio Lella,Italy,Midfielder,28/07/2000
Roberto Leschio,Italy,Midfielder,10/10/1954
Maxime Leverbe,France,Defender,15/02/1997
Fabio Liverani,Italy,Midfielder,29/04/1976
Antonio Logozzo,Italy,Defender,26/09/1954
Antonio Loi,Italy,Forward,25/08/1996
Sandro Loi,Italy,Defender,14/03/1960
Bruno Lombardi,Italy,Defender,23/09/1952
Miguel Ãngel Longo,Argentina,Defender,25/03/1939
Moreno Longo,Italy,Defender,14/02/1976
Samuele Longo,Italy,Forward,12/01/1992
Silvio Longobucco,Italy,Defender,05/06/1951
Giuseppe Longoni,Italy,Defender,12/04/1942
