Name,Country,Position,Born
Alessandro Abagnale,Italy,Goalkeeper,21/09/1998
Paolo Acerbis,Italy,Goalkeeper,05/05/1981
Francesco Agnello,Italy,Midfielder,25/05/1992
Emanuele Alborghetti,Italy,Goalkeeper,02/04/2000
Nicholas Allievi,Italy,Defender,20/04/1992
Davide Amadori,Italy,Goalkeeper,18/07/1992
Adam Ambra,Slovakia,Defender,27/08/1993
Riccardo Ammirati,Italy,Midfielder,19/06/1996
Armando Anastasio,Italy,Defender,24/07/1996
Nicola Andreis,Italy,Defender,11/01/1995
Marco Andreotti,Italy,Midfielder,30/03/1977
Marco Anghileri,Italy,Defender,11/04/1991
Filippo Antonelli Agomeri,Italy,Midfielder,13/07/1978
Roberto Antonioli,Italy,Midfielder,19/04/1968
Christian Araboni,Italy,Forward,22/01/1979
Roberto Arco,Italy,Forward,05/03/1974
Marku Ardit,Italy,Defender,22/04/1996
Daniel Askling,Sweden,Defender,04/01/1990
Vasilios Athanasiou,Greece,Goalkeeper,24/07/1999
Salvatore Aurelio,Italy,Forward,15/01/1986
Mirko Austoni,Italy,Midfielder,02/02/1987
Andrea Badan,Italy,Defender,21/03/1998
Claudio Balesini,Italy,Forward,19/12/1969
ÃdÃ¡m Balla,Hungary,Forward,12/01/1991
Pablo Banegas,Argentina,Forward,13/02/1992
Guri Baqaj,Sweden,Forward,12/09/1990
Riccardo Barzaghi,Italy,Defender,07/03/1996
Andrea Beduschi,Italy,Defender,25/02/1992
Luca Belingheri,Italy,Midfielder,06/04/1983
Davide Belletti,Italy,Forward,14/04/1967
Andrea Belotti,Italy,Forward,20/12/1993
Luca Belotti,Italy,Midfielder,1998
Mauro Belotti,Italy,Defender,13/05/1984
Douglas Bentley,Italy,Midfielder,09/03/1996
Giacomo Beretta,Italy,Forward,14/03/1992
Matteo Beretta,Italy,Forward,07/04/1978
Dario Bergamelli,Italy,Defender,26/04/1987
Antonino Bernardini,Italy,Midfielder,21/06/1974
Romeo Bertani,Italy,Midfielder,17/05/1999
Francesco Bianchetti,Italy,Midfielder,19/04/1991
Giuseppe Biava,Italy,Defender,08/05/1977
Tebaldo Bigliardi,Italy,Defender,05/02/1963
Marco Bolis,Italy,Midfielder,08/10/1962
Daniel Bombardieri,Italy,Defender,12/05/1985
Davide Bombardini,Italy,Midfielder,21/06/1974
Giovanni Bonavita,Italy,Forward,21/09/1971
Roberto Bonazzi,Italy,Forward,29/07/1971
Francesco Bonfiglio,Italy,Forward,20/01/1997
Nicola Boselli,Italy,Defender,12/07/1972
Daniel Bradaschia,Italy,Forward,02/03/1989
Paolo Branduani,Italy,Goalkeeper,09/03/1989
Cristian Brega,Italy,Forward,24/07/1987
Andrea Brevi,Italy,Goalkeeper,11/04/2002
Christian CalÃ¬,Italy,Midfielder,22/07/1999
Michele CalÃ¬,Italy,Midfielder,02/09/1994
Simone Calvano,Italy,Midfielder,11/07/1993
Omar Campana,Italy,Defender,02/08/1975
Simone Canestrelli,Italy,Defender,11/09/2000
Gianmarco Caon,Italy,Midfielder,07/06/1997
Andrea Capecchi,Italy,Defender,01/11/1973
Matteo Capecchi,Italy,Midfielder,21/09/1974
Matteo Capelli,Italy,Forward,30/05/1997
Massimiliano Caputo,Italy,Forward,10/09/1980
Giuseppe Cardone,Italy,Defender,03/03/1974
Davide Caremi,Italy,Midfielder,05/05/1984
Paolo Carminati,Italy,Midfielder,09/05/1992
Simone Carminati,Italy,Defender,01/08/1993
Filippo Carobbio,Italy,Midfielder,15/10/1979
Davide Castelli,Italy,Forward,
Gabriele Cavalieri,Italy,Goalkeeper,20/09/1998
Marco Cellini,Italy,Forward,19/05/1981
Francesco Checcucci,Italy,Defender,18/03/1989
Stefano Chimini,Italy,Goalkeeper,19/06/1993
Andrei Chiriac,Romania,Goalkeeper,20/08/1997
Michael Cia,Italy,Midfielder,03/08/1988
Gabriele Cioffi,Italy,Defender,07/09/1975
Karamoko CissÃ©,Guinea,Forward,14/11/1988
Luciano Civero,Italy,Defender,02/12/1971
Andrea Cocco,Italy,Forward,08/04/1986
Roberto Colacone,Italy,Forward,26/04/1974
Matteo Colombi,Italy,Forward,13/06/1994
Alberto Colombo,Italy,Midfielder,24/02/1974
Riccardo Colombo,Italy,Defender,01/12/1982
Paolo Comi,Italy,Goalkeeper,05/03/1984
Kewullay Conteh,Sierra Leone,Defender,31/12/1977
Carmine Coppola,Italy,Midfielder,10/01/1979
Fausto Coppola,Italy,Midfielder,29/04/1997
Sasha Cori,Italy,Forward,12/05/1989
Mattia Corradi,Italy,Midfielder,12/01/1990
Roberto Cortellini,Italy,Midfielder,19/02/1982
Davide Cortinovis,Italy,Defender,09/09/1999
Michele Cortinovis,Italy,Midfielder,06/07/1995
Simone Cortinovis,Italy,Goalkeeper,19/06/1996
Achille Coser,Italy,Goalkeeper,14/07/1982
Marco Cotroneo,Italy,Defender,07/12/1998
Luca Cremonesi,Italy,Forward,09/03/1995
Andrea Cristiano,Italy,Midfielder,15/07/1984
Rocco D'Aiello,Italy,Defender,28/06/1986
Giuseppe D'Iglio,Italy,Midfielder,19/03/1992
Manuel Daffara,Italy,Midfielder,22/06/1989
Alessandro Dal Canto,Italy,Defender,10/03/1975
Daniele Dalla Bona,Italy,Midfielder,12/08/1983
Oscar Damiani,Italy,Midfielder,16/12/1973
Domenico Danti,Italy,Forward,12/01/1989
Michele De Min,Italy,Forward,13/11/1972
Ivan del Prato,Italy,Midfielder,19/07/1968
Leo Di Ceglie,Italy,Midfielder,14/08/1989
Enrico Di Cesare,Italy,Midfielder,09/03/1994
Valerio Di Cesare,Italy,Defender,23/05/1983
Davide Di Quinzio,Italy,Forward,28/04/1989
Adama Diakite,Ivory Coast,Forward,08/10/1993
Alessandro Diamanti,Italy,Forward,02/05/1983
Diego Reis,Brazil,Forward,20/02/1986
Donato Disabato,Italy,Midfielder,17/04/1990
Mario Donadoni,Italy,Defender,19/11/1979
NiccolÃ² Dondoni,Italy,Defender,14/04/1995
Simone Erba,Italy,Forward,30/08/1971
JosÃ© Espinal,Dom. Republic,Forward,14/11/1982
Christian Esposito,Australia,Forward,23/07/1990
Federico Esposito,Italy,Goalkeeper,
Matteo Fattori,Italy,Midfielder,14/11/1970
Giacomo Ferrari,Italy,Forward,06/12/1967
Nicola Ferrari,Italy,Forward,15/07/1983
Johad Ferretti,Italy,Defender,30/05/1994
Luca Ferri,Italy,Defender,07/02/1991
Claudio Finetti,Italy,Defender,22/02/1972
Davide Flaccadori,Italy,Midfielder,24/07/1996
Giulio Fogaroli,Italy,Midfielder,06/09/1986
Paolo Foglio,Italy,Defender,08/09/1975
Valerio Foglio,Italy,Defender,09/02/1985
Luigi Fratus,Italy,Defender,11/03/1997
Simone Fratus,Italy,Defender,21/03/1998
Alessandro Furlanetto,Italy,Defender,17/02/1967
Michele Fusi,Italy,Defender,17/01/1980
Gabionetta,Brazil,Midfielder,05/10/1985
Alessandro Galeandro,Italy,Forward,29/02/2000
Davide Galli,Italy,Defender,20/03/1987
Ruben Garlini,Italy,Defender,27/05/1971
Fabio Gavazzi,Italy,Defender,04/04/1988
Francesco Gazo,Italy,Midfielder,29/02/1992
Francesco Gelli,Italy,Midfielder,15/10/1996
GaÃ«l Genevier,France,Midfielder,26/06/1982
Arturo Gentili,Italy,Forward,05/02/1936
Domenico Germinale,Italy,Forward,03/06/1987
Enrico Geroni,Italy,Midfielder,18/06/1989
Carlo Gervasoni,Italy,Defender,04/01/1982
Stefano Ghirardello,Italy,Forward,15/01/1973
Giorgio Gianola,Italy,Midfielder,02/07/1989
Paolo Ginestra,Italy,Goalkeeper,14/02/1979
Carmine Giorgione,Italy,Midfielder,17/06/1991
Domenico Girardi,Italy,Forward,02/05/1985
Michael Girasole,Italy,Midfielder,30/01/1989
Gleison,Brazil,Defender,18/08/1981
Massimo Gobbi,Italy,Defender,31/10/1980
Juri Gonzi,Russia,Midfielder,06/04/1994
Marco Gori,Italy,Midfielder,26/07/1979
Edoardo Gorini,Italy,Defender,28/02/1974
Marco Gorzegno,Italy,Midfielder,09/06/1981
Matteo Gritti,Italy,Goalkeeper,11/06/1980
Simone Groppi,Italy,Defender,28/06/1976
Paolo Grossi,Italy,Midfielder,29/05/1985
Marco Guerriera,Italy,Midfielder,23/08/1992
Daniele Guerzoni,Italy,Forward,18/07/1975
Mihai Gusu,Romania,Defender,24/12/1996
Mehmet Hetemaj,Finland,Midfielder,08/12/1987
Vincenzo Iacopino,Italy,Midfielder,09/08/1976
Giovanni Ignoffo,Italy,Defender,03/04/1977
Duccio Innocenti,Italy,Defender,20/09/1975
Filippo Inzaghi,Italy,Forward,09/08/1973
Joelson,Brazil,Forward,10/07/1983
Hicham Kanis,Morocco,Forward,16/08/1997
Simon Klun,Slovenia,Defender,23/12/1989
Marcelo Kobistyj,Argentina,Defender,23/02/1972
Daniel Kouko,Ivory Coast,Forward,28/12/1989
Giuliano Lamma,Italy,Defender,06/07/1980
Simon Laner,Italy,Midfielder,28/01/1984
Ivanoe Lanzara,Italy,Defender,12/08/1972
Stefano Layeni,Italy,Goalkeeper,10/03/1982
Cristian Lazzarini,Italy,Goalkeeper,21/09/1995
Fabio Lebran,Italy,Defender,12/01/1987
Gullaume Legras,France,Midfielder,17/01/1990
Luca Lomi,Italy,Midfielder,07/11/1971
Matteo Longhi,Italy,Midfielder,04/05/1981
Massimo Loviso,Italy,Midfielder,09/04/1984
Alessandro Lucarelli,Italy,Defender,22/07/1977
Francesco Luoni,Italy,Defender,09/04/1988
Nicola Madonna,Italy,Midfielder,31/10/1986
Marco Maffi,Italy,Defender,
Antonio Magli,Italy,Defender,05/03/1991
Oscar Magoni,Italy,Midfielder,22/09/1967
Marvin Maietti,Italy,Midfielder,02/02/1993
Paolo Maino,Italy,Defender,02/03/1989
Alessandro Malomo,Italy,Defender,12/04/1991
Lorenzo Mandelli,Italy,Midfielder,10/09/1998
Joseph Manzini,Italy,Midfielder,05/05/1977
Alessio Manzoni,Italy,Midfielder,10/04/1987
Federico Marchetti,Italy,Goalkeeper,07/02/1983
Leandro Martinez,Argentina,Forward,15/10/1989
NicolÃ² Martino,Italy,Midfielder,23/05/1996
Dino MartinoviÄ,Slovenia,Midfielder,20/07/1990
Claudio Mascheretti,Italy,Defender,03/01/1970
Ferdinando Mastroianni,Italy,Forward,21/03/1992
Luca Matteassi,Italy,Midfielder,23/01/1979
Khalifa Mbaye,Senegal,Forward,06/09/1995
Francesco Micheli,Italy,Defender,04/03/2000
Giacomo Mignani,Italy,Defender,12/08/1971
Mauro Minelli,Italy,Defender,02/04/1981
Simone Minelli,Italy,Forward,08/01/1997
Nicola Mingazzini,Italy,Midfielder,13/08/1980
Davide Moi,Italy,Defender,07/06/1985
Matteo MomentÃ¨,Italy,Forward,26/02/1987
Luca Monari,Italy,Defender,14/12/1971
Davide Mondonico,Italy,Defender,25/05/1997
Antonio Montella,Italy,Forward,04/04/1986
Yuri Morandi,Italy,Goalkeeper,18/01/1992
Daniele Morante,Italy,Forward,04/12/1979
Riccardo Moreo,Italy,Forward,24/02/1996
Mario Morfeo,Italy,Midfielder,01/11/1978
Domenico Moro,Italy,Midfielder,02/01/1962
Tommaso Morosini,Italy,Midfielder,08/10/1991
Leonardo Muchetti,Italy,Midfielder,03/09/1985
Gioele Mureno,Italy,Defender,20/09/1992
Antonio Narciso,Italy,Goalkeeper,01/10/1980
Marco Nichetti,Italy,Midfielder,22/12/1996
Matteo Nodari,Italy,Goalkeeper,24/05/1991
Emanuele Nordi,Italy,Goalkeeper,23/04/1984
Andrea Offredi,Italy,Goalkeeper,17/02/1988
Daniel Offredi,Italy,Goalkeeper,26/03/1988
Davide Ondei,Italy,Defender,07/09/1993
Paolo Orlandoni,Italy,Goalkeeper,12/08/1972
Federico Pacciardi,Italy,Defender,07/02/1995
Davide Pacifico,Italy,Defender,05/01/1994
Mario Pacilli,Italy,Midfielder,25/04/1987
Andrea Pagno,Italy,Goalkeeper,03/11/2001
Andrea Pansera,Italy,Goalkeeper,28/12/1979
Michele Paris,Italy,Midfielder,07/06/1995
Lorenzo Pasciuti,Italy,Midfielder,24/09/1989
Dario Passoni,Italy,Midfielder,09/02/1974
Ivan Pelizzoli,Italy,Goalkeeper,18/11/1980
Paolo PellicanÃ²,Italy,Defender,27/11/1995
Federico Peluso,Italy,Defender,20/01/1984
Davide Perego,Italy,Midfielder,15/09/1998
Gabriele Perico,Italy,Defender,11/03/1984
Marco Perini,Italy,Midfielder,19/03/1985
Manuel PersonÃ¨,Italy,Forward,17/05/1992
Massimiliano Pesenti,Italy,Forward,13/04/1987
Luca Petrungaro,Italy,Midfielder,30/01/2000
Gabriele Piantoni,Italy,Midfielder,11/09/1988
Matteo Piccinini,Italy,Midfielder,02/02/1993
Matteo Piccinni,Italy,Defender,06/03/1986
Valerio Pirovano,Italy,Defender,30/01/1993
Mirco Poloni,Italy,Midfielder,18/09/1974
Simone Pontiggia,Italy,Forward,27/04/1993
Davide Possanzini,Italy,Forward,09/02/1976
Fabio Prandini,Italy,Forward,01/01/1997
Roberto Previtali,Italy,Midfielder,03/09/1981
Alessandro Quaini,Italy,Midfielder,17/09/1998
Andrea Rabito,Italy,Forward,11/05/1980
Ruggerio Radice,Italy,Defender,03/07/1971
Cristian Raimondi,Italy,Midfielder,30/04/1981
Julien Rantier,France,Midfielder,11/08/1983
Alessio Rasi,Italy,Defender,04/08/1999
Mario Ravasio,Italy,Forward,19/07/1998
Andrea Razzitti,Italy,Forward,12/03/1989
Renato Redaelli,Italy,Goalkeeper,18/01/1968
Pierre Regonesi,Italy,Defender,12/02/1979
Francesco Renzetti,Italy,Defender,22/01/1988
Ruggiero Riva,Italy,Defender,24/07/1990
Marco Romizi,Italy,Midfielder,13/02/1990
Mauro Rosin,Italy,Goalkeeper,29/09/1964
Emanuele Rovaris,Italy,Midfielder,02/02/1974
Luca Ruffini,Italy,Defender,02/05/1997
Francesco Ruopolo,Italy,Forward,10/03/1983
