Name,Country,Position,Born
Arilton,Brazil,Defender,16/05/1989
Artur Jesus,Brazil,Defender,11/06/1990
Bida,Brazil,Midfielder,02/08/1984
Bruno Silva,Brazil,Midfielder,03/08/1986
Carciano,Brazil,Defender,13/05/1981
Cazarine,Brazil,Forward,06/05/1983
Chiquinho,Brazil,Defender,26/08/1986
Delmer,Brazil,Forward,24/07/1974
Eraldo,Brazil,Forward,01/04/1982
Fabiano,Brazil,Forward,25/07/1984
FabrÃ­cio Soares,Brazil,Defender,25/07/1978
Fernando,Brazil,Midfielder,16/07/1986
Geraldino,Brazil,Defender,11/01/1940
Geufer,Brazil,Forward,06/12/1980
Giancarlo,Brazil,Forward,14/01/1990
Gil,Brazil,Forward,24/12/1950
Heitor,Brazil,Defender,09/11/1989
Humberto Marques,Brazil,Midfielder,03/04/1989
Jonathas,Brazil,Forward,06/03/1989
Leozinho,Brazil,Forward,07/06/1988
Lucas Mineiro,Brazil,Midfielder,24/02/1996
LuÃ­s Fernando,Brazil,Midfielder,22/02/1964
Luiz Ricardo,Brazil,Midfielder,10/02/1987
Luizinho,Brazil,Defender,22/10/1958
MaranhÃ£o,Brazil,Forward,19/05/1992
MÃ¡rcio Diogo,Brazil,Midfielder,22/09/1985
Mateus,Brazil,Midfielder,26/03/1990
Maurim,Brazil,Defender,01/05/1988
Michel Douglas,Brazil,Forward,16/01/1992
Mussula,Brazil,Goalkeeper,21/08/1938
Natal,Brazil,Midfielder,24/11/1945
NÃ­colas,Brazil,Goalkeeper,12/04/1988
NÃºbio FlÃ¡vio,Brazil,Forward,25/05/1992
Paulo Kobayashi,Brazil,Forward,09/01/1970
Pedro JÃºnior,Brazil,Forward,29/01/1987
Ricardinho,Brazil,Forward,19/11/1983
Roger,Brazil,Defender,10/02/1992
Tucho,Brazil,Midfielder,12/02/1980
Vitor,Brazil,Defender,09/08/1974
Welton Felipe,Brazil,Defender,15/06/1986
William,Brazil,Defender,25/06/1933
