Name,Country,Position,Born
Michael Arndt,Germany,Defender,07/06/1982
Olaf Backasch,Germany,Defender,04/10/1965
Bernd Baldow,Germany,Midfielder,22/01/1951
Frank Bartz,Germany,Forward,19/06/1965
JÃ¶rg Bartz,Germany,Midfielder,19/06/1965
Heinz Basan,Germany,Defender,10/02/1944
Peter Below,Germany,Goalkeeper,07/12/1942
Arthur Bialas,Germany,Forward,21/11/1930
Olaf Bitzka,Germany,Defender,15/03/1962
Frank BÃ¶ttger,Germany,Defender,29/10/1958
Andre BrÃ¼ll,Germany,Defender,14/01/1961
Zoran Culafic,Serbia,Defender,13/01/1963
Badri Danelia,Georgia,Midfielder,02/01/1967
Egon David,Germany,Forward,03/06/1939
Uwe Decker,Germany,Defender,26/04/1961
JÃ¶rg Dobritz,Germany,Midfielder,30/07/1966
Norman Elsner,Germany,Midfielder,04/11/1980
Vladimir Fadeev,Kazakhstan,Forward,26/04/1974
Kevin Fettke,Germany,Goalkeeper,01/02/1979
Holger Fraedrich,Germany,Midfielder,09/08/1968
Siegfried Franz,Germany,Goalkeeper,24/07/1944
Torsten FrÃ¶hling,Germany,Defender,24/08/1966
Reinhard GÃ¤rtner,Germany,Forward,08/02/1944
Sascha Geister,Germany,Defender,07/11/1973
Klaus Grebasch,Germany,Forward,18/11/1947
Lars Greschke,Germany,Goalkeeper,07/02/1982
Erich Hamann,Germany,Midfielder,27/11/1944
Andreas Hawa,Germany,Goalkeeper,14/05/1959
Wolfgang Heine,Germany,Defender,23/12/1954
Herbert Heinze,Germany,Forward,12/03/1925
Klaus-Dieter Helbig,Germany,Forward,19/09/1952
Werner Hilbert,Germany,Forward,24/10/1936
Kai Hillmann,Germany,Goalkeeper,11/10/1977
Bernd Hillmer,Germany,Defender,11/10/1953
Manfred Hirsch,Germany,Defender,24/08/1962
Mario Huth,Germany,Forward,14/12/1968
Andjelko Ivanko,Croatia,Midfielder,23/11/1966
Robert Jager,Germany,Midfielder,22/03/1981
Matthias Jahn,Germany,Forward,13/12/1948
Ingo JÃ¤schke,Germany,Midfielder,29/03/1961
Jens Jaschob,Germany,Goalkeeper,19/10/1968
Goran JerkoviÄ,Croatia,Midfielder,23/04/1965
Rolf-Dieter Kahnt,Germany,Goalkeeper,05/10/1952
Duncan Kaiser,Germany,Midfielder,15/10/1993
Christian Kalainski,Germany,Midfielder,01/04/1961
GÃ¼nter Kasel,Germany,Midfielder,03/11/1945
Uwe KÃ¤thner,Germany,Midfielder,16/01/1959
Harry Kaulfers,Germany,Forward,07/10/1959
Andre Keipke,Germany,Defender,15/02/1976
Holger Keipke,Germany,Goalkeeper,10/10/1950
BjÃ¶rn Keller,Germany,Midfielder,12/09/1977
Uwe Kirchner,Germany,Defender,31/12/1965
Horst Kittel,Germany,Midfielder,16/10/1942
Mike Klenge,Germany,Midfielder,18/08/1968
JÃ¶rg Klimpel,Germany,Goalkeeper,29/09/1956
Wilfried Klingbiel,Germany,Forward,21/06/1939
Thomas Kluge,Germany,Defender,16/06/1966
Benito Koch,Germany,Forward,07/02/1971
Roman Komarow,Germany,Midfielder,15/05/1954
Alexander KÃ¶nig,Germany,Forward,
Thomas Konsolke,Germany,Goalkeeper,09/07/1963
Dirk Konzer,Germany,Forward,26/03/1968
Hartwig KÃ¶pcke,Germany,Forward,30/01/1944
Rudolf Kowatsch,Germany,Forward,
BjÃ¶rn Kremser,Germany,Midfielder,02/03/1974
Holger KrÃ¼ger,Germany,Defender,21/08/1969
Peter Krzikalla,Germany,Midfielder,29/05/1941
Tom KÃ¼hling,Germany,Defender,28/08/1966
Christian KÃ¼hnÃ¶hl,Germany,Forward,10/07/1982
Jens Kunath,Germany,Goalkeeper,15/02/1967
