Name,Country,Position,Born
Arsim Abazi,North Macedonia,Defender,28/11/1972
Ergin Abdul,North Macedonia,Midfielder,03/02/1993
Sall Aboubakrine,North Macedonia,Midfielder,12/06/1992
Abdulrashid Adams,North Macedonia,Defender,19/10/1980
Emir Adem,North Macedonia,Defender,21/10/1986
Ermadin Adem,North Macedonia,Midfielder,07/07/1990
Mevlan Adili,North Macedonia,Defender,30/03/1994
Sait Ahil,North Macedonia,Midfielder,07/02/1982
Fljakron Ajdari,North Macedonia,Forward,20/08/1993
Veton Ajdini,North Macedonia,Defender,13/07/1989
Enes AkgÃ¼n,Turkey,Forward,20/09/1995
Igor Aleksovski,North Macedonia,Goalkeeper,24/02/1995
Sabri Ali,North Macedonia,Forward,04/09/1989
Betim Aliju,North Macedonia,Midfielder,17/03/1989
Jusuf Aliu,North Macedonia,Forward,21/08/2000
Fikret AlomeroviÄ,North Macedonia,Defender,03/12/1970
Kemal AlomeroviÄ,North Macedonia,Midfielder,06/12/1980
Ruzhdi Ameti,North Macedonia,Goalkeeper,19/04/1999
Viktor Angelov,North Macedonia,Forward,27/03/1994
Erdzan Arif,North Macedonia,Midfielder,15/07/1984
Fatmir Arif,North Macedonia,Forward,17/06/1993
Refik Arif,North Macedonia,Defender,18/12/1969
Bunjamin Asani,North Macedonia,Midfielder,10/08/1988
Ersen Asani,North Macedonia,Defender,28/05/1993
Jasir Asani,Albania,Forward,19/05/1995
Shpend Asani,North Macedonia,Forward,14/11/1996
Emre Atila,Turkey,Midfielder,02/09/1996
Bejtula Avdulai,North Macedonia,Midfielder,10/09/1998
Enes Azizi,Switzerland,Goalkeeper,09/02/1994
Bum-Geun Bae,South Korea,Midfielder,
Oldzaj Bajram,North Macedonia,Midfielder,14/12/1974
Jasir Bajrami,North Macedonia,Goalkeeper,19/01/1994
Muharem Bajrami,North Macedonia,Midfielder,29/11/1985
Toni Banduliev,North Macedonia,Defender,08/10/1980
Basilio,Equatorial Guinea,Defender,17/01/1999
Feim BeganoviÄ,North Macedonia,Midfielder,26/02/1966
Husein BeganoviÄ,North Macedonia,Defender,16/06/1971
Alajdin Bekirovski,North Macedonia,Defender,15/09/1977
Argjend Bekjiri,North Macedonia,Midfielder,03/04/1975
Halil Berisha,North Macedonia,Midfielder,25/09/2000
Jakup Berisha,North Macedonia,Midfielder,20/02/2000
Sedat Berisha,North Macedonia,Defender,03/09/1989
Amir Bilali,Albania,Defender,15/05/1994
Sabit Bilalli,North Macedonia,Midfielder,15/08/1997
Zekirija Biljali,North Macedonia,Defender,13/03/1989
Saso Blazevski,North Macedonia,Forward,20/05/1974
Besmir Bojku,North Macedonia,Midfielder,03/01/1995
Ron Broja,Kosovo,Midfielder,09/04/1996
SaÅ¡a ÄiriÄ,North Macedonia,Forward,11/01/1968
Esad ÄolakoviÄ,North Macedonia,Defender,27/04/1970
Bradhi Dakouri,Ivory Coast,Midfielder,13/12/1992
Dembo Darboe,Gambia,Midfielder,17/08/1998
Ertan Demiri,North Macedonia,Midfielder,24/01/1979
Husein Demiri,North Macedonia,Forward,06/09/1995
Dejan Demjanski,North Macedonia,Midfielder,20/06/1971
Lamine Diack,Senegal,Midfielder,15/11/2000
Bojan Dimitrevski,North Macedonia,Forward,
Emil Dimitrov,North Macedonia,Defender,15/08/1976
Ferdi Dzeladini,North Macedonia,Forward,30/10/1986
Sali Dzunej,North Macedonia,Defender,03/09/1986
Aleksandar ÄuriÄ,Singapore,Forward,12/08/1970
Agon Elezi,North Macedonia,Midfielder,01/03/2001
Xhemail Esati,North Macedonia,Forward,05/09/2000
Haris Fakic,North Macedonia,Defender,03/03/1982
Ivan FatiÄ,Montenegro,Defender,21/08/1988
Nuredin Fetai,North Macedonia,Forward,25/09/1976
Armend Gashi,North Macedonia,Midfielder,18/01/1997
SlavÄo Georgievski,North Macedonia,Midfielder,30/03/1980
Miroslav GjokiÄ,North Macedonia,Forward,17/01/1973
Bojan Gjorgievski,North Macedonia,Defender,25/01/1992
IlÄo Gjorgioski,North Macedonia,Midfielder,11/12/1971
Filip Gligorov,North Macedonia,Defender,31/07/1993
Oumar Goudiaby,Senegal,Midfielder,01/01/1995
Goce Gruevski,North Macedonia,Goalkeeper,20/08/1974
Blerim Gudjufi,North Macedonia,Goalkeeper,28/08/1986
Burim Gudzufi,North Macedonia,Forward,28/06/1986
Faruk Guru,North Macedonia,Forward,20/12/1989
Nermin HajdareviÄ,Bosnia-Herzegovina,Forward,10/02/1999
Hajdarpasic,North Macedonia,Goalkeeper,
Halim Hodai,North Macedonia,Defender,01/01/1969
Stanley Ibe,Nigeria,Forward,19/07/1984
Bajram Idai,North Macedonia,Defender,07/11/1986
Onyebuchi Emmanuel Ifeanyi,Nigeria,Defender,04/04/2000
Nicola Ilic,Bosnia-Herzegovina,Forward,27/01/1994
Darko Ilieski,North Macedonia,Defender,14/10/1995
BlaÅ¾e Ilijoski,North Macedonia,Forward,09/07/1984
Ardit Iljazi,North Macedonia,Midfielder,16/06/2000
Albert Imer,North Macedonia,Midfielder,12/05/1973
Omar Imeri,Albania,Forward,13/12/1999
Besar Iseni,North Macedonia,Midfielder,18/01/1997
Fatih Ismaili,North Macedonia,Forward,29/08/1997
Todor Ivanoski,North Macedonia,Defender,07/02/1973
Abdulhadi Jahja,North Macedonia,Forward,03/06/1999
Filip Janevski,North Macedonia,Midfielder,08/03/1994
Goran Janevski,North Macedonia,Midfielder,04/07/1972
Amir Jasar,North Macedonia,Goalkeeper,25/02/1991
Alen Jasaroski,North Macedonia,Forward,06/11/1991
Omer Jashari,North Macedonia,Forward,13/11/2000
Nuhi Jonuz,North Macedonia,Goalkeeper,04/06/2001
Iskender Jonuzi,North Macedonia,Midfielder,
Goran Jovanovski,North Macedonia,Defender,21/08/1972
Zoran Jovanovski,North Macedonia,Defender,21/08/1972
Gogo JovÄev,North Macedonia,Goalkeeper,25/03/1974
Nuhi Junuzi,North Macedonia,Goalkeeper,04/03/2001
Marin Jurina,Bosnia-Herzegovina,Forward,26/11/1993
Fati Jusufi,North Macedonia,Forward,1998
Fatjon Jusufi,North Macedonia,Midfielder,17/12/1995
Florian Kadriu,North Macedonia,Midfielder,29/08/1996
Eridin Kail,North Macedonia,Midfielder,17/02/1989
Leonard Kalaba,North Macedonia,Midfielder,03/05/1986
Pero Kargov,North Macedonia,Goalkeeper,03/03/1971
Valentin Kochoski,North Macedonia,Midfielder,01/03/1997
Sead KolaÅ¡inac,Serbia,Forward,18/09/1970
Ernad KovaÄeviÄ,North Macedonia,Defender,1968
Besart Krivanjeva,North Macedonia,Defender,28/02/1996
Khalil Lambin,Ivory Coast,Forward,03/08/1992
Dimitrija Lazarevski,North Macedonia,Defender,23/09/1982
Musli Lika,North Macedonia,Forward,28/02/2000
Lazo Liposki,North Macedonia,Goalkeeper,27/03/1966
BlagojÄe LjamÄevski,North Macedonia,Defender,07/04/1987
Marjan Madjarovski,North Macedonia,Goalkeeper,30/07/1986
Miran Maksuti,North Macedonia,Forward,15/07/1993
Edis Malikji,North Macedonia,Midfielder,04/05/1995
