Name,Country,Position,Born
Bruce Abdoulaye,Congo,Defender,15/04/1982
Kola Adams,Nigeria,Defender,18/11/1980
Brandon Afua,Congo DR,Midfielder,19/10/1994
Brandon Agounon,France,Midfielder,19/10/1994
CÃ©dric Agrain,France,Forward,28/03/1985
Malek Aguad,France,Defender,
Malek AÃ¯t Alia,Algeria,Midfielder,15/08/1977
Abdelhak Ait El Mouden,France,Midfielder,24/10/1983
Ahmed AÃ¯t Ouarab,France,Midfielder,07/08/1979
Ludovic Ajorque,France,Forward,25/02/1994
JosuÃ© Albert,French Guyana,Defender,21/01/1992
Romain Alessandrini,France,Midfielder,03/04/1989
Jim Allevinah,France,Forward,27/02/1995
Philippe Amblard,France,Midfielder,
Faneva Andriatsima,Madagascar,Forward,03/06/1984
Blankson Anoff,Ghana,Midfielder,24/03/2001
Romain Armand,France,Forward,27/02/1987
Sylvain Armand,France,Defender,01/08/1980
Loris Arnaud,France,Forward,16/04/1987
Aadil Assana,France,Midfielder,27/01/1993
Ludovic Assemoassa,Togo,Defender,18/09/1980
Pascal Aurejac,France,Forward,11/02/1963
Cedric Avinel,France,Defender,11/09/1986
Florian AyÃ©,France,Forward,19/01/1997
Lhadji Badiane,France,Forward,16/04/1987
Schuman Bah,Guinea,Defender,24/08/1974
Brandon Baiye,Belgium,Midfielder,27/12/2000
Mamadou BaldÃ©,Senegal,Defender,12/12/1985
Fabien Bardet,France,Goalkeeper,05/01/1977
Mohamed Bayo,France,Forward,04/06/1998
Nicolas Bayod,France,Midfielder,07/03/1982
Aziz Belissaoui,France,Forward,07/05/1975
David Bellime,France,Midfielder,22/08/1968
Nadir Ben Dahmane,France,Forward,09/06/1992
Medhi Benatia,Morocco,Defender,17/04/1987
Christophe Bentoumi,France,Forward,10/08/1968
Paul Bernardoni,France,Goalkeeper,18/04/1997
Jason Berthomier,France,Midfielder,06/01/1990
Farid Besnaci,France,Midfielder,
MickaÃ«l Bessaque,France,Midfielder,23/10/1975
Yohan Betsch,France,Midfielder,16/02/1987
GrÃ©gory Bettiol,France,Forward,30/03/1986
Pierre Bini,France,Midfielder,02/08/1923
CÃ©dric Bockhorni,France,Defender,05/09/1983
Donato Bottone,Italy,Forward,21/06/1988
Yohan Bouchard,France,Goalkeeper,01/12/1976
Vincent Boulanger,France,Midfielder,14/06/1974
Farid Boulaya,Algeria,Midfielder,25/02/1993
Ali Boulebda,France,Forward,21/08/1980
Pierre-Emmanuel Bourdeau,France,Defender,19/05/1975
Yvan Bourgis,France,Defender,24/09/1979
Pierre Bouysse,France,Goalkeeper,27/06/1983
Yohan Bouzin,France,Defender,20/08/1974
Yacine Brahimi,Algeria,Midfielder,08/02/1990
FrÃ©dÃ©ric Brando,France,Midfielder,08/11/1973
KÃ©vin Bru,Mauritius,Midfielder,12/12/1988
Alexis Busin,France,Forward,07/09/1995
Jean-NoÃ«l Cabezas,France,Forward,31/12/1966
Roberto Cabral,Argentina,Midfielder,18/06/1952
Dorian Caddy,France,Forward,20/03/1995
Marc-AurÃ¨le Caillard,France,Goalkeeper,12/05/1994
Jean-Philippe Caillet,France,Defender,24/06/1977
Basile Camerling,France,Forward,19/04/1987
Pierrick Capelle,France,Midfielder,15/04/1987
Rudy Carlier,France,Forward,19/01/1986
Hubert Castets,France,Defender,10/11/1971
Vincent CÃ© Ougna,France,Forward,03/10/1985
JÃ©rÃ´me Cellier,France,Defender,08/02/1984
Fabien Centonze,France,Defender,16/01/1996
Sofyan Chader,France,Forward,12/05/2000
Cantyn Chastang,France,Defender,30/03/1998
Christophe Chastang,France,Forward,08/06/1971
Franck ChaussidiÃ¨re,France,Midfielder,01/08/1978
Olivier Chavanon,France,Midfielder,17/02/1968
Pierre Chavrondier,France,Midfielder,26/08/1971
Romain Chevrier,France,Defender,26/07/1983
Till Cissokho,France,Defender,08/02/2000
Anthony Civet,France,Defender,01/04/1997
David Clapson,France,Forward,23/03/1970
RaphaÃ«l Clapson,France,Defender,23/09/1973
Nicolas Cloarec,France,Midfielder,24/07/1977
Fabien Cohade,France,Defender,26/08/1973
JÃ©rÃ´me Collomb,France,Forward,07/05/1970
Julien Cordonnier,France,Defender,27/06/1980
David Correia,France,Midfielder,29/12/1978
Christophe CouÃ©,France,Midfielder,23/03/1982
Nicolas Coulanghon,France,Defender,11/05/1997
Abdoulaye Coulibaly,Ivory Coast,Defender,29/12/1976
Jean-Luc Courtet,France,Forward,09/04/1968
StÃ©phane d'Angelo,France,Goalkeeper,10/03/1961
Damien Da Silva,France,Defender,17/05/1988
Fabrice Emmerick Darbelet,France,Midfielder,04/08/1973
Samuel Darchy,France,Forward,30/05/1980
NathaÃ«l DaudÃ©,France,Midfielder,19/08/1983
Claudio de Assis,Brazil,Forward,19/04/1984
Dylan Deligny,France,Midfielder,05/08/1993
Mana DembÃ©lÃ©,Mali,Forward,29/11/1988
Quentin Deniaud,France,Midfielder,08/10/1988
Thomas Deniaud,France,Forward,31/08/1971
JÃ©rÃ©my Denquin,France,Midfielder,18/05/1977
RÃ©my Descamps,France,Goalkeeper,25/06/1996
Lassana Diako,France,Defender,13/11/1998
Mouhamadou Diaw,Senegal,Midfielder,02/02/1981
Famara DiÃ©dhiou,Senegal,Forward,15/12/1992
Charles Diers,France,Midfielder,06/06/1981
KÃ©vin Diogo,France,Midfielder,08/07/1991
Bernard DiomÃ¨de,France,Midfielder,23/01/1974
Souleiman Djabour,France,Forward,02/10/1988
Karim Djellabi,France,Defender,31/05/1983
Ouparine Djoco,France,Goalkeeper,22/04/1998
Julio Donisa,France,Forward,15/01/1994
FÃ©rÃ©bory DorÃ©,Congo,Forward,21/01/1989
Martin Douillard,France,Midfielder,20/03/1985
David Douline,France,Midfielder,28/05/1993
LoÃ¯c Druon,France,Defender,23/08/1971
Pierre-Yves Dudragne,France,Defender,24/12/1984
RÃ©my Dugimont,France,Forward,01/07/1986
Maxime DupÃ©,France,Goalkeeper,04/03/1993
Ãdouard Duplan,France,Forward,13/05/1983
Christophe Dussart,France,Defender,15/04/1976
EugÃ¨ne Ekobo,Cameroon,Midfielder,15/02/1981
Hakim El Bounadi,Morocco,Defender,09/08/1986
Olivier Enjolras,France,Goalkeeper,28/12/1971
Affo Erassa,Togo,Midfielder,19/02/1983
Armenach Erevanian,Turkey,Goalkeeper,15/03/1915
Yvan Erichot,France,Defender,25/03/1990
Marvin Esor,France,Defender,21/07/1989
Michel Espinosa,France,Midfielder,15/09/1993
Jordan Etienne,France,Midfielder,07/05/1997
MickaÃ«l Fabre,France,Goalkeeper,15/07/1984
Fabien Farnolle,Benin,Goalkeeper,21/09/1984
Diene Faye,Senegal,Forward,19/09/1971
Bertrand Fayolle,France,Forward,15/08/1975
Manuel FernÃ¡ndez,Spain,Defender,01/02/1922
Marc Finotto,France,Defender,22/08/1970
Charley Fomen,Cameroon,Defender,09/07/1989
Thomas Fontaine,Madagascar,Defender,08/05/1991
FrÃ©dÃ©ric Fouret,France,Forward,24/10/1974
Julien Frobert,France,Goalkeeper,29/07/1977
Furtado,Brazil,Midfielder,07/04/1983
Fabrice Gacon,France,Defender,23/03/1975
Johan Gallon,France,Midfielder,10/04/1978
Manolo Gas,France,Defender,11/09/1970
Johan Gastien,France,Midfielder,25/01/1988
Jean-Luc Gautier,France,Midfielder,23/11/1969
JÃ©rÃ©my Gavanon,France,Goalkeeper,20/09/1983
Nicolas Gavory,France,Midfielder,16/02/1995
Eric Gelard,France,Goalkeeper,08/09/1969
Ludovic Genest,France,Forward,18/09/1987
Nicolas Gerbal,France,Midfielder,23/06/1985
Nabil Gharbi,France,Goalkeeper,06/10/1982
Mathieu Giraud,France,Midfielder,25/05/1985
Marc Giraudon,France,Defender,22/07/1980
Jean-Serge Gnakpa,Ivory Coast,Defender,03/10/1975
David Gomis,France,Midfielder,21/12/1992
CÃ©dric GonÃ§alves,France,Forward,06/08/1993
Miguel GonÃ§alves,Congo,Defender,06/01/1990
Jocelyn Gourvennec,France,Midfielder,22/03/1972
Antoine Grauss,France,Midfielder,03/08/1984
Adrian GrbiÄ,Austria,Forward,04/08/1996
Nicolas Grivot,France,Goalkeeper,04/02/1994
Gilles Groueix,France,Forward,
StÃ©phane Groueix,France,Defender,29/08/1972
Bruno Grougi,Martinique,Midfielder,26/04/1983
Alain Grumelon,France,Midfielder,22/06/1957
Thomas Guerbert,France,Midfielder,06/04/1989
Alban Guibout,France,Goalkeeper,26/07/1989
Mohamed Guilavogui,Mali,Forward,14/11/1996
Guilherme Moreira,Brazil,Forward,11/04/1987
