Name,Country,Position,Born
Luciano Abecasis,Argentina,Defender,04/06/1990
Guillermo Acosta,Argentina,Midfielder,31/10/1988
Lautaro Acosta,Argentina,Midfielder,14/03/1988
Rodrigo Acosta,Argentina,Defender,10/03/1986
AÃ­n Acosta Luna,Argentina,Goalkeeper,09/09/1994
RubÃ©n AgÃ¼ero,Argentina,Defender,20/02/1960
Mario Aguilar,Argentina,Midfielder,01/08/1978
Marcos Aguirre,Argentina,Midfielder,30/03/1984
NicolÃ¡s Aguirre,Argentina,Midfielder,27/06/1990
RamÃ³n Aguirre,Argentina,Defender,18/10/1944
Lucas AlessandrÃ­a,Argentina,Defender,05/04/1978
Javier AlmirÃ³n,Argentina,Defender,09/02/1980
Miguel AlmirÃ³n,Paraguay,Midfielder,10/02/1994
Cristian Ãlvarez,Argentina,Midfielder,09/01/1978
Carlos Amodeo,Argentina,Midfielder,26/03/1963
Esteban Andrada,Argentina,Goalkeeper,26/01/1991
MartÃ­n Andrizzi,Argentina,Midfielder,05/07/1976
Eric Aparicio,Argentina,Forward,25/01/1990
Carlos Araujo,Argentina,Defender,19/11/1981
Carlos Arce,Argentina,Defender,04/02/1985
Rodrigo Archubi,Argentina,Midfielder,06/06/1985
Luis Arrieta,Argentina,Forward,
Marcos Astina,Argentina,Midfielder,21/01/1996
Carlos Auzqui,Argentina,Midfielder,16/03/1991
NicolÃ¡s Avellaneda,Argentina,Goalkeeper,24/02/1993
VÃ­ctor Ayala,Paraguay,Midfielder,01/01/1988
Ignacio Bailone,Argentina,Forward,20/01/1994
Luciano Balbi,Argentina,Defender,04/04/1989
Gustavo BalvorÃ­n,Argentina,Forward,06/09/1977
Diego Barisone,Argentina,Defender,29/05/1989
Fernando Barrientos,Argentina,Midfielder,17/11/1991
Gustavo Bartelt,Argentina,Forward,02/09/1974
Jonatan Belforte,Argentina,Midfielder,12/09/1986
IvÃ¡n Bella,Argentina,Midfielder,13/09/1989
Gonzalo Belloso,Argentina,Forward,30/03/1974
Fernando Belluschi,Argentina,Midfielder,10/09/1983
TomÃ¡s Belmonte,Argentina,Midfielder,27/05/1998
Ariel Beltramo,Argentina,Forward,20/08/1969
Leandro BenÃ­tez,Argentina,Midfielder,03/05/1987
Marcelo BenÃ­tez,Argentina,Midfielder,29/05/1989
Nelson BenÃ­tez,Argentina,Defender,24/05/1984
Ãscar BenÃ­tez,Argentina,Midfielder,14/01/1993
Alexandro Bernabei,Argentina,Defender,24/09/2000
RamÃ³n Bernuncio,Argentina,Midfielder,16/06/1965
Carlos Bertetti,Argentina,Forward,
Arley Betancourth,Colombia,Forward,04/03/1975
Diego Bielkiewicz,Argentina,Forward,04/01/1991
Santiago Biglieri,Argentina,Forward,11/02/1986
Ismael Blanco,Argentina,Forward,19/01/1983
SebastiÃ¡n Blanco,Argentina,Midfielder,15/03/1988
Blas Tapparello,Argentina,Forward,05/04/1995
CÃ©sar Borda,Argentina,Defender,19/04/1993
Carlos Bossio,Argentina,Goalkeeper,01/12/1973
Diego Braghieri,Argentina,Defender,23/02/1987
AndrÃ©s BressÃ¡n,Argentina,Defender,12/01/1977
Jorge Brown,Argentina,Midfielder,03/04/1880
Walter Buchanan,Scotland,Defender,
Guillermo Burdisso,Argentina,Defender,26/09/1988
Rodrigo Burela,Argentina,Goalkeeper,12/10/1971
Diego Bustos,Argentina,Midfielder,24/08/1974
FabiÃ¡n Bustos,Argentina,Forward,28/03/1969
Dario Cabrol,Argentina,Midfielder,31/01/1972
Jorge CÃ¡ceres,Paraguay,Defender,26/01/1998
Maximiliano CÃ¡ceres,Argentina,Midfielder,08/05/1995
Gabriel CalderÃ³n,Argentina,Forward,07/02/1960
Oscar Calics,Argentina,Defender,18/11/1939
Mauro Camoranesi,Italy,Midfielder,04/10/1976
Denis Caniza,Paraguay,Defender,29/08/1974
GermÃ¡n Cano,Argentina,Forward,02/02/1988
Ignacio Canuto,Argentina,Defender,20/02/1986
RubÃ©n Capria,Argentina,Midfielder,06/01/1970
Mauricio Caranta,Argentina,Goalkeeper,31/07/1978
Ezequiel Carboni,Argentina,Midfielder,04/04/1979
Kevin Cardozo,Argentina,Midfielder,20/02/1998
NicolÃ¡s Caro,Argentina,Defender,04/05/1995
CÃ©sar Carranza,Argentina,Midfielder,16/08/1980
Diego Carranza,Peru,Goalkeeper,28/08/1981
Silvio Carrario,Argentina,Forward,31/08/1971
Gabriel Carrasco,Argentina,Defender,07/03/1997
Javier Carrasco,Argentina,Midfielder,14/02/1989
Ariel CarreÃ±o,Argentina,Forward,04/03/1979
Gonzalo Castellani,Argentina,Midfielder,10/08/1987
Gonzalo Castillejos,Argentina,Forward,05/03/1986
GermÃ¡n Castillo,Argentina,Midfielder,19/10/1977
Segundo Castillo,Peru,Midfielder,17/07/1913
Facundo CastillÃ³n,Argentina,Forward,21/08/1985
Diego Ceballos,Argentina,Forward,25/03/1980
Benito Cejas,Argentina,Forward,
Cristian ChÃ¡vez,Argentina,Midfielder,16/06/1986
Dante Ciglic,Argentina,Defender,05/01/1978
Mariano Ciglic,Argentina,Midfielder,15/04/1976
Carlos Clotet,Argentina,Midfielder,17/09/1972
Milton Coimbra,Bolivia,Forward,05/04/1975
Sabino Colette,Argentina,Defender,12/05/1914
Diego Colotto,Argentina,Defender,10/03/1981
Fernando Coniglio,Argentina,Forward,24/11/1991
SebastiÃ¡n Coria,Argentina,Forward,20/02/1980
Walter Coyette,Argentina,Midfielder,28/01/1976
Juan Cozzani,Argentina,Goalkeeper,09/10/1998
Maximiliano Cuberas,Argentina,Defender,16/08/1973
Paulo da Silva,Paraguay,Defender,01/02/1980
Cristian Daniele,Argentina,Midfielder,10/03/1971
NicolÃ¡s Daponte,Argentina,Midfielder,
Luciano de Bruno,Argentina,Midfielder,06/08/1978
Pedro De la Vega,Argentina,Forward,07/02/2001
GermÃ¡n Denis,Argentina,Forward,10/09/1981
Fernando Di Carlo,Argentina,Forward,25/10/1968
Leonel Di PlÃ¡cido,Argentina,Defender,28/01/1994
Gonzalo Di Renzo,Argentina,Forward,30/12/1995
Gabriel DÃ­az,Argentina,Defender,02/07/1987
GastÃ³n DÃ­az,Argentina,Defender,13/03/1988
Gonzalo Diaz,Argentina,Midfielder,01/03/1990
JosÃ© DÃ­az,Argentina,Defender,20/04/1938
Leandro DÃ­az,Argentina,Forward,06/06/1992
Rodrigo DÃ­az,Argentina,Midfielder,28/08/1981
RomÃ¡n DÃ­az,Argentina,Midfielder,31/07/1980
Christian Dollberg,Argentina,Defender,03/11/1971
Cristian Domizzi,Argentina,Midfielder,09/06/1969
MatÃ­as Donato,Argentina,Midfielder,15/01/1999
Roberto Dovetta,Argentina,Forward,24/04/1988
Marcelo Elizaga,Argentina,Goalkeeper,19/04/1972
Claudio EnrÃ­a,Argentina,Forward,28/08/1973
Carlos Enrique,Argentina,Defender,12/12/1963
HÃ©ctor Enrique,Argentina,Midfielder,26/04/1962
Rodrigo Erramuspe,Argentina,Defender,03/05/1990
Leandro Escudero,Argentina,Defender,28/11/1983
Marcelo Espina,Argentina,Midfielder,28/04/1967
Matias Esquivel,Argentina,Forward,22/03/1999
Cristian Fabbiani,Argentina,Forward,09/03/1983
NÃ©stor Fabbri,Argentina,Defender,29/04/1968
Emir Faccioli,Argentina,Defender,05/08/1989
Gustavo Falaschi,Argentina,Defender,18/07/1967
JosÃ© Farias,Argentina,Forward,17/04/1937
Carlos FernÃ¡ndez,Argentina,Defender,06/04/1992
Juan FernÃ¡ndez,Argentina,Midfielder,09/09/1975
Mariano FernÃ¡ndez,Argentina,Defender,02/09/1978
Nahuel Fioretto,Argentina,Midfielder,25/01/1981
Claudio Flores,Uruguay,Goalkeeper,10/05/1976
Leonardo Flores,Argentina,Defender,17/05/1997
Guillermo Franco,Argentina,Defender,21/05/1983
Alejandro Frezzotti,Argentina,Midfielder,15/02/1984
MatÃ­as Fritzler,Argentina,Midfielder,23/08/1986
Eduardo Fuentes,Argentina,Defender,15/02/1973
Fernando Galetto,Argentina,Midfielder,13/04/1971
