Name,Country,Position,Born
Mathias Abel,Germany,Defender,22/06/1981
Joel Abu Hanna,Germany,Defender,22/01/1998
Klaus Ackermann,Germany,Midfielder,20/03/1946
Gustav Adam,Germany,Forward,
Karl Adam,Germany,Goalkeeper,05/02/1924
Silvio Adzic,Germany,Forward,23/09/1980
Gerhard Ahrens,Germany,Defender,17/10/1932
Alper AkÃ§am,Turkey,Forward,01/09/1987
Mads AlbÃ¦k,Denmark,Midfielder,14/01/1990
Naser Aliji,Switzerland,Defender,27/12/1993
Sergio Allievi,Germany,Forward,17/01/1964
Thomas Allofs,Germany,Forward,17/11/1959
Zlatan AlomeroviÄ,Germany,Goalkeeper,15/06/1991
Halil Altintop,Turkey,Forward,08/12/1982
Enis Alushi,Kosovo,Midfielder,22/12/1985
Ioannis Amanatidis,Greece,Forward,03/12/1981
Martin Amedick,Germany,Defender,06/09/1982
Chadli Amri,Algeria,Midfielder,14/12/1984
Dirk Anders,Germany,Midfielder,26/09/1966
Sebastian Andersson,Sweden,Forward,15/07/1991
Markus Anfang,Germany,Midfielder,12/06/1974
Andrija Ankovic,Croatia,Forward,16/07/1937
ArÃ­lson,Brazil,Midfielder,11/06/1973
BarÄ±Å Atik,Germany,Midfielder,09/01/1995
Benjamin Auer,Germany,Forward,11/01/1981
Mimoun Azaouagh,Germany,Midfielder,17/11/1982
Janik Bachmann,Germany,Midfielder,06/05/1996
Anas Bakhat,Germany,Midfielder,02/04/2000
Michael Ballack,Germany,Midfielder,26/09/1976
Nassim Banouas,Germany,Defender,08/09/1986
Mario Basler,Germany,Midfielder,18/12/1968
Werner BaÃler,Germany,Forward,02/10/1921
Heinrich Bauer,Germany,Defender,11/06/1935
Pat Baumann,Germany,Goalkeeper,10/07/1923
Alexander Baumjohann,Germany,Midfielder,23/01/1987
Manfred Becker,Germany,Forward,27/12/1940
Mathieu BÃ©da,France,Defender,28/07/1981
Axel Bellinghausen,Germany,Midfielder,17/05/1983
Horst Bender,Germany,Defender,11/11/1954
Theodor Bergmann,Germany,Midfielder,08/11/1996
Karl Berndt,Germany,Midfielder,17/01/1898
Michael Berndt,Germany,Midfielder,14/12/1978
Patrice Bernier,Canada,Midfielder,23/09/1979
Julius Biada,Germany,Midfielder,03/11/1992
Karl-Heinz Bickert,Germany,Midfielder,05/12/1957
JiÅÃ­ BÃ­lek,Czech Republic,Midfielder,04/11/1983
Werner Biontino,Germany,Forward,16/03/1931
Hermann Bitz,Germany,Midfielder,21/09/1950
Andri Bjarnason,Iceland,Forward,12/11/1990
Nenad Bjelica,Croatia,Midfielder,20/08/1971
Stefan Blank,Germany,Defender,10/03/1977
Peter Blusch,Germany,Midfielder,11/06/1942
JÃ³n BÃ¶Ã°varsson,Iceland,Forward,25/05/1992
Steffen Bohl,Germany,Midfielder,28/12/1983
Gerhard Bold,Germany,Defender,16/03/1955
Hannes Bongartz,Germany,Midfielder,03/10/1951
Balazs Borbely,Slovakia,Midfielder,02/10/1979
Brandon Borrello,Australia,Forward,25/07/1995
Ariel Borysiuk,Poland,Midfielder,29/07/1991
Danko Boskovic,Germany,Forward,27/01/1982
Flavius BotiÈeriu,Germany,Defender,29/03/1999
IsmaÃ«l Bouzid,Algeria,Defender,21/07/1983
Harald Braner,Germany,Forward,19/08/1943
Werner Brehm,Germany,Midfielder,15/05/1954
Andreas Brehme,Germany,Defender,09/11/1960
Edwin Bretz,Germany,Midfielder,09/10/1921
Hans-Peter Briegel,Germany,Defender,11/10/1955
Bartosz Broniszewski,Germany,Defender,23/01/1988
Andreas BroÃ,Germany,Midfielder,28/02/1971
Axel Brummer,Germany,Forward,25/11/1961
Christoph Buchner,Germany,Defender,23/07/1989
Andreas Buck,Germany,Midfielder,29/12/1967
Alexander Bugera,Germany,Defender,08/08/1978
Albert Bunjaku,Kosovo,Forward,29/11/1983
Norbert Buschlinger,Germany,Midfielder,06/12/1957
Jan-Ingwer Callsen-Bracker,Germany,Defender,23/09/1984
Stefan Caporaso,Germany,Midfielder,26/12/1974
Hans Christmann,Germany,Forward,06/06/1922
Hikmet ÃiftÃ§i,Turkey,Midfielder,10/03/1998
Andreas ClauÃ,Germany,Goalkeeper,13/01/1969
Antonio Äolak,Croatia,Forward,17/09/1993
Albert Conrad,Germany,Defender,13/12/1910
Marcel Correia,Germany,Defender,16/05/1989
Noureddine Daham,Algeria,Forward,15/11/1977
Dario DamjanoviÄ,Bosnia-Herzegovina,Midfielder,23/07/1981
Daniel Damm,Germany,Midfielder,02/12/1981
Pierre De Wit,Germany,Midfielder,26/09/1987
JÃ¼rgen Degen,Germany,Forward,07/11/1967
AÃ¯men Demai,Tunisia,Defender,10/12/1982
Kerem Demirbay,Germany,Midfielder,03/07/1993
Christoph Dengel,Germany,Forward,20/01/1974
Julian Derstroff,Germany,Forward,05/01/1992
Maurice Deville,Luxembourg,Forward,31/07/1992
Boubacar Diarra,Mali,Defender,15/07/1979
Florian Dick,Germany,Defender,09/11/1984
Ernst Diehl,Germany,Defender,28/03/1949
Hans-Dieter Diehl,Germany,Defender,30/03/1951
Hermann Diehl,Germany,Defender,27/06/1936
Marco Dittgen,Germany,Forward,19/08/1974
Max Dittgen,Germany,Forward,03/03/1995
Youri Djorkaeff,France,Midfielder,09/03/1968
Bernd Dobiasch,Germany,Forward,03/06/1957
Tom Dooley,USA,Defender,12/05/1961
Jan-Lucas Dorow,Germany,Forward,26/04/1993
Christopher Drazan,Austria,Midfielder,02/10/1990
Thomas Drescher,Germany,Defender,24/11/1978
Michael Dusek,Germany,Defender,10/11/1958
Anel DÅ¾aka,Germany,Midfielder,19/09/1980
Bratislav ÄorÄeviÄ,Serbia,Goalkeeper,24/07/1946
Ludwig Ebensberger,Germany,Forward,12/03/1930
Horst Eckel,Germany,Midfielder,08/02/1932
Uwe Eckel,Germany,Forward,06/07/1966
Chinedu Ede,Germany,Forward,05/02/1987
Gerald Ehrmann,Germany,Goalkeeper,18/02/1959
Lutz Eigendorf,Germany,Midfielder,16/07/1956
Norbert Eilenfeldt,Germany,Midfielder,17/02/1956
Josef Elting,Germany,Goalkeeper,29/12/1944
Karl-Heinz Emig,Germany,Defender,29/06/1962
Stefan Emmerling,Germany,Defender,10/02/1966
Marco Engelhardt,Germany,Midfielder,02/12/1980
Jan Eriksson,Sweden,Defender,24/08/1967
Rainer Ernst,Germany,Forward,31/12/1961
Thomas Ernst,Germany,Goalkeeper,23/12/1967
Stefan Ertl,Germany,Midfielder,21/04/1969
Dylan Esmel,Germany,Midfielder,20/03/1998
Alexander Esswein,Germany,Forward,25/03/1990
Ewerton,Brazil,Defender,23/03/1989
Constantin Fath,Germany,Midfielder,12/07/2000
Karl-Heinz Fattler,Germany,Defender,19/05/1946
Gino Fechner,Germany,Midfielder,05/09/1997
Hans-Peter Fecht,Germany,Forward,11/12/1949
Manfred FeldmÃ¼ller,Germany,Forward,22/04/1940
Edgar Fischer,Germany,Forward,18/08/1932
Horst Fischer,Germany,Midfielder,13/04/1937
Dirk Flock,Germany,Midfielder,23/05/1972
Eugen Flohr,Germany,Defender,09/11/1913
Franco Foda,Germany,Defender,23/04/1966
Erich Folz,Germany,Forward,26/11/1922
Karl-Heinz Folz,Germany,Defender,1918
AndrÃ© Fomitschow,Germany,Defender,07/09/1990
Kostas Fortounis,Greece,Midfielder,16/10/1992
