Name,Country,Position,Born
Jerkin Acasio,Venezuela,Defender,
Walter Aguilar,Argentina,Midfielder,17/08/1979
Ordan Aguirre,Venezuela,Defender,15/02/1955
Wilton Almeida,Venezuela,Midfielder,05/04/1981
JesÃºs Ãlvarez,Venezuela,Defender,17/08/1983
Junior Ãlvarez,Venezuela,Defender,11/04/1996
Homero Amaral,,Midfielder,
David Andrade,Colombia,Goalkeeper,09/08/1982
Ricardo Andreutti,Venezuela,Midfielder,30/06/1987
Ignacio AnÃ­vole,Argentina,Midfielder,04/08/1984
Evaristo Antequera,Venezuela,Defender,03/09/1985
Ignacio Anzola,Venezuela,Defender,28/07/1999
Leonardo Aponte,Venezuela,Midfielder,30/04/1994
Juan AristizÃ¡bal,Venezuela,Defender,06/07/1992
RubÃ©n Arocha,Venezuela,Midfielder,21/04/1987
Johan Arrieche,Venezuela,Forward,16/07/1992
Ary JÃ³rio,Brazil,Goalkeeper,
Winston Azuaje,Venezuela,Midfielder,06/04/1993
Arabo Bakary,Cameroon,Forward,20/05/1994
Ãscar Barrios,Venezuela,Midfielder,17/08/2000
MartÃ­n Batallini,Argentina,Forward,19/08/1991
Alexander Becerra,Venezuela,Defender,22/01/1977
JosÃ© Becerra,Venezuela,Midfielder,
Samuel Betancourt,Venezuela,Forward,02/06/2001
Bini,Brazil,Forward,
Pedro Boada,Venezuela,Defender,26/07/1977
Leminger Bolivar,Venezuela,Defender,18/02/1990
Daniel BriceÃ±o,Colombia,Defender,06/09/1985
Engelberth BriceÃ±o,Venezuela,Midfielder,02/04/1984
Gustavo Britos,Argentina,Forward,20/02/1990
JesÃºs Bueno,Venezuela,Midfielder,15/04/1999
Joel CÃ¡ceres,Venezuela,Defender,15/02/1993
Julio Caicedo,Colombia,Midfielder,30/07/1985
Homero CalderÃ³n,Venezuela,Midfielder,20/10/1993
Yonber Camacaro,Venezuela,Midfielder,27/10/1998
AgustÃ­n Camacho,Uruguay,Forward,25/01/1995
Gualberto Campos,Venezuela,Forward,24/04/1981
JosÃ© Caraballo,Venezuela,Forward,21/02/1996
Anderson Cardozo,Venezuela,Forward,26/08/1994
Johnny Carneiro,Venezuela,Forward,04/05/1975
Daniel Carrillo,Venezuela,Midfielder,02/12/1995
Juan Castellanos,Venezuela,Midfielder,30/10/1995
Rafael CastellÃ­n,Venezuela,Forward,02/09/1975
Bryan Castillo,Venezuela,Forward,14/05/2001
Heatklif Castillo,Venezuela,Forward,28/11/1979
Jean Castillo,Venezuela,Forward,04/10/2002
Willimger Castillo,Venezuela,Forward,06/11/1997
Lauro Cazal,Paraguay,Forward,23/03/1986
David Centeno,Venezuela,Midfielder,04/10/1992
Eduardo Centeno,Venezuela,Midfielder,30/05/1984
Edwin Chalar,Colombia,Forward,21/04/1987
Jhon Chancellor,Venezuela,Defender,02/01/1992
Oswaldo Chaurant,Venezuela,Midfielder,27/05/1984
Angelo ChÃ¡vez,Venezuela,Midfielder,
Meider Chourio,Venezuela,Midfielder,17/05/1984
Gabriel Cichero,Venezuela,Defender,25/04/1984
ClÃ©dio,Brazil,Goalkeeper,
Diego Cochas,Argentina,Midfielder,14/08/1979
Juan Colina,Venezuela,Midfielder,21/10/1986
DarÃ­o Colmenares,Venezuela,Forward,28/08/1992
Duvalier Colmenarez,Venezuela,Defender,26/03/1994
LuÃ­s ColmenÃ¡rez,Venezuela,Midfielder,26/09/1988
Orlando Cordero,Venezuela,Midfielder,24/10/1984
Alfonzo Crespo,Venezuela,Defender,20/02/1999
Johan CrispÃ­n,Venezuela,Midfielder,13/04/1986
Luis Cuello,Venezuela,Forward,17/01/1996
Luis Curiel,Venezuela,Goalkeeper,28/06/1989
Rafael De Fex,Venezuela,Midfielder,11/05/1990
Pedro De Pablos,Venezuela,Midfielder,02/01/1978
GiÃ¡como Di Giorgi,Venezuela,Midfielder,24/02/1981
Gonzalo Di Renzo,Argentina,Forward,30/12/1995
Fidel DÃ­az,Venezuela,Midfielder,16/05/1997
