Name,Country,Position,Born
Helmuth Aberle,Austria,Forward,10/06/1969
CÃ¼neyt AÃ§Ä±kgÃ¶z,Turkey,Defender,08/09/1980
Peter Acs,Austria,Defender,17/09/1950
Stefan Adametz,Austria,Defender,
Josef Adelbrecht,Austria,Forward,08/01/1910
Aff,Austria,Midfielder,
Samu Alanko,Finland,Forward,16/05/1998
Alexandre Dorta,Brazil,Midfielder,08/04/1975
Josef Altmann,Austria,Forward,
Ãlvaro del Moral,Spain,Forward,09/05/1984
Gottfried Angerer,Austria,Goalkeeper,04/03/1961
Sinan Apaydin,Turkey,Forward,21/07/1995
Christian Arifovic,Austria,Forward,24/04/2001
GÃ¼nther Arnberger,Austria,Goalkeeper,17/04/1992
Josef Artimovics,Austria,Forward,1909
Josef Artmann,Austria,Midfielder,
Peter Artner,Austria,Midfielder,20/05/1966
Alexander Aschauer,Austria,Forward,14/03/1992
Wolfgang Augustin,Austria,Midfielder,20/01/1958
Peter Aust,Austria,Forward,02/05/1943
Ahmet Babadostu,Turkey,Defender,23/06/1996
Kurt Bachmayer,Austria,Defender,07/12/1966
Turgay Bahadir,Turkey,Forward,15/01/1984
Dritan Baholli,Albania,Defender,23/08/1974
Stefan Baldia,Austria,Midfielder,13/08/1997
Christian Balga,Austria,Defender,21/04/1986
Rudolf Balogh,Austria,Defender,08/11/1948
Ralf Balzis,Germany,Forward,31/07/1965
Christian Banovits,Austria,Defender,28/10/1981
Stasys Baranauskas,Lithuania,Midfielder,07/05/1962
Barilly,Austria,Forward,
Ferdinand Baryli,Austria,Forward,20/06/1915
Slobodan BatriÄeviÄ,Serbia,Defender,03/01/1958
Christian Bauer,Austria,Midfielder,
Florian Bauer,Austria,Defender,18/12/1991
Gerald Baumgartner,Austria,Forward,14/11/1964
Horst Baumgartner,Austria,Forward,08/11/1955
Ernst Bayer,Austria,Defender,
ErdÅ¾an BeÄiri,Slovenia,Defender,24/08/1985
Mirnes Becirovic,Austria,Midfielder,10/01/1989
Reinhard Beer,Austria,Goalkeeper,03/10/1960
Pavol Bencz,CSSR,Forward,26/06/1936
Anton Beran,Austria,Defender,23/09/1925
Anton Berisha,Austria,Midfielder,25/03/1991
Paul Bichelhuber,Austria,Midfielder,22/02/1987
Christoph Bileck,Austria,Midfielder,26/03/1979
Predrag Bjelovuk,Austria,Midfielder,08/06/1982
Carsten Bjerregaard,Austria,Defender,12/08/1970
Matthias Bleyer,Austria,Forward,01/08/1969
Franz Blizenec,Austria,Midfielder,30/10/1966
Josef Blum,Austria,Defender,04/02/1898
Ignaz Blumenfeld,Austria,Midfielder,
Ryszard BÅachut,Poland,Forward,14/09/1948
Marian Bochnovic,Slovakia,Midfielder,03/03/1970
Walter BÃ¶ck,Austria,Defender,10/10/1909
Kurt Bogner,Austria,Goalkeeper,07/01/1938
Gerhard BÃ¶hmer,Austria,Midfielder,05/08/1947
Udo BÃ¶hs,Germany,Goalkeeper,15/08/1943
Wilhelm Bohusek,Austria,Forward,18/12/1960
Friedrich Borgan,Austria,Forward,18/10/1956
Karl Bortoli,Austria,Forward,04/10/1912
Igor Bosnjak,Croatia,Midfielder,02/12/1996
Osman Bozkurt,Turkey,Forward,10/08/1984
Sebastian Brandner,Austria,Goalkeeper,08/02/1983
Slobodan BrankoviÄ,Serbia,Forward,09/12/1963
Braunberger,Austria,Defender,
Dominik Braunsteiner,Austria,Goalkeeper,15/07/1992
Michael Breibert,Austria,Defender,11/01/1941
Brockmann,Austria,Defender,
Anton Brosenbauer,Austria,Forward,11/04/1909
Josef Broz,Austria,Midfielder,21/04/1941
Johann Brunner,Austria,Midfielder,15/02/1956
Anton Bulla,Slovakia,Forward,17/04/1901
Steffen Bury,Germany,Forward,02/06/1976
Hans Buzek,Austria,Forward,22/05/1938
GÃ¼nter Caha,Austria,Forward,28/10/1953
Damir Canadi,Austria,Midfielder,06/05/1970
Candela,Spain,Midfielder,12/01/1987
Andrijano Äarapina,Croatia,Midfielder,12/09/1994
Fritz Cejka,Austria,Forward,03/07/1928
Okan Celik,Austria,Midfielder,26/09/1994
Martin Cestnik,Austria,Midfielder,21/09/1973
Rudolf Ceyka,Austria,Defender,16/03/1941
Gustav Chrenka,Austria,Midfielder,
Peter Christ,Austria,Defender,
Dimitri Chryssajis,Austria,Midfielder,14/01/1992
JÃ¼rgen Csandl,Austria,Defender,09/05/1988
Ilija Cutura,Austria,Midfielder,10/09/1998
Branko Cvetkovic,Serbia,Defender,15/01/1978
RichÃ¡rd CzÃ¡r,Hungary,Midfielder,13/08/1992
Bernd Dallos,Austria,Midfielder,23/08/1966
Walter Dannhauser,Austria,Goalkeeper,24/01/1946
Thomas Darazs,Austria,Midfielder,05/11/1977
Thomas Dau,Austria,Goalkeeper,09/08/1991
Adrien Dauce,France,Midfielder,10/05/1996
Karl Decker,Austria,Midfielder,05/09/1921
Dalibor Dervisevic,Austria,Midfielder,02/10/1991
Johann Dick,Austria,Midfielder,
Klaus Dietrich,Austria,Defender,27/06/1974
Alfons Dirnberger,Austria,Midfielder,04/09/1941
Rade Djokic,Bosnia-Herzegovina,Forward,23/06/1983
Andreas Dober,Austria,Defender,31/03/1986
Mesut Dogan,Turkey,Midfielder,04/10/1984
Richard DÃ¶rfel,Germany,Defender,02/03/1911
Ernst Dospel,Austria,Defender,08/10/1976
Alfred Drabits,Austria,Forward,06/04/1959
