Name,Country,Position,Born
Abdelilah Aabiza,France,Forward,30/06/1987
Jean-Paul Abalo,Togo,Defender,26/06/1975
Kaci Abbas,France,Forward,15/01/1980
SaÃ¯d AÃ¯t-Bahi,Morocco,Defender,08/05/1984
Jean-Jacques Allais,France,Forward,17/01/1969
Alexis Allart,France,Forward,07/08/1986
Eric Allibert,France,Goalkeeper,11/06/1976
GaÃ«l Angoula,France,Midfielder,18/07/1982
Alexis Araujo,Portugal,Midfielder,07/12/1996
Cyril Arbaud,France,Forward,10/02/1978
Fabrice Asencio,France,Defender,01/08/1966
Christophe Aubanel,France,Forward,03/09/1976
Eric Auffret,France,Midfielder,23/03/1966
Jean-Pierre Avrillon,France,Defender,25/10/1961
Moulaye-Idrissa Ba,France,Forward,11/11/1990
Abdelwahab Baalla,France,Midfielder,14/06/1996
Romain Bacquaert,France,Forward,16/04/1989
Mamadou Bagayoko,Mali,Forward,21/05/1979
Christophe Baiocco,France,Goalkeeper,29/04/1966
Mini Balogou,Togo,Forward,31/12/1987
Djibi Banor,France,Midfielder,28/11/1989
AndrÃ© Barral,France,Defender,01/10/1957
FrÃ©dÃ©ric Basire,France,Forward,01/01/1977
Fons Bastijns,Belgium,Defender,28/01/1947
Romain Bayard,France,Midfielder,15/10/1993
Mohamed Bayo,France,Forward,04/06/1998
Jean-Philippe Belet,France,Defender,31/01/1987
Abdelmalik Bellaredj,France,Midfielder,27/12/1986
Mickael Bellatreche,France,Midfielder,09/12/1976
Yasine BenaÃ¯ssa,France,Midfielder,28/06/1976
Abderrahim Bendjaballah,Algeria,Forward,13/04/1965
Guillaume Benon,France,Defender,16/05/1975
Yves Bertucci,France,Midfielder,24/10/1962
Rabir Bettiche,Morocco,Forward,09/07/1980
Dominique Bisbal,France,Forward,23/10/1958
Nathan Bizet,France,Forward,27/04/1997
Jocelyn Blanchard,France,Midfielder,28/05/1972
Paul Blanckaert,France,Defender,23/12/1988
Olivier Blino,France,Midfielder,28/08/1964
Mustapha Bordji,France,Forward,19/03/1969
Guillaume Bosca,France,Midfielder,23/10/1989
Jean-Marc Bosman,Belgium,Midfielder,30/10/1964
Dimitri Boudaud,France,Midfielder,10/02/1987
Mehdi Boudiba,France,Forward,02/06/1994
Jean-Christophe Bouet,France,Goalkeeper,21/07/1983
Hamid Bourabaa,France,Forward,16/12/1967
Louis Bourgeois,France,Midfielder,31/07/1937
Patrice Bozon,France,Defender,15/09/1953
StÃ©phane Brebion,France,Forward,02/02/1977
AndrÃ© Breuval,France,Forward,08/03/1942
Nicolas Bruneel,France,Midfielder,08/03/1997
Laurent Brygo,France,Midfielder,01/01/1977
Patrice Buisset,France,Defender,28/08/1957
Florent Cabassud,France,Goalkeeper,09/07/1986
Alexis Calant,France,Defender,17/02/1997
Souleymane Camara,Senegal,Forward,29/05/1944
Valentin Candas,France,Forward,18/08/1997
Christian Cappadona,France,Midfielder,04/01/1957
Dominique Carlier,France,Defender,18/04/1959
Daniel Caron,France,Midfielder,29/11/1966
Mehdi Chahiri,France,Midfielder,25/07/1996
Philippe Chanlot,France,Forward,08/10/1967
Maurice Charpentier,France,Forward,02/01/1937
Rayane Chayebi,France,Midfielder,19/03/1998
FrÃ©dÃ©ric Cissokho,France,Defender,19/04/1971
Jean-Yves Citron,France,Defender,16/11/1953
RaphaÃ«l Clapson,France,Defender,23/09/1973
Gilbert Conrath,France,Goalkeeper,02/12/1949
Daniel Cordier,France,Midfielder,26/07/1942
Corentin Cottet,France,Midfielder,18/03/1994
Rodolphe Coudray,France,Defender,25/08/1960
Ibrahima Coulibaly,France,Midfielder,30/08/1989
RÃ©my Creton,France,Midfielder,21/05/1986
Stjepan CvitkoviÄ,Croatia,Defender,15/03/1982
SaÃ¯d Dabach,Morocco,Midfielder,19/08/1979
JosÃ© Dalmao,Uruguay,Forward,14/07/1969
Guy Darchicourt,France,Defender,28/11/1947
Daniel David,France,Midfielder,05/10/1949
Thomas De Parmentier,France,Midfielder,14/05/1990
GÃ©rard De Pina,France,Forward,20/05/1971
Gilles de Rocco,France,Goalkeeper,07/03/1957
Laurent Debrosse,France,Midfielder,02/10/1969
Hugo Demory,France,Defender,04/08/1995
JÃ©rÃ©my Denquin,France,Midfielder,18/05/1977
Thomas Denz,France,Defender,30/08/1983
StÃ©phane Descamps,France,Goalkeeper,1973
Patrick Deschodt,France,Defender,02/02/1952
GrÃ©gory Deswarte,France,Defender,22/06/1976
Lionel Devulder,France,Midfielder,09/08/1970
Boris Diecket,Ivory Coast,Midfielder,31/01/1963
SÃ©ebastien Dorizon,France,Forward,17/10/1980
Pierre-Antoine Dossevi,France,Forward,17/01/1952
Thomas Dossevi,Togo,Forward,06/03/1979
Didier Dubois,France,Defender,11/04/1967
Christophe Duboscq,France,Midfielder,15/01/1967
Franck Dufrennes,France,Forward,29/11/1987
Thomas Dumortier,France,Forward,13/10/1990
Alex Dupont,France,Midfielder,30/06/1954
Bruno Dupuis,France,Forward,15/10/1953
Pascal Dupuis,France,Goalkeeper,03/05/1964
David Duquesnoy,France,Defender,25/09/1981
Olivier Durand,France,Defender,19/08/1965
Wilfried Ebane,Gabon,Defender,24/04/1992
Samuel Edimo N'Ganga,Cameroon,Forward,26/12/1934
Bilel El Hamzaoui,France,Midfielder,01/04/1992
Jean-Michel Eouzan,France,Forward,28/09/1968
JÃ©rÃ´me Erceau,France,Defender,14/01/1973
Claude Essosso,Cameroon,Forward,08/04/1980
Damien Fachan,France,Midfielder,30/09/1990
Marc Fachan,France,Defender,25/01/1989
JÃ©sus Fandino,Spain,Midfielder,30/08/1948
Najib Farssane,France,Forward,11/06/1981
Jean-Robert Faucher,France,Forward,06/03/1963
Adriano FegiÄ,Slovenia,Forward,16/09/1956
Mathias Fischer,France,Defender,11/07/1998
Oussoumane Fofana,Ivory Coast,Forward,03/07/1985
Pascal Fournier,France,Forward,13/10/1958
Daniel FranÃ§ois,France,Forward,08/11/1953
Martin FranÃ§ois,France,Midfielder,23/12/1996
Guy Frappart,France,Midfielder,26/02/1960
Jean-Marc Frotey,France,Forward,19/04/1969
Ludovic Gamboa,France,Midfielder,14/01/1986
Paul Garita,Cameroon,Forward,18/06/1995
AndrÃ© Garni,France,Forward,04/08/1942
Jean-Claude Garnier,France,Forward,28/07/1949
Christophe Gautier,France,Defender,24/02/1969
MickaÃ«l GÃ©rard,France,Forward,29/12/1972
Roger GÃ©ri,France,Defender,01/02/1947
Jean-Marc Giachetti,France,Forward,24/09/1952
RaphaÃ«l Girardot,France,Midfielder,25/07/1971
KÃ©vin Goba,France,Forward,06/07/1987
Arthur Gomis,Senegal,Forward,28/07/1977
Iron Gomis,France,Midfielder,08/11/1999
HervÃ© Gorce,France,Defender,03/12/1952
Randi Goteni,Congo,Midfielder,05/07/1995
Franck Grandel,Guadeloupe,Goalkeeper,17/03/1978
Zakaria Grich,France,Midfielder,09/06/1996
RenÃ© Guidez,France,Defender,11/04/1946
Marc Antoine Guillaume,France,Goalkeeper,11/03/1996
Jacques Guimbault,France,Defender,03/09/1944
Mamadou Guirassy,Guinea,Forward,13/10/1995
Roger Gully,France,Midfielder,25/09/1945
Gia Guruli,Georgia,Forward,20/05/1964
Mohamed Haddadou,France,Midfielder,24/12/1974
Morgan Haelewyck,France,Defender,20/04/1986
Dine Halifa,Madagascar,Defender,02/09/1966
AndrÃ© Hamon,France,Forward,06/06/1950
Emmanuel Hamon,France,Forward,03/09/1958
Nicolas Hauchart,France,Forward,07/08/1976
Jimmy Hebert,France,Midfielder,01/07/1972
Daniel HÃ©dÃ©,France,Midfielder,21/08/1946
Laurent HeloÃ¯se,France,Defender,13/05/1985
Matthieu Hoguet,France,Forward,05/06/1982
JÃ©rÃ©my Huysman,France,Midfielder,08/11/1988
Nicolas Huysman,France,Midfielder,09/02/1968
Pierre Issa,South Africa,Defender,11/09/1975
Jeremie Jacquet,France,Goalkeeper,27/04/1996
Romain Jamrozik,France,Forward,25/11/1997
