Name,Country,Position,Born
Agapitos Abelas,Greece,Defender,08/03/1975
Kwame Adjeman-Pamboe,USA,Forward,24/10/1987
Dimitrios Agouridis,Greece,Defender,07/03/1991
Georgios Ambadiotakis,Greece,Goalkeeper,21/03/1967
Dimitrios Anakoglou,Greece,Midfielder,06/09/1991
Nikos Anastasopoulos,Greece,Midfielder,01/02/1993
Fatjon Andoni,Albania,Midfielder,19/06/1991
Vasilios Andreadis,Greece,Forward,06/10/1971
Konstantinos Andriopoulos,Greece,Goalkeeper,12/05/1984
Giannis Androutsos,Greece,Defender,
Kyriakos Androutsos,Greece,Defender,
Andreas Antonakopoulos,Greece,Forward,15/03/1997
Nikos Aposkitis,Greece,Forward,20/02/1986
Konstantinos Apostolopoulos,Greece,Forward,08/07/1993
Dimitris Argyropoulos,Greece,Defender,17/05/1976
Efthimios Argyropoulos,Greece,Midfielder,22/04/1990
Mark Asigba,Ghana,Defender,07/07/1990
Marko AtanackoviÄ,Sweden,Goalkeeper,13/05/1986
Christos Athanasopoulos,Greece,Goalkeeper,10/02/1982
Nikos Augerinopoulos,Greece,Forward,
Alexandros Babounis,Greece,Goalkeeper,24/06/1998
Dimitris Balafas,Greece,Defender,01/03/1978
Vangelis Balasakis,Greece,Goalkeeper,10/09/1993
Giannis Baltimas,Greece,Goalkeeper,21/06/1975
Konstantinos Bantas,Greece,Defender,16/07/1976
Ousmane Barry,Guinea,Forward,27/09/1991
Michalis Bastakos,Greece,Forward,27/07/1996
Alexandros Biris,Greece,Defender,30/10/1986
Alexandros Bitsakos,Greece,Defender,23/12/1991
Mario Block,Germany,Forward,07/01/1972
Mikkel Bo Jensen,Denmark,Midfielder,13/01/1978
Massimo Bonanni,Italy,Midfielder,10/06/1982
Mario BoniÄ,Croatia,Forward,04/08/1952
Georgios Bountopoulos,Greece,Forward,27/07/1990
Nikos Boutzikos,Greece,Defender,06/09/1989
Baldur Bragason,Iceland,Midfielder,29/05/1968
Fernando BrandÃ¡n,Argentina,Midfielder,15/11/1980
Igor BudiÅ¡a,Croatia,Defender,23/09/1977
FabiÃ¡n Caballero,Argentina,Forward,31/01/1978
Grigoris Chagias,Greece,Forward,05/03/1978
Konstantinos Chalkias,Greece,Goalkeeper,30/05/1974
Vasilis Chardalias,Greece,Forward,1962
Kostas Chatzis,Greece,Midfielder,22/03/1985
Spyros Chatzis,Greece,Midfielder,24/08/1977
Stratos Chintzidis,Greece,Defender,13/12/1987
Ioannis Chloros,Greece,Forward,30/10/1978
SebastiÃ¡n Cobelli,Argentina,Forward,20/01/1978
Israel Coll,Argentina,Midfielder,22/07/1993
Paul Cominges,Peru,Forward,24/07/1975
MaurÃ­cio Copertino,Brazil,Defender,06/04/1970
Giorgos Dafkos,Greece,Goalkeeper,08/01/1959
Giannis Dandelis,Greece,Forward,
Georgios Dasios,Greece,Defender,12/05/1983
Kostas Davourlis,Greece,Forward,04/01/1948
Georgios Diamantis,Greece,Defender,30/01/1979
Nicolas DikoumÃ©,Cameroon,Forward,21/11/1973
Giorgos Dimizas,Greece,Goalkeeper,24/07/1994
Athanasios Dinas,Greece,Forward,12/11/1989
Apostolis Drakopoulos,Greece,Forward,11/12/1966
Alexandros Drimalas,Greece,Defender,09/06/1979
Zdravko DrinÄiÄ,Montenegro,Forward,01/05/1972
Vladimir Äilas,Serbia,Forward,03/03/1983
Milan ÄurÄeviÄ,Serbia,Forward,04/11/1967
Ivan Ãurdek,Croatia,Midfielder,04/06/1986
Christos Eleftheriadis,Greece,Forward,30/09/1991
BjÃ¶rn Enqvist,Sweden,Midfielder,12/10/1977
JoÃ«l Epalle,Cameroon,Midfielder,20/02/1978
Alfred Ferko,Albania,Midfielder,15/10/1964
Georgios Fotakis,Greece,Midfielder,29/10/1981
Spyros Fourlanos,Greece,Midfielder,19/11/1993
Dimitrios Froxylias,Cyprus,Midfielder,28/06/1993
Furtado,Portugal,Forward,14/03/1983
Georgiy Gabidauri,Georgia,Forward,06/12/1979
George Gebro,Liberia,Midfielder,13/09/1981
Georgios Georgakopoulos,Greece,Goalkeeper,20/05/1992
Grigoris Georgatos,Greece,Midfielder,31/10/1972
Vasilios Georgopoulos,Greece,Midfielder,15/03/1956
Giannis Gesios,Greece,Forward,03/08/1988
Decebal Gheara,Romania,Defender,12/09/1978
Panagiotis Giannopoulos,Greece,Defender,25/09/1972
Klodian Gino,Albania,Midfielder,13/02/1994
Ioannis Girichidis,Greece,Defender,09/03/1974
Panagiotis Gitsis,Greece,Midfielder,22/07/1975
Giuliano,Brazil,Midfielder,13/08/1977
Mattheos Gotzias,Greece,Midfielder,14/06/1970
Fotis Gouziotis,Greece,Defender,11/11/1974
Georgios Gravanis,Greece,Midfielder,30/09/1985
Giannis Gravanis,Greece,Defender,16/01/1958
George Haniotis,Australia,Midfielder,04/06/1966
Altin Haxhi,Albania,Midfielder,17/06/1975
Franck Histilloles,France,Forward,25/01/1973
Gertin Hoxhalli,Albania,Midfielder,05/11/1996
Lazaros Iacovou,Cyprus,Defender,05/08/1976
Prince Guy Ijiebor Ativie,Nigeria,Forward,06/08/1982
Takis Ikonomopoulos,Greece,Goalkeeper,19/10/1943
Christos Intzidis,Greece,Defender,09/01/1993
Lefteris Intzoglou,Greece,Midfielder,03/03/1987
Giorgos Ioakimidis,Greece,Midfielder,25/07/1953
Dimitrios Ioannou,Greece,Defender,16/03/1977
Giannis Ioannou,Greece,Defender,09/04/1984
Jero,Spain,Defender,19/09/1977
Jerry,Mozambique,Forward,23/11/1990
JordÃ£o Diogo,SÃ£o TomÃ© and PrÃ­ncipe,Midfielder,12/11/1985
Dusan Jovanovic,Serbia,Forward,05/06/1971
Abraam Kalfin,Turkey,Defender,20/08/1948
Raymond Kalla,Cameroon,Defender,22/04/1975
Giorgos Kapouranis,Greece,Defender,20/05/1966
Konstantinos Kapoutaglis,Greece,Goalkeeper,01/07/1996
Giannis Karaboulis,Greece,Midfielder,29/07/1983
Anton Karachanakov,Bulgaria,Forward,17/01/1992
Dimitrios Karamanlis,Greece,Forward,26/12/1986
Nikos Karamanlis,Greece,Defender,18/07/1952
Arman Karamyan,Armenia,Forward,14/11/1979
Artavazd Karamyan,Armenia,Midfielder,14/11/1979
Vangelis Karasavvas,Greece,Goalkeeper,20/03/1967
Giannis Kargas,Greece,Defender,09/12/1994
Valery Karipov,Ukraine,Midfielder,01/02/1971
Paulos Katharios,Greece,Midfielder,11/03/1992
Sotiris Katribouzas,Greece,Defender,31/12/1978
Giannis Katsareos,Greece,Defender,20/12/1984
Kostas Katsouranis,Greece,Midfielder,21/06/1979
Vangelis Kefalas,Greece,Defender,31/07/1973
Dimitris Kiliaras,Greece,Midfielder,23/03/1986
Giannis Kiliaras,Greece,Midfielder,09/06/1988
Christos Kiourkos,Greece,Goalkeeper,01/01/1972
Demetris Kizas,Cyprus,Defender,18/12/1953
Igor Klejch,Slovakia,Forward,28/03/1964
SrÄan KljajeviÄ,Serbia,Goalkeeper,23/11/1974
Andreas Kolovouris,Greece,Goalkeeper,06/04/1992
Antonis Komianos,Greece,Defender,02/05/1973
SiniÅ¡a KonÄaloviÄ,Croatia,Midfielder,24/10/1966
Nikos Konstantakopoulos,Greece,Midfielder,28/07/1998
Konstantinos Konstantinidis,Greece,Defender,30/05/1980
Christos Kontochristos,Greece,Midfielder,03/01/1991
Dimitris Kontodimos,Greece,Defender,21/04/1982
Panagiotis Kordonouris,Greece,Defender,08/11/1975
Giannis Koretas,Greece,Forward,20/10/1992
Zlatko KostiÄ,Serbia,Midfielder,09/08/1973
Giorgos Kostis,Greece,Midfielder,07/10/1972
Vangelis Kostis,Greece,Defender,31/10/1979
Ioannis Kostopoulos,Greece,Defender,01/06/1987
Dimitrios Kotsonis,Greece,Defender,25/01/1989
Nikos Kouskounas,Greece,Forward,23/12/1988
Christos Koutsospiros,Greece,Forward,14/10/1981
Ivan KovaÄec,Croatia,Forward,27/06/1988
Panagiotis Kynigopoulos,Greece,Forward,24/09/1996
Giorgos Kyriakopoulos,Greece,Midfielder,27/07/1965
Leonidas Kyvelidis,Greece,Forward,08/02/1986
Andreas Labropoulos,Greece,Midfielder,30/07/1988
Iosif Lampropoulos,Greece,Defender,18/01/1988
Georgios Lazaridis,Greece,Goalkeeper,23/07/1983
Konstantinos Lazaris,Greece,Midfielder,30/10/1980
Petryos Leventakos,Greece,Midfielder,23/11/1945
Sotiris Leventis,Greece,Defender,
Panagiotis Linardos,Greece,Midfielder,07/08/1991
Christos Lisgaras,Greece,Defender,12/02/1986
Giannis Litsis,Greece,Defender,30/05/1989
Nikolaos Loumpardeas,Greece,Midfielder,25/07/1984
Luciano,Brazil,Midfielder,21/08/1972
Michalis Lygnos,Greece,Defender,12/02/1974
Mihail Majearu,Romania,Midfielder,15/07/1960
Oliver Makor,Liberia,Midfielder,09/10/1973
Dionysios Makrydimitris,Greece,Defender,26/01/1985
Arkadiusz Malarz,Poland,Goalkeeper,19/06/1980
Junior Mapuku,Congo,Forward,07/01/1990
Markos Maragoudakis,Greece,Forward,28/01/1982
Nick Marinos,Australia,Forward,15/05/1981
Mattheos Maroukakis,Greece,Forward,04/01/1990
Giannis Masouras,Greece,Midfielder,24/08/1996
Nikolaos Masouras,Greece,Forward,15/06/2001
Andreas Mastrantonakis,Greece,Forward,15/03/1997
Darko Mavrak,Bosnia-Herzegovina,Midfielder,19/01/1969
Dimitrios Mavrias,Greece,Forward,03/10/1996
Dimitris Meidanis,Greece,Defender,15/06/1974
Milan MeÅ¡ter,Serbia,Midfielder,23/10/1975
Andreas Michalopoulos,Greece,Forward,23/02/1948
Miguel Pedro,Portugal,Midfielder,06/11/1983
BoÅ¡ko MihajloviÄ,Serbia,Forward,10/10/1971
Christos Mikes,Greece,Defender,23/09/1971
Serge Mimpo,Cameroon,Defender,06/02/1974
Dionysis Minogiannis,Greece,Defender,27/03/1984
Nestoras Mitidis,Cyprus,Forward,01/06/1991
Georgios Mitsiopoulos,Greece,Defender,23/11/1974
Bilel Mohsni,Tunisia,Defender,21/07/1987
JosÃ© Montiel,Paraguay,Midfielder,19/03/1988
Panagiotis Moraitis,Greece,Forward,01/02/1997
Emanuele Morini,Italy,Forward,31/01/1982
Youssef Moughfire,France,Midfielder,01/12/1976
Vasilios Moukidis,Greece,Midfielder,23/10/1993
Giorgios Moustakis,Greece,Defender,22/01/1980
Georgios Moustakopoulos,Greece,Midfielder,13/08/1998
Goderdzi Natroshvili,Georgia,Midfielder,20/05/1970
Edouard Ndjodo,Cameroon,Forward,25/09/1985
Theofilaktos Nikolaidis,Greece,Defender,21/07/1973
Vasyl Novokhatskiy,Ukraine,Forward,08/05/1967
SaÅ¡a Ognenovski,Australia,Defender,03/04/1979
Egutu Oliseh,Nigeria,Midfielder,18/11/1980
Dimitris Outsikas,Greece,Midfielder,26/05/1957
Kostas Pagonis,Greece,Defender,01/09/1985
Lefteris Palapanis,Greece,Midfielder,14/10/1970
Terry Palapanis,Australia,Defender,15/10/1970
Konstantinos Pangalos,Greece,Forward,03/07/1985
Xenofon Panos,Greece,Defender,25/08/1989
Vangelis Papachristos,Greece,Goalkeeper,03/09/1983
Fotis Papadopoulos,Greece,Midfielder,05/12/1975
Athanasios Papatolios,Greece,Midfielder,14/07/1994
Konstantinos Papoutsis,Greece,Defender,31/03/1979
Manolis Pappas,Greece,Midfielder,
Dimitrios Patapis,Greece,Defender,14/06/1996
Athanasios Patiniotis,Greece,Forward,01/10/1993
Timoleon Patronis,Greece,Midfielder,19/09/2000
Paulo Kobayashi,Brazil,Forward,09/01/1970
Pavlos Pavlidis,Greece,Forward,20/04/1975
Miguel Pedro,Greece,Forward,
Adriano Pellegrino,Australia,Midfielder,09/06/1984
Nikola PetriÄ,Serbia,Goalkeeper,11/05/1991
Nikos Pias,Greece,Midfielder,07/04/1960
Athanasios Pindonis,Greece,Midfielder,24/03/1986
Vangelis Pitkas,Greece,Goalkeeper,30/07/1983
Konstantinos Plegas,Greece,Midfielder,20/04/1997
Mimis Plessas,Greece,Defender,30/11/1944
Antonis Pliatsikas,Greece,Goalkeeper,
Ilias Polimos,Greece,Defender,01/09/1995
Dimitrios Polychronis,Greece,Defender,07/03/1994
Giannis Psarras,Greece,Defender,27/04/1958
Themis Rigas,Greece,Forward,07/09/1952
Kostas Rougalas,Greece,Defender,13/10/1993
Dimitrios Roussos,Greece,Defender,30/04/1972
Giorgos Sabatakos,Greece,Forward,09/09/1992
Dimitrios Sakellaropoulos,Greece,Goalkeeper,12/08/1971
Georgios Salamastrakis,Greece,Defender,21/12/1981
Vasolios Samaras,Greece,Defender,16/02/1974
Ilias Savvidis,Greece,Midfielder,13/11/1967
Kelvin Sebwe,Liberia,Midfielder,04/04/1972
Giannis Sfakianakis,Greece,Defender,06/02/1976
Savvas Siatravanis,Greece,Midfielder,24/11/1992
Pavlis Sideris,Greece,Defender,
Nikolaos Skarmoutsos,Greece,Forward,16/03/1976
Kostakis Socratous,Cyprus,Midfielder,31/05/1973
Ilias Solakis,Greece,Forward,15/12/1974
Giannis Sotirakos,Greece,Defender,19/01/1995
Vasilios Soulis,Greece,Goalkeeper,07/12/1994
Giannis Spanos,Greece,Forward,29/04/1989
Dimitris Spentzopoulos,Greece,Forward,04/03/1949
Spyros Spinoulas,Greece,Defender,08/04/1986
Giorgos Spyropoulos,Greece,Forward,
Dimitrios Stamopoulos,Canada,Defender,24/06/1991
Nikos Stavrianos,Greece,Goalkeeper,09/03/1985
Iason Stavropoulos,Greece,Midfielder,10/01/2000
Kostas Stefanis,Greece,Defender,11/04/1984
Lyberis Stergidis,Greece,Midfielder,11/02/1987
Zoran StoinoviÄ,Serbia,Midfielder,26/07/1975
Vasilis Stravapodis,Greece,Midfielder,06/09/1948
Vasilis Stravopodis,Greece,Midfielder,1948
Vladyslav Sukhomlinov,Ukraine,Midfielder,02/01/1978
Alsid Tafili,Albania,Midfielder,20/08/1987
Ioanis Takidis,Greece,Goalkeeper,17/04/1981
Giorgos Tanidis,Greece,Defender,
Konstantinos Taxiarchis,Greece,Midfielder,02/04/1974
Pantelis Theologou,Greece,Defender,07/05/1991
David TomaÅ¾iÄ,Slovenia,Midfielder,30/04/1986
MihÃ¡ly TÃ³th,Hungary,Forward,27/12/1974
Georgios Trichias,Greece,Forward,14/09/1979
Nikos Tringas,Greece,Midfielder,06/01/1996
Thomas Troupkos,Greece,Forward,02/12/1973
Timotheus Tselepidis,Greece,Defender,02/02/1996
Alexandros Tsemperidis,Greece,Midfielder,26/07/1986
Vangelis Tsoukalis,Greece,Midfielder,09/12/1983
Stathis Tzanetoulakos,Greece,Goalkeeper,24/10/1944
Giorgos Vaitsis,Greece,Forward,01/08/1967
Vasilios Vallianos,Greece,Midfielder,11/09/1988
Stefanos Varsamidis,Greece,Midfielder,21/03/2001
Stavros Vasilantonopoulos,Greece,Midfielder,28/01/1992
Panagiotis-Georgios Vasilikopoulos,Greece,Midfielder,02/05/2001
Stelios Vasiliou,Greece,Forward,29/04/1991
Christos Vasilopoulos,Greece,Defender,12/11/1962
Nikos Vavilis,Greece,Defender,05/08/1970
Konstantinos Vetoulas,Greece,Midfielder,02/06/1985
NicolÃ¡s VillafaÃ±e,Argentina,Midfielder,19/05/1988
Nikos Vlasopoulos,Greece,Midfielder,30/05/1988
Christos Voryllas,Greece,Goalkeeper,19/07/1997
Giannis Voskopoulos,Greece,Defender,24/10/1987
Giannis Vourloumis,Greece,Defender,15/08/1982
Spiros Vrontaras,Greece,Goalkeeper,11/12/1984
Rajko VujadinoviÄ,Serbia,Forward,13/04/1956
Nenad VukÄeviÄ,Serbia,Forward,25/11/1974
