Name,Country,Position,Born
Juvenal Agnero,Ivory Coast,Forward,29/12/1998
Mohammed Al Hardan,Bahrain,Midfielder,06/10/1997
Dumitru Bogdan,Moldova,Defender,04/03/1989
Maxim Boghiu,Moldova,Midfielder,24/05/1991
Alexandru Boiciuc,Moldova,Forward,21/08/1997
Cristian Boicu,Moldova,Midfielder,20/04/1998
Sergiu Buga,Moldova,Midfielder,01/06/1990
Valeri Bugaichuk,Moldova,Midfielder,
Dmitrii Burac,Moldova,Goalkeeper,20/03/1997
Åtefan Burghiu,Moldova,Midfielder,28/03/1991
Iulian Bursuc,Moldova,Midfielder,23/09/1976
Mihai Buzdugan,Moldova,Midfielder,07/05/1990
Andrei Calac,Moldova,Forward,14/03/1999
Dmitri CalaraÅ,Moldova,Midfielder,13/10/1995
Vadim CÄlugher,Moldova,Midfielder,07/09/1995
Christian Camacho,USA,Midfielder,11/07/1988
Alexandr Carabuela,Moldova,Forward,23/09/1988
Artiom Carastoian,Moldova,Forward,10/10/1999
Stefan Caraulan,Moldova,Midfielder,02/02/1989
Iurie Cebotari,Moldova,Midfielder,23/03/1997
Nicolae Cebotari,Moldova,Goalkeeper,24/05/1997
Eugen Celeadnic,Moldova,Defender,09/10/1990
Vadim CemÃ®rtan,Moldova,Forward,21/07/1987
Iustin Cerga,Moldova,Goalkeeper,25/11/1988
Alexandru Chiciuc,Moldova,Defender,07/11/1988
Dumitru Chiriloae,Moldova,Defender,21/02/1991
Cristian CÃ®rlan,Moldova,Midfielder,09/01/1995
Sergiu Cojocari,Moldova,Defender,15/05/1988
Alexandru Costin,Moldova,Defender,21/10/1991
Maxim Coval,Moldova,Forward,03/02/1993
Denis CravÅ£ov,Moldova,Midfielder,18/03/1990
Vadim CrÃ®cimari,Moldova,Forward,22/08/1988
Alexandru Cucu,Moldova,Midfielder,28/09/1987
Victor Culai,Moldova,Defender,03/08/1993
Alexandr Curteian,Moldova,Forward,27/09/1996
Ion Demerji,Moldova,Midfielder,28/04/1989
Andrei Didenco,Moldova,Goalkeeper,21/03/1993
Igor Dima,Moldova,Midfielder,11/02/1993
Dmitri Dolgov,Moldova,Defender,24/08/1987
Alexandru Dulghier,Moldova,Midfielder,03/01/1995
Chidi Ebuzoeme,Nigeria,Midfielder,26/05/1990
Gheorghe Eremia,Moldova,Defender,20/08/1987
