Name,Country,Position,Born
Claude AbbÃ¨s,France,Goalkeeper,24/05/1927
Charles Abi,France,Forward,12/04/2000
Ted Kelton Agasson,France,Midfielder,31/08/1973
Ruben Aguilar,France,Defender,26/04/1993
Ahmed Ahmedou,Mauritania,Defender,27/08/1993
Jean-Eudes Aholou,Ivory Coast,Midfielder,20/03/1994
Youssef AÃ¯t Bennasser,Morocco,Midfielder,07/07/1996
Danijel AleksiÄ,Serbia,Forward,30/04/1991
Alex Dias,Brazil,Forward,26/05/1972
AloÃ­sio,Brazil,Forward,27/01/1975
Alejandro Alonso,Argentina,Midfielder,03/03/1982
JÃ©rÃ´me Alonzo,France,Goalkeeper,20/11/1972
RenÃ© Alpsteg,France,Forward,03/12/1920
Yoann Andreu,France,Defender,03/05/1989
Aparicio,Portugal,Forward,15/09/1958
BenoÃ®t Assou-Ekotto,Cameroon,Defender,24/03/1984
Lilian Astier,France,Defender,12/08/1978
Pierre-Emerick Aubameyang,Gabon,Forward,18/06/1989
Benjamin Aulagnier,Senegal,Forward,10/03/1998
Dominique Aulanier,France,Midfielder,13/09/1973
Jean-Marc AuthiÃ©,France,Midfielder,09/02/1967
Samy Baghdadi,France,Forward,11/07/1997
Jean-Christophe Bahebeck,France,Forward,01/05/1993
Stefan Bajic,France,Goalkeeper,23/12/2001
Manuel Balboa,France,Forward,15/07/1940
Jonathan Bamba,France,Forward,26/03/1996
PathÃ© Bangoura,Guinea,Forward,22/01/1984
Fernand Barek,France,Defender,04/05/1942
AndrÃ© BarthÃ©lÃ©my,France,Forward,04/12/1953
Serisay BarthÃ©lÃ©my,France,Midfielder,06/01/1984
Anthony Bartholome,France,Defender,10/12/1982
Pierre Bastou,France,Midfielder,01/08/1973
Dominique Bathenay,France,Midfielder,13/02/1954
Laurent Batlles,France,Midfielder,23/09/1975
Patrick Battiston,France,Defender,12/03/1957
Olivier Baudry,France,Midfielder,12/06/1973
Jean-Claude Baulu,France,Midfielder,15/06/1936
Paul Baysse,France,Defender,18/05/1988
Jean-Pascal Beaufreton,France,Goalkeeper,02/05/1963
Ivica Bek,France,Forward,29/10/1909
