Name,Country,Position,Born
Chris Adamson,England,Goalkeeper,04/11/1978
Vinny Arkins,Ireland,Forward,18/09/1970
Chris Armstrong,Scotland,Forward,08/11/1984
Jordi Balk,Netherlands,Defender,16/04/1994
Stephen Ball,Ireland,Midfielder,17/09/1997
Gordon Banks,England,Goalkeeper,30/12/1937
Keith Barker,England,Forward,21/10/1986
Michael Barker,Ireland,Defender,16/08/1993
Noel Bates,Ireland,Midfielder,
Jack Bayly,Ireland,Midfielder,18/06/1996
David Bell,Ireland,Midfielder,13/05/1985
Chris Bennion,Scotland,Goalkeeper,30/08/1980
Ian Bermingham,Ireland,Defender,08/01/1989
Robbie Best,Ireland,Defender,12/09/1967
JarosÅaw BiaÅek,Poland,Midfielder,22/02/1981
Tony Bird,Wales,Forward,01/09/1974
Greg Bolger,Ireland,Midfielder,09/09/1988
Dougie Boucher,Ireland,Defender,
Synan Braddish,Ireland,Midfielder,27/01/1958
Stephen Bradley,Ireland,Midfielder,19/11/1984
Austin Brady,Ireland,Defender,17/04/1955
Leon Braithwaite,Ireland,Forward,17/12/1972
Killian Brennan,Ireland,Midfielder,31/01/1984
Ryan Brennan,Ireland,Midfielder,11/11/1991
Stephen Brennan,Ireland,Midfielder,20/03/1983
Barry Bridges,England,Forward,29/04/1941
Kenny Browne,Ireland,Defender,07/08/1986
Liam Buckley,Ireland,Forward,14/04/1960
Willie Burke,Ireland,Defender,04/09/1972
Darragh Burns,Northern Ireland,Midfielder,08/06/2002
Brian Byrne,Ireland,Midfielder,23/03/1972
Conan Byrne,Ireland,Midfielder,10/07/1985
Damien Byrne,Ireland,Defender,06/04/1954
Davy Byrne,Ireland,Midfielder,14/11/1979
Desmond Byrne,Ireland,Defender,10/04/1981
Gareth Byrne,Ireland,Goalkeeper,15/04/1971
Jason Byrne,Ireland,Midfielder,16/05/1972
Jody Byrne,Ireland,Goalkeeper,30/04/1963
Kurtis Byrne,Ireland,Forward,09/04/1990
Neill Byrne,Ireland,Defender,
Paul Byrne,Ireland,Forward,19/05/1986
Paul Byrne,Ireland,Midfielder,30/06/1972
Paul Byrne,Ireland,Defender,25/11/1965
SeÃ¡n Byrne,Ireland,Midfielder,
Stuart Byrne,Ireland,Midfielder,04/11/1976
Thomas Byrne,Ireland,Forward,26/01/1999
Stephen Caffrey,Ireland,Midfielder,09/12/1975
Mick Cahill,Ireland,Defender,1938
Aaron Callaghan,Ireland,Defender,08/10/1966
Dave Campbell,Ireland,Defender,13/09/1969
John Campbell,Ireland,Midfielder,
Noel Campbell,Ireland,Midfielder,11/12/1949
Paul Campbell,Ireland,Defender,05/10/1969
Achille Campion,France,Forward,10/03/1990
Eamonn Carroll,Ireland,Forward,
Jake Carroll,Ireland,Defender,11/08/1991
Ryan Casey,Ireland,Midfielder,03/01/1979
Brian Cash,Ireland,Midfielder,24/11/1982
Alan Cawley,Ireland,Midfielder,03/01/1982
David Cawley,Ireland,Midfielder,19/09/1991
John Cervi,Ireland,Midfielder,
James Chambers,Ireland,Midfielder,14/02/1987
Marco Chindea,Romania,Forward,18/04/1994
Brendan Clarke,Ireland,Goalkeeper,17/09/1985
Dean Clarke,Ireland,Forward,29/03/1993
Jeff Clarke,Canada,Defender,18/10/1977
Joseph Clarke,Ireland,Defender,
John Cleary,Ireland,Defender,07/08/1958
Paul Cleary,Ireland,Defender,09/02/1999
Connor Clifford,Ireland,Midfielder,01/10/1991
Cian Coleman,Ireland,Midfielder,01/01/1997
James Coll,Scotland,Defender,28/07/1962
John Colrain,Ireland,Forward,04/02/1937
Mick Cooke,Ireland,Forward,14/08/1951
Ryan Coombes,Ireland,Defender,30/01/1994
Dinny Corcoran,Ireland,Forward,13/02/1989
Anthony Costigan,Ireland,Defender,21/01/1988
Gareth Coughlan,Ireland,Midfielder,24/11/1989
Fergus Crawford,Ireland,Defender,1933
Patrick Cregg,Ireland,Midfielder,21/02/1986
Trevor Croly,Ireland,Defender,23/04/1974
Paul Crowley,Ireland,Midfielder,13/08/1980
George Cummins,England,Forward,12/03/1931
Ian Daly,Ireland,Forward,27/03/1990
Carl Davenport,England,Forward,30/05/1944
Eugene Davis,Ireland,Midfielder,17/10/1953
Clive Delaney,Ireland,Defender,02/01/1980
Gary Dempsey,Ireland,Midfielder,15/01/1981
Billy Dennehy,Ireland,Midfielder,17/02/1987
