Name,Country,Position,Born
Anthony Abou Deraa,France,Midfielder,25/06/1988
Lucas Abreu,France,Goalkeeper,07/03/2001
Geoffrey Acheampong,Ghana,Midfielder,28/01/1997
Romain Achilli,France,Defender,15/02/1993
Ismael Addo,Ghana,Forward,30/12/1982
Khaled Adenon,Benin,Defender,28/07/1985
Dominique Agostini,France,Goalkeeper,28/09/1989
Sauveur Agostini,France,Forward,31/10/1953
Hassan Ahamada,France,Forward,13/04/1981
Sauveur Aiello,France,Midfielder,04/02/1975
Soufian Akanni,Morocco,Midfielder,05/11/1997
Edgar Alexandre,France,Midfielder,24/11/1996
Bruno Alicarte,France,Defender,18/01/1972
Nicolas Alnoudji,Cameroon,Midfielder,09/12/1979
Florent AndrÃ©,France,Midfielder,06/06/1991
Pierre-Yves AndrÃ©,France,Forward,14/05/1974
Toussaint Andrietti,France,Midfielder,26/05/1955
GaÃ«l Angoula,France,Midfielder,18/07/1982
FrÃ©dÃ©ric Antonetti,France,Midfielder,19/08/1961
Baptiste Anziani,France,Midfielder,03/05/1990
HervÃ© Anziani,France,Midfielder,29/06/1976
Apodi,Brazil,Defender,13/12/1986
Alphonse ArÃ©ola,France,Goalkeeper,27/02/1993
Maurice Arouh,France,Defender,15/04/1959
Salim Arrache,Algeria,Midfielder,14/07/1982
Fabien Audard,France,Goalkeeper,28/03/1978
Pierre Aussu,France,Forward,26/05/1956
Floyd AyitÃ©,Togo,Midfielder,15/12/1988
Adama BÃ¢,Mauritania,Midfielder,27/08/1993
El-Hadji Ba,France,Midfielder,05/03/1993
Florian Baccarelli,France,Goalkeeper,28/02/1992
Gerard Bacconnier,France,Defender,17/01/1959
Louardi Badjika,Algeria,Defender,18/09/1957
Abdoul Bangoura,Guinea,Defender,09/02/1971
Joseph Barbato,France,Forward,11/08/1994
AndrÃ© BarthÃ©lÃ©my,France,Forward,04/12/1953
Serisay BarthÃ©lÃ©my,France,Midfielder,06/01/1984
Laurent Batlles,France,Midfielder,23/09/1975
Denis Bauda,France,Defender,26/02/1947
Claudio Beauvue,Guadeloupe,Forward,16/04/1988
SaÃ¯d Belarbi,France,Midfielder,20/11/1973
Samir Beloufa,Algeria,Defender,27/08/1979
Sami Ben Amar,Morocco,Forward,02/03/1998
Chaouki Ben Saada,Tunisia,Forward,01/07/1984
Rachid Ben Said,Morocco,Midfielder,
Yamen Ben Zekri,Tunisia,Defender,10/06/1979
Patrick Beneforti,France,Midfielder,28/08/1980
Pierre Bengtsson,Sweden,Defender,12/04/1988
Julien Benhaim,France,Defender,25/10/1996
Pascal Berenguer,France,Midfielder,20/05/1981
Jean-Luc Bernard,France,Defender,15/12/1971
Samir Bertin,Comoros,Forward,15/04/1986
Marc Biamonte,France,Forward,16/08/1962
AndrÃ© Biancarelli,France,Goalkeeper,12/03/1970
Pierre Bianconi,France,Defender,16/11/1962
Thievy Bifouma,Congo,Forward,13/05/1992
Philippe Billy,France,Defender,13/01/1982
Robert Blanc,France,Forward,08/05/1944
Jean-Claude Blanchard,France,Forward,14/11/1943
Joseph Blezirri,Ivory Coast,Midfielder,01/01/1943
RenÃ© Bocchi,France,Midfielder,03/04/1957
Yohan Bocognano,France,Defender,12/06/1990
Landry Bonnefoi,France,Goalkeeper,20/09/1983
Alain Bordin,France,Forward,16/07/1966
Christian Borel,France,Forward,13/11/1956
Zdravko Borovnica,Serbia,Defender,17/08/1954
Henri Borowski,France,Defender,18/12/1937
Ryad Boudebouz,Algeria,Midfielder,19/02/1990
Sadek Boukhalfa,Algeria,Forward,21/08/1939
Farid Boulaya,Algeria,Midfielder,25/02/1993
Ali Boumnijel,Tunisia,Goalkeeper,13/04/1966
Hamid Bourabaa,France,Forward,16/12/1967
Sofiane Bourouis-Belle,Algeria,Forward,26/12/2000
Amine Boutrah,France,Forward,26/10/2000
Christian Bracconi,France,Forward,25/11/1960
Anthony Bral,France,Midfielder,23/02/1987
BrandÃ£o,Brazil,Forward,16/06/1980
Damien Bridonneau,France,Defender,19/04/1975
JosÃ© Broissart,France,Midfielder,20/02/1947
Gianni Bruno,Belgium,Forward,19/08/1991
Robert Buigues,France,Midfielder,09/05/1950
FÃ©lix Burdino,France,Forward,26/08/1945
AndrÃ© Burkhardt,France,Defender,06/11/1950
Franck Burnier,France,Defender,10/10/1963
Jerson Cabral,Cape Verde,Midfielder,03/01/1991
FranÃ§ois Caffarel,France,Defender,09/11/1974
Yannick Cahuzac,France,Midfielder,18/01/1985
Georges Calmettes,France,Midfielder,11/07/1942
Jean Camadini,France,Midfielder,08/10/1941
Pascal Camadini,France,Midfielder,02/04/1972
Fode Camara,Guinea,Defender,17/04/1998
Hassoun Camara,France,Defender,03/02/1984
Zoumana Camara,France,Defender,03/04/1979
Jacques Canosi,France,Midfielder,06/10/1965
Jean-Louis Carlotti,France,Goalkeeper,26/12/1998
Laurent Casanova,France,Midfielder,28/09/1971
Patrick Casanova,France,Goalkeeper,
Laurent Castro,France,Forward,11/12/1969
BenoÃ®t Cauet,France,Midfielder,02/05/1969
Jean-Louis Cazes,France,Defender,02/10/1951
Gilbert Ceccarelli,France,Goalkeeper,25/10/1962
Antoine Cervetti,France,Defender,19/09/1961
Jean Cesto,France,Defender,24/01/1987
Paul Charruau,France,Goalkeeper,12/07/1993
Michel Chaumeton,France,Forward,05/01/1951
Jean-Pierre Chaussin,France,Midfielder,13/11/1958
