Name,Country,Position,Born
Achraf Achaoui,Morocco,Defender,10/12/1996
Astrit AjdareviÄ,Albania,Midfielder,17/04/1990
Ameen Al Dakhil,Belgium,Forward,06/03/2002
Anaxis,Belgium,Midfielder,20/01/2001
Jordan Atheba,Belgium,Defender,04/04/1994
Jordi Baininwa Liongola,Belgium,Forward,17/05/2000
Michel Balikwisha,Belgium,Forward,10/05/2001
Christopher Bombele,Belgium,Forward,26/12/1991
Axel Bonemme,Belgium,Defender,08/03/1993
Idir Boutrif,Algeria,Forward,06/02/2000
Joachim Carcela-Gonzalez,Belgium,Midfielder,16/12/1999
DarÃ­o Castro,Colombia,Forward,24/09/1999
Ramazan Ãevik,Belgium,Forward,01/04/1992
Ibrahima CissÃ©,Belgium,Defender,28/02/1994
Hugo Cuypers,Belgium,Forward,07/02/1997
Hugo Debenest,Belgium,Defender,06/01/2000
Nicolas Delporte,Belgium,Defender,30/12/1993
Alassane Diallo,Mali,Midfielder,19/02/1995
Jeovanni Samuel Dianganga,Belgium,Defender,15/10/1999
Akoete Eninful,Togo,Midfielder,21/07/1992
Corentin Fiore,Belgium,Defender,24/03/1995
Louis Fortin,Belgium,Goalkeeper,12/01/2002
NatanaÃ«l Frenoy,Belgium,Defender,08/11/1999
Timothy Galje,Belgium,Goalkeeper,05/06/2001
Merveille Goblet,Belgium,Goalkeeper,20/11/1994
Keith Groeneveld,Belgium,Defender,24/06/1999
David Hernandez,Belgium,Midfielder,05/05/2000
Ryan Itangishaka-Trey,Belgium,Midfielder,16/03/2001
Edouard Kabamba,Belgium,Forward,24/01/1987
Lucas Kalala,Belgium,Defender,28/02/2002
AnÄ±l KoÃ§,Turkey,Forward,29/01/1995
JÃ©rÃ©my Landu,Belgium,Midfielder,02/01/2002
Alexander Maes,Belgium,Midfielder,26/03/1992
Mundele Makusu,Congo DR,Forward,27/03/1992
Jordi Malela,Belgium,Defender,14/01/1996
Rabah Mazbouh,Lebanon,Forward,03/07/2000
Ayrton Mboko,Belgium,Defender,23/10/1997
Guillermo MÃ©ndez,Uruguay,Midfielder,26/08/1994
Dolly Menga,Angola,Forward,02/05/1993
Deni MiloÅ¡eviÄ,Bosnia-Herzegovina,Midfielder,09/03/1995
Jacky Mmaee,Belgium,Forward,16/11/1994
StÃ©phane Mukala,Congo DR,Midfielder,28/08/1999
Rudy Ngombo,Belgium,Defender,25/03/1990
Jonathan Okita,Germany,Midfielder,05/10/1995
Mehdi Ouamri,Algeria,Forward,02/08/1999
Sylvio Ouassiero,France,Forward,07/05/1994
Alpaslan ÃztÃ¼rk,Turkey,Defender,16/07/1993
Constantinos Patoulidis,Belgium,Midfielder,13/04/2000
Evangelos Patoulidis,Belgium,Midfielder,24/09/2001
Samuel Piette,Belgium,Defender,29/04/1987
Nicolas Raskin,Belgium,Midfielder,23/02/2001
Martin Remacle,Belgium,Midfielder,16/05/1997
Mamadou SamakÃ©,Mali,Midfielder,15/05/2000
Hady Sangare,Mali,Defender,15/11/1998
Lindon Selahi,Albania,Midfielder,26/02/1999
Hugo Siquet,Belgium,Defender,09/07/2002
Tino-Sven SuÅ¡iÄ,Bosnia-Herzegovina,Midfielder,13/02/1992
Benjamin Van Den Ackerveken,Belgium,Defender,29/06/1995
Samuel van Roosebeke,Belgium,Defender,29/07/1998
Senne Vits,Belgium,Goalkeeper,31/08/1996
Mergim Vojvoda,Kosovo,Defender,01/02/1995
Simon Wantiez,Belgium,Midfielder,24/09/1992
Marten Wilmots,Belgium,Midfielder,29/01/1999
Reno Wilmots,Belgium,Midfielder,16/03/1997
Franco Zennaro,Belgium,Midfielder,01/04/1993
Hao Zhang,China,Midfielder,08/01/1999
Georgiy Zhukov,Kazakhstan,Midfielder,19/11/1994
Artuur Zutterman,Belgium,Defender,27/03/2001
