Name,Country,Position,Born
Aleksandre Abashidze,Georgia,Forward,13/08/1989
Seka Adou,Ivory Coast,Forward,31/07/1993
Jarmo Ahjupera,Estonia,Forward,13/04/1984
Mihkel Ainsalu,Estonia,Midfielder,08/03/1996
Mihkel Aksalu,Estonia,Goalkeeper,07/11/1984
Richard Aland,Estonia,Goalkeeper,15/03/1994
Teet Allas,Estonia,Defender,02/06/1977
Rauno Alliku,Estonia,Forward,02/03/1990
Kevin Aloe,Estonia,Defender,07/05/1995
Viktor Alonen,Estonia,Defender,21/03/1969
PÃ¥l Alsaker,Norway,Midfielder,06/11/1973
Hannes Anier,Estonia,Forward,16/01/1993
Henri Anier,Estonia,Forward,17/12/1990
Aivar Anniste,Estonia,Midfielder,18/02/1980
Andrei Antonov,Estonia,Forward,27/01/1985
Argo Arbeiter,Estonia,Forward,05/12/1973
Antti Arst,Estonia,Midfielder,03/01/1984
Nikita Baranov,Estonia,Defender,19/08/1992
Alo BÃ¤rengrub,Estonia,Defender,12/02/1984
Zakaria Beglarishvili,Georgia,Midfielder,30/04/1990
Aleksei Belov,Estonia,Forward,04/03/1992
Algimantas Briaunys,Lithuania,Goalkeeper,03/11/1964
Aleksandr Dmitrijev,Estonia,Midfielder,18/02/1982
Pavel DÃµmov,Estonia,Midfielder,31/12/1993
Alo Dupikov,Estonia,Forward,05/11/1985
Pavel Fedorenko,Estonia,Forward,17/06/1999
Ray FrÃ¤nkel,Suriname,Defender,15/09/1982
Andre Frolov,Estonia,Midfielder,18/04/1988
Juri Gavrilov,Estonia,Midfielder,11/05/1993
Vadim Gurnik,Estonia,Goalkeeper,25/04/1993
Maksim Gussev,Estonia,Midfielder,20/07/1994
Kert Haavistu,Estonia,Midfielder,18/01/1980
Juha Hakola,Finland,Midfielder,27/10/1987
Tor Henning Hamre,Norway,Forward,24/04/1979
Trond Inge Haugland,Norway,Defender,23/03/1976
JÃ¼rgen Henn,Estonia,Midfielder,02/06/1987
Urmas Hepner,Estonia,Midfielder,31/07/1964
Geir Herrem,Norway,Forward,28/01/1988
Sergei Hohlov-Simson,Estonia,Defender,22/04/1972
Martin Hurt,Estonia,Defender,27/06/1984
Matvei Igonen,Estonia,Goalkeeper,02/10/1996
Mihail Ishtshuk,Estonia,Forward,23/09/1986
Enar JÃ¤Ã¤ger,Estonia,Defender,18/11/1984
Enver JÃ¤Ã¤ger,Estonia,Forward,28/10/1982
Aleksei JahhimovitÅ¡,Estonia,Defender,30/03/1990
Jasse Jalonen,Finland,Midfielder,18/07/1973
Henri JÃ¤rvelaid,Estonia,Midfielder,11/12/1998
Jesper Johansson,Sweden,Midfielder,14/12/1979
Jonatan Johansson,Finland,Forward,16/08/1975
Joosep Juha,Estonia,Midfielder,05/09/1996
Gerdo Juhkam,Estonia,Defender,19/06/1994
Erkki Junolainen,Estonia,Midfielder,05/01/1992
Markus JÃ¼rgenson,Estonia,Defender,09/09/1987
Janno JÃ¼risson,Estonia,Forward,06/10/1980
Urmas Kaal,Estonia,Defender,06/04/1973
Martin Kaalma,Estonia,Goalkeeper,14/04/1977
Rene Kaas,Estonia,Goalkeeper,16/01/1982
Janek Kalda,Estonia,Defender,13/09/1978
Ken Kallaste,Estonia,Defender,31/08/1988
Risto Kallaste,Estonia,Defender,10/03/1971
Toomas Kallaste,Estonia,Defender,27/01/1971
Gert Kams,Estonia,Defender,25/05/1985
Magnus Karofeld,Estonia,Goalkeeper,20/08/1996
Martin Kase,Estonia,Defender,02/09/1993
Siksten Kasimir,Estonia,Midfielder,23/07/1980
TÃµnis Kaukvere,Estonia,Midfielder,19/03/1986
Janek Kiisman,Estonia,Defender,03/01/1972
Urmas Kirs,Estonia,Defender,05/11/1966
Pavel Kiseljov,Estonia,Goalkeeper,14/05/1980
Dzintar Klavan,Estonia,Midfielder,18/06/1961
Ragnar Klavan,Estonia,Defender,30/10/1985
Jan Kokla,Estonia,Defender,29/05/1997
Oliver Konsa,Estonia,Forward,04/03/1985
Andres Koogas,Estonia,Defender,05/09/1987
Otar Korgalidze,Georgia,Midfielder,02/09/1960
MÃ¤rt Kosemets,Estonia,Midfielder,25/01/1981
Vladislavs Kreida,Estonia,Midfielder,25/09/1999
Eron Krillo,Estonia,Midfielder,10/10/1991
Marko Kristal,Estonia,Midfielder,02/06/1973
Toomas KrÃµm,Estonia,Forward,22/09/1971
Johannes Kukebal,Estonia,Defender,19/07/1993
Aleksandr Kulik,Estonia,Forward,23/07/1981
JÃ¼rgen Kuresoo,Estonia,Midfielder,11/02/1987
Kert KÃ¼tt,Estonia,Goalkeeper,09/10/1980
MÃ¤rten Kuusk,Estonia,Defender,05/04/1996
Rait Kuusk,Estonia,Midfielder,21/05/1986
Reio Laabus,Estonia,Midfielder,14/03/1990
Sander Laht,Estonia,Midfielder,26/09/1991
Kristen Lapa,Estonia,Goalkeeper,11/02/2000
Glen Atle Larsen,Norway,Midfielder,24/08/1982
Liivo Leetma,Estonia,Midfielder,20/01/1977
Alari Lell,Estonia,Defender,10/06/1976
Mati Lember,Estonia,Midfielder,21/07/1985
Marek Lemsalu,Estonia,Defender,24/11/1972
Rando Leokin,Estonia,Midfielder,05/03/1992
Martin Lepa,Estonia,Defender,28/10/1976
Georg Lepik,Estonia,Midfielder,04/08/1998
Mark Lepik,Estonia,Forward,10/09/2000
Brent Lepistu,Estonia,Midfielder,26/03/1993
Frank Liivak,Estonia,Forward,07/07/1996
Urmas Liivamaa,Estonia,Defender,24/08/1968
Elvis LiivamÃ¤gi,Estonia,Midfielder,21/01/1992
Michael Lilander,Estonia,Defender,10/06/1997
Meelis Lindmaa,Estonia,Defender,14/10/1970
Joel Lindpere,Estonia,Forward,05/10/1981
Tarmo LinnumÃ¤e,Estonia,Defender,11/11/1971
Irakliy Logua,Russia,Forward,29/07/1991
Pavel Londak,Estonia,Goalkeeper,14/05/1980
JÃ¼rgen Lorenz,Estonia,Defender,11/05/1993
Karl-Eerik Luigend,Estonia,Midfielder,15/01/1993
Marco Lukka,Estonia,Defender,04/12/1996
Siim Luts,Estonia,Forward,12/03/1989
Darius Magdisauskas,Lithuania,Defender,14/07/1969
Mattias MÃ¤nnilaan,Estonia,Forward,08/09/2001
Kaupo Margusonov,Estonia,Forward,19/03/1986
Valdemaras MartinkÄnas,Lithuania,Goalkeeper,10/03/1965
Ernest Martinsons,Estonia,Goalkeeper,01/08/1975
Nikolai MaÅ¡itÅ¡ev,Russia,Midfielder,05/12/1988
Andrei Mazurkevits,Estonia,Defender,07/03/1985
Marko Meerits,Estonia,Goalkeeper,26/04/1992
Janek Meet,Estonia,Defender,02/05/1974
Karol Mets,Estonia,Defender,16/05/1993
Erik Midtgarden,Norway,Forward,18/11/1987
Mairo Miil,Estonia,Defender,15/02/2000
Guram Mikadze,Georgia,Forward,06/01/1989
Remigius Mikocionis,Lithuania,Goalkeeper,02/04/1970
Martin Miller,Estonia,Midfielder,25/09/1997
Valeri Minkenen,Finland,Midfielder,09/04/1989
Roman Minlibajev,Estonia,Defender,17/03/1987
Karl MÃ¶Ã¶l,Estonia,Midfielder,04/03/1992
Sergei MoÅ¡nikov,Estonia,Midfielder,07/01/1988
Marten MÃ¼tt,Estonia,Defender,25/05/1992
Tarmo Neemelo,Estonia,Forward,10/02/1982
Raivo NÃµmmik,Estonia,Defender,11/02/1977
Jevgeni Novikov,Estonia,Midfielder,28/06/1980
Anselmi Nurmela,Finland,Defender,22/11/1996
Janne Oinas,Finland,Defender,27/11/1973
Gert Olesk,Estonia,Defender,08/08/1973
Viktoras OlÅ¡anskis,Lithuania,Midfielder,14/03/1969
Indro Olumets,Estonia,Midfielder,10/04/1971
Andres Oper,Estonia,Forward,07/11/1977
Aiko Orgla,Estonia,Goalkeeper,24/05/1987
Janar Ãunap,Estonia,Defender,09/09/1994
TÃµnu Paavo,Estonia,Midfielder,14/10/1996
MÃ¤rten Pajunurm,Estonia,Defender,29/04/1993
Karl Palatu,Estonia,Defender,05/12/1982
Siim-Sten Palm,Estonia,Goalkeeper,18/08/1992
Ingmar Paplavskis,Estonia,Goalkeeper,17/05/1999
Mati Pari,Estonia,Midfielder,04/09/1974
Stanislav PedÃµk,Estonia,Goalkeeper,06/06/1988
Meelis Peitre,Estonia,Defender,27/03/1990
Ragnar Piir,Estonia,Defender,17/10/1994
Raio Piiroja,Estonia,Defender,11/07/1979
Markus Poom,Estonia,Midfielder,27/02/1999
Mart Poom,Estonia,Goalkeeper,03/02/1972
Sander Post,Estonia,Forward,10/09/1984
Igor Prins,Estonia,Defender,21/10/1966
Stanislav Prins,Estonia,Goalkeeper,06/06/1988
Albert Prosa,Estonia,Forward,01/10/1990
Martti Pukk,Estonia,Forward,20/02/1977
Henrik PÃ¼rg,Estonia,Defender,03/06/1996
Taavi RÃ¤hn,Estonia,Defender,16/05/1981
Lembit Rajala,Estonia,Forward,01/12/1970
Randin Rande,Estonia,Forward,28/07/1997
Sergei Ratnikov,Estonia,Midfielder,21/11/1959
Tomas RaÅ¾anauskas,Lithuania,Midfielder,07/01/1976
Martin Reim,Estonia,Midfielder,14/05/1971
Mikk Reintam,Estonia,Defender,22/05/1990
Ott ReinumÃ¤e,Estonia,Midfielder,20/04/1984
Priit Reiska,Estonia,Defender,03/01/1970
Herol Riiberg,Estonia,Midfielder,14/04/1997
Meelis Rooba,Estonia,Midfielder,20/04/1977
Urmas Rooba,Estonia,Defender,08/07/1978
Siim Roops,Estonia,Defender,04/03/1986
Henri RÃ¼Ã¼tli,Estonia,Midfielder,16/03/1987
Aleksander Saharov,Estonia,Forward,22/04/1982
Tarmo Saks,Estonia,Forward,06/11/1975
Joseph Saliste,Estonia,Defender,10/04/1995
Rauno Sappinen,Estonia,Midfielder,23/01/1996
Erko Saviauk,Estonia,Defender,20/10/1977
Markkus Seppik,Estonia,Defender,16/04/2001
Andrei Sidorenkov,Estonia,Midfielder,12/02/1984
Juhan Jograf Siim,Estonia,Forward,22/04/1996
Kauri Siim,Estonia,Defender,04/03/1986
Sten Sinisalu,Estonia,Defender,04/02/1996
Vlasiy Sinyavskiy,Estonia,Midfielder,27/11/1996
Tomas SireviÄius,Lithuania,Defender,23/03/1979
German Å lein,Estonia,Midfielder,28/03/1996
Maksim Smirnov,Estonia,Midfielder,28/12/1979
Roman SobtÅ¡enko,Estonia,Midfielder,25/01/1994
Erik Sorga,Estonia,Forward,08/07/1999
Mikhail Starodubtsev,Estonia,Goalkeeper,14/08/1982
Andrei Stepanov,Estonia,Defender,16/03/1979
Edwin StÃ¼f,Estonia,Midfielder,30/07/1989
Lamin Suma,Sierra Leone,Midfielder,14/07/1991
Ralf-Sander Suvinomm,Estonia,Defender,29/10/2001
Mark Svets,,Midfielder,10/10/1976
Albert Taar,Estonia,Midfielder,15/01/1990
Zaur Tagizade,Azerbaijan,Forward,21/02/1979
Heikki Talimaa,Estonia,Defender,14/03/1985
Joonas Tamm,Estonia,Forward,02/02/1992
Hans Tammerik,Estonia,Defender,30/09/1995
Ain Tammus,Estonia,Goalkeeper,15/07/1969
Aleksandr Tarassenkov,Estonia,Forward,29/09/1980
Martin Taska,Estonia,Defender,09/12/1986
Sergei Terehhov,Estonia,Midfielder,18/04/1975
Juri Tiismann,Estonia,Midfielder,23/05/1980
Tiit Tikenberg,Estonia,Midfielder,28/01/1983
Terjo Tirel,Estonia,Midfielder,09/01/1973
Toomas Tohver,Estonia,Goalkeeper,24/04/1973
Rain TÃ¶lpus,Estonia,Midfielder,11/12/1982
Mait Toom,Estonia,Goalkeeper,07/05/1990
Kaarel Torop,Estonia,Forward,20/09/1992
Aivar Truberg,Estonia,Forward,09/04/1971
Daniel Tuhkanen,Estonia,Midfielder,26/02/2001
Sakari Tukiainen,Finland,Forward,02/10/1991
Dmitri Ustritski,Estonia,Forward,08/05/1975
Raimundas Vainoras,Lithuania,Defender,16/07/1965
Sander van de Streek,Netherlands,Midfielder,24/03/1993
TÃµnis Vanna,Estonia,Defender,05/06/1984
Konstantin Vassiljev,Estonia,Midfielder,16/08/1984
JÃ¼rgen Veber,Estonia,Goalkeeper,10/02/1983
Jaanus Veensalu,Estonia,Defender,29/07/1964
Andrei Veis,Estonia,Defender,06/04/1990
Alan Ventsel,Estonia,Goalkeeper,02/09/1988
Rain Vessenberg,Estonia,Goalkeeper,27/11/1975
Madis Vihmann,Estonia,Defender,05/10/1995
Kristen ViikmÃ¤e,Estonia,Forward,10/02/1979
Tanel VÃµtti,Estonia,Defender,16/05/1988
Martin Vunk,Estonia,Midfielder,21/08/1984
Vahe Yagmuryan,Armenia,Forward,02/07/1971
