Name,Country,Position,Born
Maxwell Acosty,Ghana,Forward,10/09/1991
Alberto Alberghini,Italy,Goalkeeper,05/06/1996
Roberto Alberti,Italy,Midfielder,26/04/1961
Fabio Albinelli,Italy,Defender,21/08/1961
Mario Alfieri,Italy,Midfielder,28/03/1973
Matteo Anania,Italy,Defender,24/05/1984
Armando Anastasio,Italy,Defender,24/07/1996
Michele Andrisani,Italy,Midfielder,06/08/1973
AnÃ­bal,Portugal,Defender,08/05/1991
Roberto Antonioli,Italy,Midfielder,19/04/1968
Matteo Ardemagni,Italy,Forward,26/03/1987
Rachid Arma,Morocco,Forward,16/01/1985
Andrea Arrighini,Italy,Forward,06/06/1990
Fabio Aselli,Italy,Forward,19/10/1962
Salvatore Bagni,Italy,Midfielder,25/09/1956
Andrea Bagnoli,Italy,Forward,13/08/1967
Max Barnofsky,Germany,Defender,05/03/1995
Giuseppe Barucco,Italy,Defender,27/02/1938
Abdallah Basit,Ghana,Midfielder,15/10/1999
Elia Bastianoni,Italy,Goalkeeper,18/05/1991
Luigi Beghetto,Italy,Forward,06/07/1973
Vid Belec,Slovenia,Goalkeeper,06/06/1990
Filippo Bellini,Italy,Midfielder,25/08/1998
NiccolÃ² Belloni,Italy,Midfielder,10/07/1994
Paolo Benetti,Italy,Defender,28/04/1965
Francesco Benussi,Italy,Goalkeeper,15/10/1981
Giacomo Beretta,Italy,Forward,14/03/1992
Michele Bertoldo,Italy,Midfielder,12/01/1968
Alessandro Bertoni,Italy,Forward,15/02/1959
Alessandro Bertoni,Italy,Defender,08/10/1966
Luca Bertoni,Italy,Midfielder,19/06/1992
Giuseppe Bianchini,Italy,Defender,15/12/1976
Raffaele Bianco,Italy,Midfielder,25/08/1987
Tommaso Biasci,Italy,Forward,10/11/1994
Dario Biasi,Italy,Defender,24/08/1979
Alfredo Bifulco,Italy,Forward,19/01/1997
Luca Bittante,Italy,Defender,14/08/1993
Leonardo Blanchard,Italy,Defender,06/05/1988
Riccardo Bocalon,Italy,Forward,03/03/1989
Matteo Boccaccini,Italy,Defender,08/02/1993
Giovanni Boggian,Italy,Forward,24/07/1996
Gabriele Boilini,Italy,Midfielder,29/01/1991
Matteo Bondi,Italy,Forward,05/06/1980
Filippo Boniperti,Italy,Forward,27/09/1991
Andrea Boron,Italy,Defender,29/05/1993
Marco Borriello,Italy,Forward,18/06/1982
Oriano Boschin,Italy,Goalkeeper,20/07/1960
Dario Bova,Italy,Defender,31/03/1984
Å½eljko BrkiÄ,Serbia,Goalkeeper,09/07/1986
Riccardo Brosco,Italy,Defender,03/02/1991
