Name,Country,Position,Born
Mihai Adam,Romania,Forward,03/07/1940
Godfred Adofo,Ghana,Midfielder,20/04/1993
MatÃ­as Aguirregaray,Uruguay,Defender,01/04/1989
Vasile Alexandru,Romania,Midfielder,18/07/1935
Fahrudin Alickovic,Bosnia-Herzegovina,Defender,19/07/1979
Remo Amadio,Italy,Goalkeeper,24/11/1987
Valer Ambrus,Romania,Midfielder,1987
Najib Ammari,Algeria,Forward,10/04/1992
Amoreirinha,Portugal,Defender,05/08/1984
Adrian Anca,Romania,Forward,27/03/1976
AndrÃ© Galiassi,Brazil,Defender,22/08/1980
AndrÃ© LeÃ£o,Portugal,Midfielder,20/05/1985
Anselmo RamÃ³n,Brazil,Forward,23/06/1988
Liviu Antal,Romania,Midfielder,02/06/1989
Giedrius Arlauskis,Lithuania,Goalkeeper,01/12/1987
Laur Astilean,Romania,Defender,25/07/1973
Gabriel Bacneanu,Romania,Defender,20/09/1979
Ibrahima BaldÃ©,Senegal,Forward,04/04/1989
SaÅ¡a BaliÄ,Montenegro,Defender,29/01/1990
LÃ¡szlÃ³ Balint,Romania,Defender,29/03/1979
Teodor Balmos,Romania,Midfielder,04/11/1987
Vitaliy Balytskiy,Ukraine,Defender,22/08/1978
Daniel Baston,Romania,Forward,07/06/1973
Paul Batin,Romania,Forward,29/06/1987
RÄzvan Began,Romania,Goalkeeper,12/08/1996
Steve Beleck,Cameroon,Forward,10/02/1993
Beto,Portugal,Goalkeeper,01/05/1982
SaÅ¡a Bjelanovic,Croatia,Forward,11/06/1979
Jeremy Bokila,Congo DR,Forward,14/11/1988
KÃ©vin Boli,France,Defender,21/06/1991
Mihai Bordeianu,Romania,Midfielder,18/11/1991
Andrei Borostean,Romania,Midfielder,25/02/1987
JÃ¡nos BÃ¶rzsei,Hungary,Defender,09/10/1921
Alin Bota,Romania,Goalkeeper,29/05/1983
Davide Bottone,Italy,Midfielder,11/04/1986
Catalin Bozdog,Romania,Midfielder,22/12/1980
BrandÃ£o,Portugal,Defender,09/10/1986
Sead BrunÄeviÄ,Serbia,Forward,15/05/1977
Bogdan BucuricÄ,Romania,Defender,11/02/1986
Cristian Bud,Romania,Forward,26/06/1985
Andrei BurcÄ,Romania,Defender,15/04/1993
Gabriel BurcÄ,Romania,Defender,16/07/1995
Sergiu BuÅ,Romania,Forward,02/11/1992
Mihai Butean,Romania,Midfielder,14/09/1996
Nelson Cabrera,Bolivia,Defender,22/04/1983
CadÃº,Portugal,Defender,21/12/1981
Lamine Camara,Ivory Coast,Forward,
Camora,Portugal,Defender,21/09/1986
NicolÃ¡s Canales,Chile,Forward,27/06/1985
CÄtÄlin Carp,Moldova,Midfielder,20/10/1993
Anthony Carter,Australia,Forward,31/08/1994
Kasali Casal,Nigeria,Midfielder,21/10/1987
Ionut Cazan,Romania,Defender,29/08/1981
Celestino,Cape Verde,Midfielder,02/01/1987
Mike Cestor,France,Defender,30/04/1992
Giorgi Chanturia,Georgia,Forward,11/04/1993
Octavian Chihaia,Romania,Forward,18/03/1981
Alexandru Chipciu,Romania,Forward,18/05/1989
Alexandru ChiriÈÄ,Romania,Forward,24/06/1996
Leontin Chitescu,Romania,Midfielder,03/05/1980
Christian,Brazil,Midfielder,14/06/1989
Chuka,Nigeria,Forward,19/03/1990
Denis Ciobotariu,Romania,Defender,10/06/1998
Bogdan Codorean,Romania,Forward,29/06/1995
Marius Coman,Romania,Forward,31/07/1996
