Name,Country,Position,Born
Jibrill Abubakar Antala,Denmark,Midfielder,06/01/2000
Mikkel Adamsen,Denmark,Defender,02/04/1995
Joachim Andersen,Denmark,Defender,31/05/1996
Mikael Anderson,Iceland,Forward,01/07/1998
Tobias Anker,Denmark,Defender,06/03/2001
Jibril Antala Abubakar,Nigeria,Forward,06/01/2000
Jens Berthel Askou,Denmark,Defender,19/08/1982
Jonathan Bagger,Denmark,Midfielder,10/05/2000
Michael Baidoo,Ghana,Midfielder,14/05/1999
Victor Bak Jensen,Denmark,Defender,03/10/2003
Christoffer Bergmann,Denmark,Midfielder,02/01/2001
Hosine Bility,Australia,Defender,10/05/2001
Oskar Bloch,Denmark,Defender,20/10/2000
Jesper BÃ¸ge,Denmark,Defender,22/02/1990
Erik Braun,Russia,Midfielder,08/02/1997
Sebastian Broder Nielsen,Denmark,Defender,08/03/1999
Sebastian Buch,Denmark,Forward,28/01/1999
Erik Burai,Hungary,Midfielder,14/02/2001
Jens Cajuste,Sweden,Midfielder,10/08/1999
Mads Carlson,Denmark,Forward,09/01/1999
Frederik Christensen,Denmark,Midfielder,07/06/2002
Nicolai DamkjÃ¦r,Denmark,Defender,02/04/1999
Tobias Damtoft,Denmark,Forward,11/01/2002
Victor Dawa,Nigeria,Midfielder,26/01/2000
Danijel Djuric,Iceland,Forward,05/01/2003
Nikola Djuric,Iceland,Forward,13/01/2001
Mikkel Duelund,Denmark,Forward,29/06/1997
Nikolas Dyhr,Denmark,Midfielder,18/06/2001
Aziz Essaisi,Sweden,Forward,29/05/1998
Zackarias Faour,Sweden,Forward,30/01/1998
Mikkel Fischer,Denmark,Midfielder,23/03/2004
Viktor Fischer,Denmark,Forward,09/06/1994
Jens Fjendsbo,Denmark,Defender,24/04/2002
Oscar Fraulo,Denmark,Midfielder,06/12/2003
Mads Friis,Denmark,Defender,13/07/1998
Jonas Gemmer,Denmark,Midfielder,31/01/1996
Lukas Giessing,Faroe Islands,Defender,09/05/2000
Anders HagelskjÃ¦r,Denmark,Defender,16/02/1997
Vito HammershÃ¸y-Mistrati,Denmark,Midfielder,15/06/1992
Pyry Hannola,Finland,Midfielder,21/10/2001
Andreas Hansen,Denmark,Midfielder,31/05/2003
Mads Hansen,Denmark,Forward,28/07/2002
Lasse Heinze,Denmark,Goalkeeper,03/04/1986
Frederik Heiselberg,Denmark,Forward,11/02/2003
Sylvester Igboun,Nigeria,Forward,08/09/1990
Gustav Isaksen,Denmark,Forward,19/04/2001
Samson Iyede,Nigeria,Forward,28/01/1998
Mikkel Jakobsen,Denmark,Forward,23/05/1999
Oskari Jakonen,Finland,Forward,22/04/1997
Frederik Jensen,Denmark,Goalkeeper,01/03/2004
Oliver Jeppe,Denmark,Defender,07/01/2003
Rasmus Johansen,Denmark,Midfielder,23/04/1997
Niklas John Jensen,Denmark,Goalkeeper,18/10/2001
Malte JÃ¼rgensen,Denmark,Defender,16/07/1998
Kaan Kairinen,Finland,Midfielder,22/12/1998
Anders Kaiser,Denmark,Midfielder,22/02/2002
Nikolaj Kirk,Denmark,Midfielder,19/03/1998
Mads Kirkegaard Sandsberg,Denmark,Defender,06/06/2003
Gustav Kjeldsen,Denmark,Defender,03/07/1999
Mikkel Kristensen,Denmark,Midfielder,27/02/2002
Rasmus Kristensen,Denmark,Defender,11/07/1997
Rasmus Kristiansen,Denmark,Midfielder,12/06/2004
Japhet Larsen,Denmark,Defender,10/04/2000
Jesper Lauridsen,Denmark,Defender,27/03/1991
Rasmus Lauritsen,Denmark,Defender,27/02/1996
Sebastian Lodahl,Denmark,Midfielder,25/09/1998
Kristoffer Lund,Denmark,Defender,14/05/2002
Mads Madsen,Denmark,Midfielder,26/05/1994
Nicolas Madsen,Denmark,Midfielder,17/03/2000
Simon Madsen,Denmark,Defender,20/02/2002
Antonis Martis,Australia,Midfielder,08/09/2000
Enock Mawete Mwimba,Norway,Goalkeeper,07/02/2000
Christopher MÃ¸ller,Denmark,Goalkeeper,04/04/2003
Alexander Munksgaard,Denmark,Defender,13/12/1997
Andreas Murbeck,Sweden,Defender,01/05/1998
Sonni Nattestad,Faroe Islands,Defender,05/08/1994
John Ndjate,Congo DR,Defender,11/04/2002
Rasmus Nicolaisen,Denmark,Defender,16/03/1997
Mathias Nors,Denmark,Defender,10/04/1999
Raphael Nwadike,Denmark,Midfielder,19/04/2001
Sunday Oche Odeh,Nigeria,Midfielder,19/01/2000
Michael Ogungbaro,Nigeria,Midfielder,10/07/1996
