Name,Country,Position,Born
Florian Abel,Germany,Midfielder,14/08/1989
SÃ¶ren Ahlers,Germany,Goalkeeper,09/09/1997
Tuncay Aksoy,Turkey,Forward,01/06/1979
Ralf Albarus,Germany,Defender,25/12/1965
Werner Albrecht,Germany,Forward,30/03/1953
Yannick Albrecht,Germany,Forward,17/02/1995
Thorsten Albustin,Germany,Goalkeeper,04/01/1974
Alexandros Armen,Greece,Forward,05/05/1994
Ludwig-Kofo Asenso,Germany,Defender,20/12/1987
Markus auf der Heiden,Germany,Goalkeeper,13/11/1972
Ralf Augustin,Germany,Forward,27/09/1960
Tommy Bachmann,Germany,Midfielder,
AndrÃ© Badur,Germany,Midfielder,15/07/1976
Lukas Banas,Germany,Forward,01/09/1983
Andre Barth,Germany,Goalkeeper,25/03/1988
Yilmaz Bayram,Turkey,Defender,07/09/1977
Marc Beckert,Germany,Defender,23/08/1991
Daniel Beine,Germany,Forward,22/10/1987
Souhail Belkassem,Netherlands,Forward,18/01/1996
BjÃ¶rn Bennies,Germany,Midfielder,23/03/1981
Julian Berg,Germany,Defender,20/01/1988
AndrÃ© Bertelsbeck,Germany,Defender,03/12/1971
Luis Blaswich,Germany,Defender,29/06/1998
Andreas Blaumann,Germany,Midfielder,14/01/1969
Lars Bleker,Germany,Midfielder,28/06/1994
AndrÃ© Bley,Germany,Goalkeeper,14/12/1991
Justin Bock,Germany,Defender,26/02/1996
Manfred Bockenfeld,Germany,Defender,23/07/1960
Steffen Boer,Germany,Goalkeeper,11/12/1991
Michael BÃ¶hnke,Germany,Forward,13/12/1959
Taric Boland,Germany,Midfielder,
Michael Borzek,Germany,Midfielder,04/08/1980
Yassine Bouchama,Morocco,Forward,28/05/1997
El Houcine Bougjdi,Germany,Midfielder,19/11/1985
Andre Bugla,Germany,Forward,19/07/1994
Ralf Bugla,Germany,Forward,13/02/1962
Helmut Buhsfeld,Germany,Midfielder,17/03/1951
Nick Buijl,Netherlands,Midfielder,27/06/1995
Gerhard Busch,Germany,Defender,07/09/1957
Stefan BuÃhoff,Germany,Forward,19/08/1976
Giuseppe Canale,Belgium,Midfielder,17/03/1977
Robert Cirjak,Canada,Forward,24/05/1969
Barkin CÃ¶mert,Germany,Defender,02/06/1994
Arman ÄoroviÄ,Bosnia-Herzegovina,Defender,01/05/1997
Tobias Czesnik,Germany,Midfielder,20/04/1985
de Voss,Germany,Goalkeeper,
Horst-Franz Degen,Germany,Midfielder,07/11/1954
Milan Dehnen,Germany,Midfielder,02/12/1988
Marius Delker,Germany,Goalkeeper,22/05/1993
Necati Demir,Turkey,Midfielder,21/08/1969
Lars Demming,Germany,Goalkeeper,06/09/1983
Rishi Desai,USA,Defender,19/01/1993
Lennart Dillhage,Germany,Goalkeeper,
El Hadji Dione,Senegal,Defender,25/03/1973
Philipp Divis,Germany,Defender,22/12/1998
Norbert DÃ¶rmann,Germany,Defender,31/08/1958
Romas Dressler,Germany,Forward,16/10/1987
Dieter DrÃ¶ge,Germany,Defender,12/06/1968
Ali El-Abbas,Germany,Midfielder,21/05/1988
Tim Elsinghorst,Germany,Forward,25/04/1986
Friedel Elting,Germany,Midfielder,12/12/1936
Niklas Enck,Germany,Defender,08/09/1993
Sandy Enge,Germany,Defender,30/06/1971
Alpay Erdem,Turkey,Midfielder,19/07/1997
Rolf Essing,Germany,Midfielder,23/07/1967
Sebastian Eul,Germany,Defender,18/01/1985
Maurice Exslager,Germany,Forward,12/02/1991
Dieter Ferner,Germany,Goalkeeper,16/01/1949
Wolfgang Figura,Germany,Forward,15/07/1952
Roland Filipovic,Germany,Midfielder,02/12/1983
Patrick Fini,Netherlands,Defender,23/05/1996
AndrÃ© FlÃ¼r,Germany,Midfielder,25/09/1967
Wolfgang Franke,Germany,Midfielder,24/05/1954
Helmut Frantzen,Germany,Midfielder,04/12/1959
Johannes FrÃ¶bus,Germany,Goalkeeper,21/12/1941
Claus Gebauer,Germany,Defender,15/09/1960
Peter Geisler,Germany,Midfielder,12/05/1948
Daud Gergery,Germany,Forward,05/07/1997
Daniel Giesbers,Germany,Midfielder,02/11/1987
Timo Giese,Germany,Defender,27/11/1993
Ãlvaro Gil,Spain,Defender,23/02/1995
Yannis Glouhtchev,Germany,Midfielder,21/05/1999
Dominik GÃ¶bel,Germany,Forward,12/10/1996
Hannes GÃ¶ring,Germany,Defender,12/09/2000
Philipp Goris,Germany,Forward,10/09/1994
Granzow,Germany,Defender,
Ulrich Granzow,Germany,Goalkeeper,28/04/1952
Guillano Grot,Netherlands,Forward,15/03/1983
Vincent GrÃ¼tter,Germany,Defender,08/01/1982
Maximilian GÃ¼ll,Germany,Defender,05/01/1995
Christian Gurny,Germany,Midfielder,05/06/1993
Martin Guzik,Czech Republic,Midfielder,07/04/1974
Jan-Niklas Haffke,Germany,Midfielder,14/03/1995
Florian Hahm,Germany,Defender,21/04/1991
Emil HamÃ¡r,Slovakia,Midfielder,20/03/1970
