Name,Country,Position,Born
Mohammed Abdulai,Ghana,Forward,04/12/1980
Florian Abel,Germany,Midfielder,14/08/1989
Stanley Aborah,Ghana,Midfielder,25/08/1969
Timo Achenbach,Germany,Defender,03/09/1982
Thomas Adler,Germany,Forward,23/01/1965
Baldur AÃ°alsteinsson,Iceland,Forward,12/02/1980
Jonas Agen,Germany,Goalkeeper,16/11/1984
Stefan Aigner,Germany,Forward,20/08/1987
Ailton,Brazil,Forward,19/07/1973
Erkan Akan,Turkey,Midfielder,07/11/1986
Zafer Akan,Germany,Midfielder,28/10/1982
Burak AkarÃ§a,Turkey,Defender,05/11/1991
GÃ¶khan Aktas,Germany,Midfielder,16/02/1991
Erhan Albayrak,Turkey,Midfielder,05/04/1977
Christian Alder,Germany,Defender,03/09/1978
Ioannis Alexiou,Greece,Defender,08/12/1984
Tim Allpress,England,Defender,27/01/1971
Federico Amione,Argentina,Forward,03/08/1984
Ahmed Ammi,Morocco,Defender,19/01/1981
Sascha AmstÃ¤tter,Germany,Midfielder,08/11/1977
Valandi Anagnostou,Greece,Midfielder,15/08/1975
Darko Anic,Croatia,Forward,28/07/1992
Andreas Asche,Germany,Goalkeeper,01/02/1960
Ibrahim Atay,Germany,Goalkeeper,05/02/1987
Seyhmus Atug,Turkey,Defender,22/11/1992
Aliosman Aydin,Germany,Forward,06/02/1992
Freddy Azanledji,Germany,Midfielder,
Philipp Bachmeier,Germany,Goalkeeper,26/04/1999
Alexander Bade,Germany,Goalkeeper,25/08/1970
Mario BÃ¤ger,Germany,Goalkeeper,25/06/1964
Michal BalÃ¡Å¾,Slovakia,Goalkeeper,28/08/1970
Sercan Baloglu,Germany,Midfielder,13/01/1987
Benjamin Baltes,Germany,Midfielder,30/03/1984
Regjep Banushi,,Forward,01/07/1981
Wilhelm Barowski,Germany,Midfielder,02/08/1954
Boubacar Barry,Germany,Midfielder,15/04/1996
Jan Bartram,Denmark,Midfielder,06/03/1962
Klaus Basten,Germany,Forward,01/10/1963
Michael Baum,Germany,Defender,20/10/1980
Markus Bayertz,Germany,Midfielder,29/01/1971
Maximilian Beister,Germany,Forward,06/09/1990
Saber Ben Neticha,Tunisia,Forward,03/01/1976
Igor Bendovskyi,Ukraine,Midfielder,06/10/1981
Robin Benz,Germany,Goalkeeper,07/11/1995
Dominik Besser,Germany,Midfielder,19/11/1982
Artyom Bezrodny,Russia,Midfielder,10/02/1979
Oliver Bierhoff,Germany,Forward,01/05/1968
Leon Binder,Germany,Defender,24/03/1987
GÃ¼nter Bittengel,Czech Republic,Forward,14/07/1966
Alexander Bittroff,Germany,Defender,19/09/1988
Kennedy Boboye,Nigeria,Forward,01/01/1974
Tom Boere,Netherlands,Forward,24/11/1992
Ibrahim Bolu,Germany,Goalkeeper,22/01/1975
Rudi Bommer,Germany,Midfielder,19/08/1957
Christian BÃ¶rkel,Germany,Goalkeeper,15/04/1981
El Houcine Bougjdi,Germany,Midfielder,19/11/1985
Mile BoÅ¾iÄ,Croatia,Defender,06/11/1981
Erwin Bradasch,Germany,Midfielder,08/01/1981
Klaus Brand,Germany,Midfielder,17/04/1955
Dirk Bremser,Germany,Midfielder,01/10/1965
