Name,Country,Position,Born
Daniele Addolori,Italy,Defender,21/03/2000
Daniel Adejo,Nigeria,Defender,07/08/1989
Grasjan AliÃ¹,Albania,Forward,05/11/1989
Andrea Beghetto,Italy,Midfielder,11/10/1994
Andrea Bergamo,Italy,Midfielder,23/10/1964
Riccardo Busatto,Italy,Defender,10/08/1993
Emanuele Busetto,Italy,Midfielder,03/02/1992
Carlo Caporali,Italy,Midfielder,27/04/1994
Othman Chajari,Italy,Midfielder,25/11/1999
Jose Colman,Paraguay,Defender,10/11/1985
Matar DiÃ¨ye,Senegal,Forward,10/01/1998
Vincenzo Ferrara,Italy,Forward,29/06/1993
Alessandro Ferronato,Italy,Midfielder,24/03/1973
Damien Florian,Italy,Forward,03/01/1987
Filippo Fracaro,Italy,Forward,11/03/1992
Gianluca Franciosi,Italy,Midfielder,10/01/1991
Szymon Fyda,Poland,Forward,31/03/1996
Guerrino Gasparello,Italy,Forward,11/05/1979
Andrea Gusella,Italy,Midfielder,05/10/1990
Kevin Lasagna,Italy,Forward,10/08/1992
Tommaso Lelj,Italy,Defender,06/04/1985
Luis Maldonado,Ecuador,Midfielder,15/05/1996
Davide Marcandella,Italy,Forward,21/03/1997
Pietro Maronilli,Italy,Defender,07/05/1998
Ferdinando Mastroianni,Italy,Forward,21/03/1992
Gianluca Meneghello,Italy,Defender,06/11/1992
Andrea Munaretto,Italy,Defender,04/03/1992
Nicola Panebianco,Italy,Defender,06/06/1998
Giacomo Poluzzi,Italy,Goalkeeper,25/02/1988
Lauro Pomaro,Italy,Defender,27/11/1946
Stefano Pozza,Italy,Midfielder,06/08/1987
Alberto Rubbo,Italy,Midfielder,09/02/1989
Dario Sottovia,Italy,Forward,03/11/1989
Francesco Tiozzo,Italy,Defender,18/03/1996
TulhÃ£o,Brazil,Defender,22/05/1995
Mattia Turetta,Italy,Midfielder,26/02/1984
Nicolas Zane,Italy,Midfielder,21/09/1990
