Name,Country,Position,Born
Guy Abend,Israel,Midfielder,08/11/1990
Yaniv Abergil,Israel,Forward,16/08/1977
Dan Abutbul,Israel,Forward,08/01/1998
Yahav Afriat,Israel,Forward,25/01/1997
Oz Aharon,Israel,Midfielder,30/12/1999
Eitan Aharoni,Israel,Defender,21/12/1962
Ben Algrabli,Israel,Midfielder,08/04/1994
Eyal Almoshnino,Israel,Midfielder,10/04/1976
Giorgi Anchabadze,Georgia,Midfielder,04/01/1974
Daniel Askling,Sweden,Defender,04/01/1990
Sodiq Atanda,Nigeria,Defender,26/08/1993
Avi Avino,Israel,Forward,27/08/1983
Tal Ayala,Israel,Midfielder,25/05/1989
Yakubu Ayegbeni,Nigeria,Forward,22/11/1982
Dan Azaria,Israel,Midfielder,29/08/1995
Nati Azaria,Israel,Forward,31/05/1967
Yair Azoulay,Israel,Defender,09/12/1977
Ben Azubel,Israel,Forward,19/09/1993
Shlomi Azulay,Israel,Midfielder,18/10/1989
Guy Badash,Israel,Forward,24/05/1994
Yigal Bakar,Israel,Goalkeeper,09/09/1999
George Baysah,Liberia,Defender,01/03/1986
Dedi Ben Dayan,Israel,Defender,27/11/1978
Shlomi Ben-Hamo,Israel,Goalkeeper,05/12/1978
Tal Benesh,Israel,Defender,26/10/1989
Tal Benesh,Israel,Defender,
Evgeni Berkman,Israel,Defender,29/09/1991
Amos Berter,Israel,Midfielder,20/11/1957
Dudu Biton,Israel,Forward,01/03/1988
Manuel BÃ¶lstler,Germany,Midfielder,26/04/1983
Valeriy Broshin,Russia,Midfielder,19/10/1962
Sahar Brown,Israel,Midfielder,06/10/1994
Bruno Andrade,Brazil,Forward,02/03/1989
Carlos Chacana,Argentina,Forward,23/06/1976
Ben Chayoun,Israel,Midfielder,08/11/2000
Avraham Chekol,Israel,Defender,26/01/1992
Itzhak Cohen,Israel,Defender,22/04/1983
Lev Cohen,Israel,Defender,20/06/1996
Ohad Cohen,Israel,Goalkeeper,10/06/1975
Raz Cohen,Israel,Forward,10/03/1990
Raz Cohen,Israel,Midfielder,11/11/1994
JÃ³zsef CsÃ¡bi,Hungary,Defender,14/02/1967
Hen Dalmoni,Israel,Defender,07/05/1989
Georgi Daraselia,Israel,Midfielder,17/09/1968
Idan David,Israel,Midfielder,21/05/1987
Guy Dayan,Israel,Midfielder,20/08/1986
Enes DemiroviÄ,Bosnia-Herzegovina,Midfielder,13/06/1972
Diogo Kachuba,Brazil,Midfielder,16/02/1990
Patrick Doeplah,Liberia,Forward,27/10/1990
Gizzie Dorbor,Liberia,Midfielder,28/02/1987
Douglas Silva,Brazil,Defender,07/03/1984
Sagi Dror,Israel,Midfielder,07/08/1995
Rami Duani,Israel,Midfielder,24/05/1987
Dariusz DÅºwigaÅa,Poland,Midfielder,22/03/1969
Kfir Edri,Israel,Midfielder,12/10/1976
Noah Einstein,Israel,Defender,24/11/1952
Eli Elbaz,Israel,Forward,21/01/1992
Tomer Eliyahu,Israel,Defender,25/02/1975
Sami Elyakim,Israel,Defender,30/03/1987
Hen Ezra,Israel,Midfielder,19/01/1989
Omer Fadida,Israel,Forward,17/07/1990
Israel Fogel,Israel,Forward,02/04/1949
Noam Gamoun,Israel,Defender,08/03/1997
Kobi Ganon,Israel,Defender,17/05/1976
JosÃ© Garay,Argentina,Midfielder,02/01/1980
Oscar GarrÃ©,Argentina,Defender,09/12/1956
Tariko Getahon,Israel,Midfielder,01/01/1995
Boni Ginzburg,Israel,Goalkeeper,12/12/1964
Guy Hadida,Israel,Midfielder,23/07/1995
Guy Haimov,Israel,Goalkeeper,09/03/1986
Alon Halfon,Israel,Defender,02/07/1973
Ferdino Hernandez,CuraÃ§ao,Forward,27/05/1971
Hugo LÃ³pez,Spain,Forward,15/05/1988
Itamar Israeli,Israel,Goalkeeper,22/03/1992
Guillermo Israilevich,Argentina,Midfielder,10/09/1982
Ran Itzchak,Israel,Forward,09/10/1987
Yuval Jakobovich,Israel,Midfielder,09/11/1992
Liran Jan,Israel,Defender,11/03/1993
JosÃ©,Brazil,Forward,06/07/1980
Bogdan JÃ³Åºwiak,Poland,Midfielder,17/07/1970
Mohamad Kabahaa,Israel,Defender,01/08/1976
Ran Kadoch,Israel,Goalkeeper,04/10/1985
Moti Kakoon,Israel,Forward,16/11/1972
Yochai Kariv,Israel,Forward,22/07/1997
Dror Kashtan,Israel,Midfielder,01/10/1944
Gil Keane,Israel,Defender,05/03/1988
Lanre Kehinde,Nigeria,Forward,07/05/1994
Nikita Khaikin,Russia,Goalkeeper,11/07/1995
Ayman Kharbat,Palestine,Midfielder,02/01/1993
Ben Khawaz,Israel,Defender,19/07/1991
Luwagga Kizito,Uganda,Forward,20/12/1993
Boris Kleiman,Israel,Goalkeeper,26/10/1990
Avi Knafo,Israel,Forward,04/08/1982
Gershon Koffie,Ghana,Midfielder,25/08/1991
LÃ¡szlÃ³ KomÃ³di,Hungary,Midfielder,07/10/1970
Benjamin Kuku,Nigeria,Forward,08/03/1995
Ben Lavie,Israel,Midfielder,11/04/1999
Lior Levi,Israel,Defender,26/10/1987
Oshri Levi,Israel,Goalkeeper,05/01/1974
Ohad Levita,Israel,Goalkeeper,17/02/1986
Tomer Levy,Israel,Defender,25/05/1993
Lira,Brazil,Defender,25/04/1983
Andriy Lozovskiy,Ukraine,Defender,23/04/1973
Ben Luz,Israel,Midfielder,18/02/1978
Tal Machlof,Israel,Defender,31/08/1991
Uri Malmilian,Israel,Midfielder,24/04/1957
Christopher Mandiangu,Germany,Forward,08/02/1992
Omir Mansour,Israel,Defender,05/10/1999
GÃ¡bor MÃ¡rton,Hungary,Midfielder,15/10/1966
DuÅ¡an MatoviÄ,Serbia,Defender,08/07/1983
Shalev Menashe,Israel,Midfielder,23/05/1982
Eyal Meshumar,Israel,Defender,10/08/1983
Rif Mesika,Israel,Midfielder,15/06/1989
Mario MeÅ¡troviÄ,Croatia,Midfielder,22/05/1970
Branko MihajloviÄ,Serbia,Midfielder,20/02/1991
Roberto Milar,Uruguay,Forward,06/04/1974
Sharon Mimer,Israel,Midfielder,06/09/1973
Snir Mishan,Israel,Defender,13/11/1988
Ben Mizan,Israel,Midfielder,19/02/1995
Alon Mizrahi,Israel,Forward,22/11/1971
Yaniv Mizrahi,Israel,Goalkeeper,11/02/1978
Roberto Mogrovejo,Argentina,Forward,19/06/1972
Yuriy Moroz,Ukraine,Defender,08/09/1970
Valentin Moskvin,Ukraine,Forward,04/05/1968
Kobi Moyal,Israel,Midfielder,12/06/1987
Oren Nissim,Israel,Forward,04/11/1976
Iair Nossovski,Israel,Goalkeeper,29/06/1937
Amir Nussbaum,Israel,Defender,09/10/1980
Sunny Omoregie,Nigeria,Forward,02/01/1989
Giannis Papadopoulos,Greece,Midfielder,09/03/1989
Emmanuel Pappoe,Ghana,Defender,03/03/1981
Maor Peretz,Israel,Defender,18/11/1983
Gal Porat,Israel,Defender,26/05/1990
Radosav Radulovic,Sweden,Midfielder,19/11/1972
Ben Rahav,Israel,Goalkeeper,29/04/1989
Kevin Rainstein,Israel,Midfielder,22/02/1991
Zoran RajoviÄ,Serbia,Forward,28/10/1979
Kobi Refua,Israel,Forward,03/09/1974
Ben Reichert,Israel,Midfielder,04/03/1994
Roy Ronen,Israel,Forward,17/01/1998
Ami Rosenberg,Israel,Goalkeeper,08/02/1976
Niran Rotstein,Israel,Defender,14/06/1993
Dani Rozenblit,Israel,Midfielder,26/09/1998
Noah Sadaoui,USA,Forward,14/09/1992
Eliran Saimon,Israel,Midfielder,02/09/1988
Maoz Samia,Israel,Midfielder,14/12/1987
Emmanuel Scheffer,Israel,Defender,01/02/1924
Edmond Schmilovich,Israel,Midfielder,02/12/1921
Darvydas Å ernas,Lithuania,Forward,22/07/1984
Eran Shainzinger,Israel,Goalkeeper,03/12/1976
Tom Shelach,Israel,Defender,10/07/1996
Eyal Shen,Israel,Midfielder,29/01/1980
Ori Shitrit,Israel,Defender,21/01/1986
Yoel Shoham,Israel,Goalkeeper,
Idan Shum,Israel,Midfielder,26/03/1976
Itzhak Shum,Israel,Midfielder,01/09/1948
Haim Silvas,Israel,Midfielder,21/11/1975
Eliran Simon,Israel,Midfielder,
Slobodan SimoviÄ,Serbia,Midfielder,22/05/1989
Maksim Skavysh,Belarus,Forward,13/11/1989
Dino Å kvorc,Croatia,Defender,02/02/1990
Shaul Smadja,Israel,Goalkeeper,02/10/1972
Aviv Solomon,Israel,Defender,10/01/1995
JÃ³zsef Somogyi,Hungary,Midfielder,23/04/1968
SlaviÅ¡a StojanoviÄ,Serbia,Midfielder,27/01/1989
Sagi Strauss,Israel,Goalkeeper,29/06/1976
Beni Tabak,Israel,Forward,07/06/1956
Ofer Talker,Israel,Defender,22/04/1973
Omer Tchalisher,Israel,Defender,22/01/1993
Mavis Tchibota,Congo,Forward,07/05/1996
Senad Tiganj,Slovenia,Forward,28/08/1975
Avraham Tikva,Israel,Midfielder,28/06/1976
Valentin Todorica,Israel,Defender,26/01/1981
Boubacar TraorÃ¨,Senegal,Forward,26/07/1997
Asi Tubi,Israel,Forward,27/01/1972
Adrian Ungur,Romania,Forward,13/12/1971
Ori Uzan,Israel,Defender,27/12/1978
Egidijus Varnas,Lithuania,Forward,31/07/1975
RichÃ¡rd Vernes,Hungary,Midfielder,24/02/1992
