Name,Country,Position,Born
Reda Abdullah,Denmark,Midfielder,
Rafeh Ahmed,Denmark,Midfielder,
Mohammed Al-Sharifi,Denmark,Midfielder,
Taha Ameri,Denmark,Midfielder,
Benjamin Andersen,Denmark,Goalkeeper,
Thomas Andersen,Denmark,Midfielder,
Amir Arnautovic,Denmark,Midfielder,
Oskar Bagge,Denmark,Midfielder,20/09/2002
Alexander Bah,Denmark,Forward,09/12/1997
Marius Bang Larsen,Denmark,Midfielder,
Frederik Berg,Denmark,Midfielder,
Joachim Berg,Denmark,Midfielder,
Mathias Berthelsen,Denmark,Midfielder,
Karl Birktoft,Denmark,Midfielder,
Frederik Bolander,Denmark,Midfielder,
Oliver Bom Gaarn,Denmark,Midfielder,
Tobias Borgen Lindhardt,Denmark,Midfielder,
Andreas Borregaard Nielsen,Denmark,Midfielder,
AsbjÃ¸rn Brinck Larsen,Denmark,,
Kasper Brogaard,Denmark,Midfielder,
Theis Bugge,Denmark,Midfielder,
Rinor Cocaj,Denmark,Forward,
Malthe de Claville Berthelsen,Denmark,Midfielder,
Levi Didia,Denmark,Midfielder,
Lasse EglÃ¸kke Petersen,Denmark,Goalkeeper,
Aiman El Aina,Denmark,Midfielder,
Abed El Derbas,Denmark,Midfielder,
Nikolay Ellegaard,Denmark,Midfielder,
Espoir Elocho,Denmark,,
Mads Eriksen,Denmark,Midfielder,
Mikkel Faurskov,Denmark,Midfielder,
Joe Fohlmann,Denmark,Midfielder,
Tobias Fonnesgaard Christophersen,Denmark,Midfielder,
Magnus From,Denmark,Midfielder,
Nicklas Frost Hansen,Denmark,Midfielder,
Victor Groth,Denmark,Midfielder,
Frederik Hansen,Denmark,Midfielder,
Lucas Hansen,Denmark,Midfielder,
Mathias Hansen,Denmark,Midfielder,
Zlatan Henic,Denmark,Midfielder,24/03/2001
Andreas Hermansen,Denmark,,
Mads Hermansen,Denmark,Goalkeeper,11/07/2000
Frederick Holmsgaard Andersen,Denmark,Midfielder,
Charly Horneman,Denmark,Midfielder,
Frederik Humlegaard,Denmark,Midfielder,06/10/1997
Kalle Hvidtfeld,Denmark,Midfielder,
Albert Ingeman Antabi,Denmark,Midfielder,
Frederik Jensen,Denmark,Midfielder,
Rasmus Knudsen,Denmark,Defender,
Sofus Kristensen,Denmark,Midfielder,
Simon Krogh JÃ¸rgensen,Denmark,Midfielder,
Mikkel Ladefoged,Denmark,Midfielder,
Oscar Ladegaard Pasfall,Denmark,Midfielder,
Emil Larsen,Denmark,Goalkeeper,
Mathias Larsen,Denmark,Midfielder,
Tore Linnet,Denmark,Midfielder,
Johannes Lund,Denmark,Midfielder,
Victor Lund,Denmark,Midfielder,
Kasper Lund Hansen,Denmark,Midfielder,
Jonas Lund SÃ¸derholm,Denmark,Midfielder,
Rasmus Lund-Larsen,Denmark,Midfielder,
Anton Madsen,Denmark,Midfielder,
Oliver Madsen,Denmark,Midfielder,
Johan Martinussen,Denmark,Midfielder,
Rasmus Meyer Hansen,Denmark,Midfielder,
Arvin Moghadam,Denmark,Midfielder,
Mostafa Mohamed,Denmark,Midfielder,
Victor MÃ¸ller,Denmark,Midfielder,
Charly Ngos Nouck Horneman,Denmark,,
Jonas Nielsen,Denmark,Midfielder,
Andreas NÃ¸rgaard Pedersen,Denmark,Midfielder,
Lucas NÃ¸rregaard Schwartz,Denmark,Midfielder,
Ndoba Ntabola,Denmark,Midfielder,
Berat Oguz,Denmark,Midfielder,
Julius Ollerup,Denmark,Midfielder,
Oliver Olsson,Denmark,Midfielder,
Aldin Osmanovic,Denmark,Defender,
Patrick Ãstergreen,Denmark,Midfielder,
Remy Rasmussen,Denmark,Midfielder,
Thoger Rosenlund Ovens,Denmark,Midfielder,
Tobias Rudolfsen,Denmark,Midfielder,
Lucas Saenkham Rasmussen,Denmark,Midfielder,
Bertram Schlosser,Denmark,Midfielder,
Adam Schmidt,Denmark,Midfielder,
Peter Schmidt Knudsen,Denmark,Midfielder,
Carl-Emil SchÃ¸sler,Denmark,Midfielder,
Sune Serup Hansen,Denmark,Midfielder,
Oliver Simonsen,Denmark,Midfielder,
Oliver SkÃ¸tt,Denmark,Midfielder,
Oliver Smith-Janslev,Denmark,Midfielder,
Nasim Soleiman,Denmark,Midfielder,
Frederik SÃ¸rensen,Denmark,Midfielder,
Pelle Stage,Denmark,Midfielder,
Mikkel Stangerup,Denmark,Midfielder,
Simon Stendahl Johansen,Denmark,Midfielder,
Louis Sterobo,Denmark,Defender,
Mads Stistrup Petersen,Denmark,Midfielder,
Matias Tomaselli,Denmark,Midfielder,
Lukas Vittrup,Denmark,Midfielder,
Benjamin Zeeberg,Denmark,Midfielder,
