Name,Country,Position,Born
Asger Ammundsen,Denmark,Forward,10/02/2001
Esben Andreasen,Denmark,Defender,11/04/1999
Sebastian Avanzini,Italy,Defender,01/04/1995
Jonathan Ãgidius,Denmark,Goalkeeper,22/04/2002
Marcus Backmann,Denmark,Defender,05/01/1998
Tobias Bak,Denmark,Forward,30/01/2001
Bror Blume,Denmark,Midfielder,22/01/1992
Emil Bodholdt-Larsen,Denmark,Defender,15/02/1999
Casper BorÃ¸d,Denmark,Defender,05/03/2000
Jacob Bruun Larsen,Denmark,Forward,19/09/1998
Mads Carlson,Denmark,Forward,09/01/1999
Marius Christiansen,Denmark,Midfielder,22/05/2000
Waldemar Clem,Denmark,Midfielder,21/07/1999
Hjalte Dalsgaard,Denmark,Goalkeeper,
Willads Delvin,Denmark,Midfielder,02/05/2001
Soufian Dhaflaoui,Tunisia,Forward,
Karim El Haddouch,Denmark,Midfielder,08/02/2000
Jonas ElkjÃ¦r,Denmark,Goalkeeper,05/06/1997
Buster Ellemand,Denmark,Midfielder,08/04/1999
Mohammed Fazal,Denmark,Midfielder,29/05/2002
Lukas Fernandes,Denmark,Goalkeeper,01/03/1993
Oliver Funch,Denmark,Goalkeeper,08/03/2001
Rasmus Gaudin,Denmark,Midfielder,19/08/1995
Miljan Guberinic,Denmark,Defender,02/06/2000
Tobias Gundel,Denmark,Goalkeeper,
Frederik GytkjÃ¦r,Denmark,Midfielder,16/03/1993
Julius Hamburger-Toft,Denmark,Midfielder,
Lucas Hey,Denmark,Midfielder,
Thor HÃ¸holt,Denmark,Defender,22/02/2001
Mads HÃ¸jlund,Denmark,Midfielder,26/07/2001
Alexander Jensen,Denmark,Goalkeeper,08/04/2000
Jakob Jensen,Denmark,Midfielder,24/01/2001
Thomas Juel-Nielsen,Denmark,Defender,18/06/1990
Waldemar Kattrup,Denmark,Midfielder,24/05/2002
Oliver KjÃ¦rgaard,Denmark,Midfielder,11/07/1998
Emil Kornvig,Denmark,Forward,28/04/2000
Thomas Kristensen,Denmark,Midfielder,17/04/1983
Mads-Emil Langberg,Denmark,Defender,
Victor Laub,Denmark,Defender,
Kasper Lillie,Denmark,Defender,21/04/2000
Frederik Lindberg,Denmark,Forward,
Marcus Lindberg,Denmark,Forward,27/06/2000
Nikolaj Madsen,Denmark,Midfielder,
Gustav Marcussen,Denmark,Midfielder,12/06/1998
Emre Mor,Turkey,Forward,24/07/1997
Christian NÃ¸rgaard,Denmark,Midfielder,10/03/1994
Jens Odgaard,Denmark,Forward,31/03/1999
Nicholas Oguma,Denmark,Forward,10/02/2000
Sebastian PalsbÃ¸ll,Denmark,Defender,15/06/2000
Filip Panjeskovic,Denmark,Defender,16/01/2003
Rasmus Pasternak,Denmark,Forward,01/09/2000
Simon Pedersen,Denmark,Forward,10/04/1999
Alexander PetrÃ¦us,Denmark,Forward,
Tobias Procter,Denmark,Midfielder,
Mikkel RÃ¸nnebÃ¦k,Denmark,Goalkeeper,
Devrim Sahin,Denmark,Midfielder,06/04/1999
Christoffer Saietz,Denmark,Defender,16/02/2001
Lauge Sandgrav,Denmark,Midfielder,16/09/2004
Sebastian Segall,Denmark,Forward,01/11/2000
Lukas Sevel,Denmark,Midfielder,
Emilio Simonsen,Denmark,Midfielder,31/10/1999
Oskar Snorre,Denmark,Goalkeeper,26/01/1999
Daniel Soidik,Denmark,Defender,18/01/2000
Adam SÃ¸rensen,Denmark,Defender,11/11/2000
Oliver Sylvest HÃ¸eg,Denmark,Midfielder,14/02/2004
ErtuÄrul TekÅen,Turkey,Forward,25/04/2000
Oliver Thers,Denmark,Defender,24/01/2002
Michael TÃ¸rnes,Denmark,Goalkeeper,08/01/1986
Ahmad Traore,Denmark,Midfielder,07/03/2001
Ahmad Traore,Denmark,Forward,
Mathias Virkelyst-Andersen,Denmark,Forward,10/03/2000
Simon Vollesen,Denmark,Defender,26/01/1998
Emil Wass,Denmark,Midfielder,21/02/1999
Magnus Westergaard,Denmark,Midfielder,27/05/1998
Emil Willer,Denmark,Midfielder,28/09/2001
Casper Winther,Denmark,Midfielder,11/02/2003
Frederik Winther,Denmark,Defender,04/01/2001
