Name,Country,Position,Born
Gerson Acevedo,Chile,Midfielder,05/04/1988
Luis Acevedo,Chile,Midfielder,1944
Dino Agote,Chile,Forward,30/04/1996
Patricio Aguilera,Chile,Midfielder,25/10/1989
RubÃ©n Aguilera,Paraguay,Forward,26/01/1978
Marcos Aguirre,Argentina,Midfielder,30/03/1984
Francisco AlarcÃ³n,Chile,Defender,14/04/1988
Luis AlegrÃ­a,Chile,Defender,21/11/1980
Cristian Ãlvarez,Argentina,Midfielder,28/09/1992
Juan Amieva,Argentina,Forward,27/09/1988
Branco Ampuero,Chile,Defender,19/07/1993
Claudio Arancibia,Chile,Defender,02/01/1984
Eduardo Arancibia,Chile,Midfielder,20/07/1976
Angelo Araos,Chile,Midfielder,06/01/1997
NicolÃ¡s Araya,Chile,Goalkeeper,05/05/1999
Daniel Arismendi,Venezuela,Forward,04/07/1982
TomÃ¡s Astaburuaga,Chile,Defender,11/10/1996
Baltazar Astorga,Chile,Defender,16/06/1982
Pablo Aurrecochea,Uruguay,Goalkeeper,08/03/1981
AdriÃ¡n Balboa,Uruguay,Forward,19/01/1994
SebastiÃ¡n Ballesteros,Chile,Defender,14/11/2000
JosÃ© Bandez,Venezuela,Forward,10/10/1999
Rodrigo Barra,Chile,Defender,24/09/1975
Gonzalo Barriga,Chile,Midfielder,21/07/1984
Augusto Barrios,Chile,Midfielder,03/10/1991
RubÃ©n BascuÃ±Ã¡n,Chile,Midfielder,23/02/1982
Pablo Becker,Argentina,Forward,29/04/1992
Eduard Bello,Venezuela,Midfielder,20/08/1995
Richard BenÃ­tez,Paraguay,Defender,30/10/1981
Guillermo Beraza,Argentina,Midfielder,25/10/1975
Humberto Biazotti,Argentina,Forward,10/02/1970
George Biehl,Chile,Defender,24/09/1963
Ricardo Blanco,Argentina,Midfielder,20/06/1990
Marcos Bolados,Chile,Forward,28/02/1996
Mario BriceÃ±o,Chile,Forward,20/06/1996
Cristian Britez,Paraguay,Goalkeeper,25/09/1984
Jorge Broun,Argentina,Goalkeeper,26/05/1986
RenÃ© BugueÃ±o,Chile,Defender,02/10/1987
Yoel BurgueÃ±o,Uruguay,Forward,15/02/1988
Gabriel Caballero,Mexico,Midfielder,05/02/1971
Luis Cabrera,Chile,Midfielder,07/01/1994
CÃ©sar CÃ¡ceres CaÃ±ete,Paraguay,Midfielder,10/06/1977
Leonardo Canales,Chile,Goalkeeper,21/12/1963
CristiÃ¡n CanÃ­o,Chile,Forward,31/05/1981
Pedro Carrizo,Chile,Goalkeeper,09/07/1977
Bryan Carvallo,Chile,Midfielder,15/09/1996
Patricio CastaÃ±eda,Chile,Defender,02/02/1986
Carlos Castilla,Argentina,Forward,26/12/1979
Roberto Castillo,Chile,Forward,05/01/1984
Francisco Castro,Chile,Forward,04/09/1990
Hardy Cavero,Chile,Defender,31/05/1996
Flavio Ciampichetti,Argentina,Forward,07/03/1988
SebastiÃ¡n Cobelli,Argentina,Forward,20/01/1978
Marco Collao,Chile,Midfielder,11/04/1998
Rodrigo Contreras,Argentina,Forward,27/10/1995
Salvador Cordero,Chile,Defender,11/03/1996
Marco Cornez,Chile,Goalkeeper,15/10/1957
Pablo Corral,Chile,Midfielder,16/01/1992
Rodrigo Corrales,Chile,Midfielder,17/03/1978
AlÃ¡n CortÃ©s,Chile,Goalkeeper,20/12/1996
Nelson Cossio,Chile,Goalkeeper,14/06/1966
Mac Cozier,USA,Forward,23/10/1973
Walter Cubilla,Argentina,Forward,05/03/1989
