Name,Country,Position,Born
Beniamino Abate,Italy,Goalkeeper,10/04/1962
Giuseppe Abruzzese,Italy,Defender,17/05/1981
Emanuele Adamo,Italy,Forward,19/07/1998
Kolawole Agodirin,Nigeria,Forward,02/03/1983
Ivan Aiardi,Italy,Goalkeeper,16/01/1971
Akande Ajide,Nigeria,Midfielder,24/12/1985
Mario Alfieri,Italy,Midfielder,28/03/1973
Abass Alhassan,Ghana,Midfielder,21/01/1995
Giacinto Allegrini,Italy,Defender,04/09/1989
Carmine Amato,Italy,Goalkeeper,21/04/1965
Alessio Ambrogetti,Italy,Midfielder,14/01/1989
Marco Ambrogioni,Italy,Defender,29/10/1974
Nicola Amoruso,Italy,Forward,29/08/1974
Luigi Anaclerio,Italy,Forward,25/03/1981
Federico Annoni,Italy,Defender,21/10/1993
Diego Antonacci,Italy,Goalkeeper,02/03/2000
Vincenzo Antonicelli,Italy,Forward,08/04/2000
Giuseppe Aprea,Italy,Goalkeeper,23/06/1977
Antonio Arcadio,Italy,Forward,01/11/1972
Pietro Arcidiacono,Italy,Forward,21/05/1988
Mariano Arini,Italy,Midfielder,17/01/1987
Alessandro Armenise,Italy,Midfielder,23/10/1984
Ramzi Aya,Italy,Defender,02/08/1990
Bosun Ayeni,Nigeria,Midfielder,08/11/1978
Elia Ballardini,Italy,Midfielder,25/12/1991
Ismael Bangoura,Guinea,Defender,08/11/1994
Emanuele Bardelloni,Italy,Forward,15/05/1990
Maks BariÅ¡iÄ,Slovenia,Forward,06/03/1995
Luigi Beghetto,Italy,Forward,06/07/1973
Riccardo Berardino,Italy,Midfielder,12/10/1990
Salvatore Bertuccelli,Italy,Forward,25/09/1966
Oberdan Biagioni,Italy,Forward,17/10/1969
Andrea Bianchi,Italy,Midfielder,25/08/1970
Raffaele Biancolino,Italy,Forward,14/08/1977
Roberto Biffi,Italy,Defender,21/08/1965
Mattia Biso,Italy,Midfielder,06/05/1977
Dimitri Bisoli,Italy,Defender,25/03/1994
Fabrizio Boccafogli,Italy,Goalkeeper,14/10/1967
Riccardo Bocchini,Italy,Defender,20/07/1972
Giancarlo Boldini,Italy,Goalkeeper,13/06/1958
Mauro Bollino,Italy,Forward,31/12/1994
Pierluigi Borraccino,Italy,Goalkeeper,
Mirko Bortoletti,Italy,Midfielder,19/11/1998
Andrea Bottalico,Italy,Midfielder,06/07/1998
Andres Bottiglieri,Argentina,Midfielder,20/12/1988
Dario Bova,Italy,Defender,31/03/1984
Oscar Branzani,Italy,Midfielder,13/11/1989
Giuseppe Brescia,Italy,Midfielder,29/09/1966
Livio Daniele Bruno,Italy,Defender,18/05/1991
Alessandro Camporeale,Italy,Forward,16/06/1999
Paolo Cangini,Italy,Midfielder,26/07/1967
Ruggero Cannito,Italy,Midfielder,15/06/1955
Nicola Capellini,Italy,Midfielder,24/02/1991
Antonio Caponero,Italy,Defender,30/04/1999
Marco Capparella,Italy,Midfielder,28/03/1975
Roberto Cappellacci,Italy,Midfielder,07/10/1966
