Name,Country,Position,Born
Gabriel BÃ¡ez,Argentina,Defender,21/07/1995
Emanuel Biancucchi,Argentina,Midfielder,28/07/1988
Enzo Cabrera,Argentina,Forward,20/11/1999
JerÃ³nimo CacciabuÃ©,Argentina,Midfielder,24/01/1998
Nahuel Cisneros,Argentina,Midfielder,17/02/1998
GastÃ³n del Castillo,Argentina,Forward,10/06/1997
Emiliano Franco,Argentina,Midfielder,21/10/1994
Brian Gambarte,Argentina,Forward,15/03/1999
Fabricio Lovotti,Argentina,Forward,02/12/1998
Alan Luque,Argentina,Defender,20/02/1999
Francisco Manenti,Argentina,Midfielder,31/10/1996
JuliÃ¡n Marcioni,Argentina,Forward,19/03/1998
Lionel MonzÃ³n,Argentina,Defender,21/09/1997
Facundo Nadalin,Argentina,Defender,16/08/1997
Maximiliano Pollachi,Argentina,Defender,04/01/1995
Maximiliano Ribero,Argentina,Midfielder,22/12/1997
Brian Sarmiento,Argentina,Midfielder,22/04/1990
