Name,Country,Position,Born
Emin Ahmed,Bulgaria,Defender,10/03/1996
Ahmed Ahmedov,Bulgaria,Midfielder,04/03/1995
Aleksandar Aleksandrov,Bulgaria,Forward,28/03/1994
Evgeni Aleksandrov,Bulgaria,Goalkeeper,14/06/1988
Lyudmil Aleksandrov,Bulgaria,Midfielder,25/04/1953
Dian Angelov,Bulgaria,Midfielder,17/10/1964
Vincenzo Angelov,Bulgaria,Goalkeeper,24/11/2000
Stanislav Antonov,Bulgaria,Goalkeeper,21/03/1986
Hristo Arangelov,Bulgaria,Defender,25/02/1978
Atanas Atanasov,Bulgaria,Defender,14/07/1985
Samir Ayass,Lebanon,Midfielder,24/12/1990
Borislav Baldzhiyski,Bulgaria,Midfielder,12/10/1990
Ahmed Ben Aicha,France,Midfielder,16/12/1994
Tomislav Buckov,Bulgaria,Midfielder,
Miroslav Budinov,Bulgaria,Forward,23/01/1986
Carlos JatobÃ¡,Brazil,Midfielder,15/09/1995
Georgi Chakarov,Bulgaria,Midfielder,13/01/1989
Svetoslav Chitakov,Bulgaria,Midfielder,10/01/1992
ClÃ¡udio,Brazil,Forward,27/03/1987
Blagoi Dalev,Bulgaria,Defender,15/03/1944
Slavi Damyanov,Bulgaria,Midfielder,17/09/1950
Nuriddin Davronov,Tajikistan,Midfielder,16/01/1991
Boris Dimitrov,Bulgaria,Forward,29/03/2004
Filip Dimitrov,Bulgaria,Goalkeeper,13/04/1995
Yordan Dimitrov,Bulgaria,Forward,11/08/1993
Diyan Dimov,Bulgaria,Midfielder,27/09/1985
Martin Dimov,Bulgaria,Defender,01/03/1986
Georgi Dinkov,Bulgaria,Defender,20/05/1991
Veselin Dobrev,Bulgaria,Goalkeeper,15/04/1998
Simeon Dochev,Bulgaria,Midfielder,19/09/2002
Duda,Brazil,Defender,19/04/1994
Berkan Durdu,Germany,Midfielder,26/11/1998
Iskandar Dzhalilov,Tajikistan,Defender,01/06/1992
Esquerdinha,Brazil,Midfielder,08/01/1992
DragoÅ Firtulescu,Romania,Midfielder,15/05/1989
Gennady Ganev,Ukraine,Goalkeeper,15/05/1990
Dimitar Georgiev,Bulgaria,Forward,09/02/1992
Ivan Georgiev,Bulgaria,Goalkeeper,20/05/1985
Spas Georgiev,Bulgaria,Midfielder,21/06/1992
Stoyan Georgiev,Bulgaria,Defender,15/05/1986
Avtandil Ghlonti,Georgia,Midfielder,19/03/1974
GlÃ¡ucio,Brazil,Forward,03/02/1994
Mert Hasan,Bulgaria,Midfielder,
Nikola Hristov,Bulgaria,Midfielder,28/05/1952
Radosvet Hristov,Bulgaria,Goalkeeper,23/09/1992
Stefan Hristov,Bulgaria,Forward,28/08/1989
Hristofor Hubchev,Bulgaria,Defender,24/11/1995
Nedjalko Hubenov,Bulgaria,Midfielder,23/08/1979
Soner Hyusein,Bulgaria,Forward,29/04/1998
Borislav Iliev,Bulgaria,Defender,18/02/1988
Stoian Iliev,Bulgaria,Midfielder,02/01/1953
Samuel Inkoom,Ghana,Defender,22/08/1989
Nikola Iordanov,Bulgaria,Midfielder,
Ismail Isa,Bulgaria,Forward,26/06/1989
Aleksandar Isaevski,North Macedonia,Defender,19/05/1995
Ismail Ismailov,Bulgaria,Midfielder,28/08/2001
Cvetelin Ivanov,Bulgaria,Midfielder,
Simeon Ivanov,Bulgaria,Forward,04/11/2002
Todor Ivanov,Bulgaria,Forward,08/09/1949
Valeri Ivanov,Bulgaria,Forward,06/01/2002
Yanislav Ivanov,Bulgaria,Midfielder,06/03/1992
Birsent Karagaren,Bulgaria,Forward,06/12/1992
Ivaylo Kirilov,Cyprus,Midfielder,16/11/1975
Kiril Kirilov,Bulgaria,Defender,04/11/1968
Ivan Kokonov,Bulgaria,Midfielder,17/08/1991
Nikolay Kolev,Bulgaria,Forward,29/03/1990
Rosen Kolev,Bulgaria,Defender,04/07/1990
Aleksandar Konov,Bulgaria,Goalkeeper,03/09/1993
Branimir Kostadinov,Bulgaria,Forward,04/03/1989
Martin Kostadinov,Bulgaria,Defender,13/05/1996
Georgi Kovachev,Bulgaria,Forward,21/10/1953
Martin Kovachev,Bulgaria,Defender,12/03/1982
Svetoslav Kovachev,Bulgaria,Forward,14/03/1998
Stephen Krachunov,Bulgaria,Defender,09/07/1985
Georgi Kremenliev,Bulgaria,Defender,01/01/1993
Ventzeslav Lambev,Bulgaria,Defender,08/05/1956
Oleksiy Larin,Ukraine,Defender,04/06/1994
Ivaylo Lazarov,Bulgaria,Midfielder,11/04/1992
Hristo Lemperov,Bulgaria,Midfielder,22/04/1988
Blagovest Lenkov,Bulgaria,Midfielder,
Deyan Lozev,Bulgaria,Midfielder,26/10/1993
Martin Lukov,Bulgaria,Goalkeeper,05/07/1993
Damien Maduba,Nigeria,Forward,25/09/1995
Valentino Makaveev,Bulgaria,Midfielder,
Blagoy Makendzhiev,Bulgaria,Goalkeeper,11/07/1988
Pavel Malinov,Bulgaria,Midfielder,16/08/1950
Aleksandar Manolov,Bulgaria,Defender,24/09/1943
Teynur Marem,Bulgaria,Defender,23/09/1994
Kristiyan Marinov,Bulgaria,Defender,05/08/2001
Stoian Marinov,Bulgaria,Midfielder,
Ivaylo Markov,Bulgaria,Defender,05/06/1997
Derrick Mensah,Ghana,Midfielder,28/05/1995
Mihail Milchev,Bulgaria,Defender,18/06/1988
Nikolay Minkov,Bulgaria,Midfielder,13/08/1997
Stefan Mitev,Bulgaria,Midfielder,09/09/1998
Mitko Mitkov,Bulgaria,Defender,28/08/2000
Ignat Mladenov,Bulgaria,Goalkeeper,09/08/1950
Ndue Mujeci,Albania,Forward,24/02/1993
Iliya Munin,Bulgaria,Defender,16/01/1993
Mouhamadou N'Diaye,Senegal,Forward,24/08/1994
Borislav Nachev,Bulgaria,Goalkeeper,02/12/2002
Anatoli Nankov,Bulgaria,Midfielder,15/07/1969
Yulian Nenov,Bulgaria,Forward,17/11/1994
Lyuben Nikolov,Bulgaria,Defender,08/09/1985
Anton Ognyanov,Bulgaria,Midfielder,30/06/1988
Mamadou Ouattara,Guinea-Bissau,Midfielder,11/08/1988
Kristian Paraskevov,Bulgaria,Midfielder,
Nikolay Parnarov,Bulgaria,Defender,20/02/1992
Ivan Paskov,Bulgaria,Defender,04/01/1973
Petar Patev,Bulgaria,Defender,21/05/1993
Daniel Pehlivanov,Bulgaria,Midfielder,01/07/1994
Mario Petkov,Bulgaria,Defender,04/12/1996
Plamen Petkov,Bulgaria,Midfielder,22/05/1962
Georgi Petrakiev,Bulgaria,Defender,16/03/2001
Preslav Petrov,Bulgaria,Defender,01/05/1995
Boyan Peykov,Bulgaria,Goalkeeper,01/05/1984
Erik Pochanski,Bulgaria,Midfielder,05/04/1992
Hristo Popadiyn,Bulgaria,Defender,06/01/1994
Fernando Henrique Quintela,Brazil,Forward,03/05/1990
