Name,Country,Position,Born
Hans Andreasen,Denmark,Midfielder,10/01/1979
Musefiu Ashiru,Nigeria,Midfielder,26/06/1994
Nicolai DamkjÃ¦r,Denmark,Defender,02/04/1999
Nikolaj Forst Jensen,Denmark,Midfielder,18/06/1996
Sead Gavranovic,Denmark,Forward,01/07/1991
Mikkel Jakobsen,Denmark,Forward,23/05/1999
Niels Lodberg,Denmark,Midfielder,14/10/1980
Kevin Ray Mendoza,Philippines,Goalkeeper,29/09/1994
Klaus Moesgaard,Denmark,Midfielder,13/02/1997
Mads Petersen,Denmark,Goalkeeper,18/09/1991
Gloire Rutikanga,Congo DR,Midfielder,04/02/1997
Niklas SÃ¸gaard,Denmark,Defender,09/06/1992
Marcos Ugarte,USA,Midfielder,02/12/1992
