Name,Country,Position,Born
Kristal Abazaj,Albania,Forward,06/07/1996
Frank Acheampong,Ghana,Midfielder,16/10/1993
Ferdinand Adams,Belgium,Forward,03/05/1903
Emmanuel Adjei,Ghana,Defender,16/01/1998
Luka AdÅ¾iÄ,Serbia,Forward,17/09/1998
Agnaldo,Brazil,Forward,25/01/1975
Anouar Ait El Hadj,Belgium,Midfielder,20/04/2002
Serhat AkÄ±n,Turkey,Forward,05/06/1981
Philippe Albert,Belgium,Defender,10/08/1967
Sami Allagui,Tunisia,Forward,28/05/1986
Oswal Ãlvarez,Colombia,Forward,11/06/1995
Francis Amuzu,Belgium,Forward,23/08/1999
Yannis Anastasiou,Greece,Forward,05/03/1973
Henrik Andersen,Denmark,Defender,07/05/1965
Torsten-Frank Andersen,Denmark,Forward,27/03/1949
Mohammed Aoulad,Belgium,Forward,29/08/1991
Dennis Appiah,France,Defender,09/06/1992
Samuel Armenteros,Sweden,Forward,27/05/1990
Frank Arnesen,Denmark,Midfielder,30/09/1956
Ole Martin Ãrst,Norway,Forward,19/07/1974
Isaac Asare,Ghana,Defender,01/09/1974
Nelson Azevedo-Janelas,Belgium,Forward,12/02/1998
Celestine Babayaro,Nigeria,Defender,29/08/1978
Ziguy Badibanga,Belgium,Forward,26/11/1991
StÃ©phane Badji,Senegal,Midfielder,18/01/1990
Zakaria Bakkali,Belgium,Forward,26/01/1996
Oscar Bamps,Belgium,,
Bruno Baras,Belgium,Forward,01/02/1992
Pier Barrios,Argentina,Defender,01/07/1990
Leendert Barth,Netherlands,Goalkeeper,11/01/1952
Walter Baseggio,Belgium,Midfielder,19/08/1978
Samuel Bastien,Belgium,Midfielder,26/09/1996
Mbenza Bedi,Congo DR,Midfielder,11/09/1984
Pummy Bergholtz,Netherlands,Forward,29/08/1939
Robert BeriÄ,Slovenia,Forward,17/06/1991
VÃ­ctor BernÃ¡rdez,Honduras,Defender,24/05/1982
Lucas Biglia,Argentina,Midfielder,30/01/1986
Jacques Billens,Belgium,,15/07/1944
Gideon Boateng,Ghana,Forward,26/08/1991
Frank Boeckx,Belgium,Goalkeeper,27/09/1986
Danny Boffin,Belgium,Midfielder,10/07/1965
Yannick Bolasie,Congo DR,Midfielder,24/05/1989
FranÃ§ois Bondroit,Belgium,,
Sebastiaan Bornauw,Belgium,Defender,22/03/1999
Henri Borremans,Belgium,,
Jozef Borremans,Belgium,,
Pierre Borremans,Belgium,,
John Bosman,Netherlands,Forward,01/02/1965
Liam Bossin,Ireland,Goalkeeper,15/07/1996
Abdelhakim Bouhna,Belgium,Midfielder,24/05/1991
Samy Bourard,Belgium,Midfielder,10/07/1996
Moubarak Boussoufa,Morocco,Midfielder,15/08/1984
Jean-Claude Bouvy,Congo,Midfielder,19/05/1959
Charles BovÃ©,Belgium,,
Maurice Brackman,Belgium,,
Sylvain BrÃ©bart,Belgium,Forward,18/08/1886
David Brocken,Belgium,Defender,18/02/1971
Hugo Broos,Belgium,Defender,10/04/1952
Massimo Bruno,Belgium,Midfielder,17/09/1993
Kenneth Brylle,Denmark,Forward,22/05/1959
Dmitriy Bulykin,Russia,Forward,20/11/1979
Alexander BÃ¼ttner,Netherlands,Defender,11/02/1989
Denis Calincov,Moldova,Forward,15/09/1985
Capel,Spain,Midfielder,16/02/1988
Kurt Carlier,Belgium,Goalkeeper,06/04/1981
Jean Caudron,Belgium,Goalkeeper,15/11/1895
Cayuela,Spain,Midfielder,15/09/1944
Corneille Ceuppens,Belgium,,
Kris Ceuppens,Belgium,Midfielder,31/10/1959
Nacer Chadli,Belgium,Forward,02/08/1989
Thomas Chatelle,Belgium,Midfielder,31/03/1981
Pablo ChavarrÃ­a,Argentina,Forward,02/01/1988
Alexandru Chipciu,Romania,Forward,18/05/1989
Geoffrey Claeys,Belgium,Defender,05/10/1974
Bert Cluytens,Belgium,Midfielder,16/11/1955
Elias Cobbaut,Belgium,Defender,24/11/1997
Ludo Coeck,Belgium,Midfielder,25/09/1955
Jean Coenepael,Belgium,,
AndrÃ© Colasse,Belgium,,24/04/1943
Antoine Colassin,Belgium,Midfielder,26/02/2001
Maxime Colin,France,Defender,15/11/1991
Nicolas Colin,Belgium,,
Tom Colpaert,Belgium,Defender,28/02/1970
Ibrahima ContÃ©,Guinea,Midfielder,03/04/1991
Kobe Cools,Belgium,Defender,25/07/1997
Julien Coppejans,Belgium,,10/05/1914
MichaÃ«l Cordier,Belgium,Goalkeeper,27/03/1984
Jean Cornelis,Belgium,,29/12/1906
Jean Cornelis,Belgium,Defender,02/08/1941
Yuri Cornelisse,Netherlands,Forward,08/05/1975
Milan Corryn,Belgium,Midfielder,04/04/1999
Xavier Coudyzer,Netherlands,,20/11/1942
Bertrand Crasson,Belgium,Defender,05/10/1971
Georges Cruypelants,Belgium,,11/11/1911
Jacques Culot,Belgium,Defender,05/08/1933
Gohi Bi Cyriac,Ivory Coast,Forward,15/08/1990
Alex Czerniatynski,Belgium,Forward,28/07/1960
Enzo D'Alberto,Belgium,Goalkeeper,20/07/1996
Henri D'Haenens,Belgium,,
MiklÃ³s Dacsev,Hungary,Defender,17/10/1929
Daniel Calvo,Spain,Defender,11/07/1979
Abdoul DantÃ©,Mali,Defender,29/10/1998
Mohammed Dauda,Ghana,Forward,20/02/1998
Louis de Becker,Belgium,,08/07/1917
Gilles De Bilde,Belgium,Forward,09/06/1971
Glen De Boeck,Belgium,Defender,22/08/1971
Edy De Bolle,Belgium,Midfielder,26/09/1949
Nico de Bree,Netherlands,Goalkeeper,16/09/1944
Marc De Buyser,Belgium,Forward,13/11/1963
Antoine de Buyst,Belgium,,
Henri de Buyst,Belgium,,01/02/1899
Jules de Carle,Belgium,,28/03/1933
RenÃ© de Coninck,Belgium,,12/01/1937
Wim De Coninck,Belgium,Goalkeeper,23/06/1959
Marcel de Corte,Belgium,Forward,25/11/1929
Jean de Cuyper,Belgium,,06/05/1918
Jean de Drijver,Belgium,,09/02/1933
Jean de Geldre,Belgium,,07/11/1909
Arnaud De Greef,Belgium,Defender,12/04/1992
Jean de Greef,Belgium,Goalkeeper,28/12/1908
Walter De Greef,Belgium,Defender,12/11/1957
Michel de Groote,Belgium,Defender,18/10/1955
Jacques de Hondt,Belgium,,
Boy de Jong,Netherlands,Goalkeeper,10/04/1994
Willem de Koster,Belgium,,17/02/1930
