Name,Country,Position,Born
Mika ÃÃ¤ritalo,Finland,Forward,25/07/1985
Narek Abrahamyan,Armenia,Midfielder,11/06/1996
JÃ¶rg Ahrends,Germany,Forward,14/06/1974
Ahrens,Germany,Forward,
Jochen Aido,Germany,Defender,27/03/1947
Onur Akdogan,Turkey,Forward,01/03/1994
Gerd Andresen,Germany,Defender,30/03/1956
Fabian Arndt,Germany,Forward,08/09/1995
David Atanga,Ghana,Midfielder,25/12/1996
Ãzcan Atasoy,Turkey,Forward,19/06/1976
Patrick Auracher,Germany,Defender,04/01/1990
Amando Aust,Germany,Defender,23/04/1990
Noah Awuku,Germany,Forward,09/01/2000
Ilir Azemi,Kosovo,Forward,21/02/1992
Christian Baasch,Germany,Midfielder,
RenÃ© Back,Germany,Forward,23/04/1950
Werner BÃ¤hnck,Germany,Defender,16/02/1935
Makana Baku,Germany,Forward,08/04/1998
Martin Balsam,Germany,Goalkeeper,17/12/1971
Rudi Balsam,Germany,Defender,01/07/1935
Fin Bartels,Germany,Midfielder,07/02/1987
Werner BaÃler,Germany,Forward,02/10/1921
Bauer,Germany,Midfielder,
Dieter Baumanns,Germany,Forward,15/09/1948
Klaus Baumanns,Germany,Defender,15/09/1948
Heinrich Becker,Germany,Forward,30/10/1910
Arthur Beier,Germany,Midfielder,15/02/1880
Benno Beiroth,Germany,Midfielder,10/12/1942
Ivan Belyaev,Russia,Goalkeeper,23/06/1986
LÃ¡szlÃ³ BÃ©nes,Slovakia,Midfielder,09/09/1997
Thoralf Bennert,Germany,Midfielder,18/06/1965
Berndt,Germany,Midfielder,
Berszuck,Germany,Defender,
Sven Bertermann,Germany,Forward,22/11/1969
Aaron Berzel,Germany,Defender,29/05/1992
Max Besuschkow,Germany,Midfielder,31/05/1997
Dieter Biendara,Germany,Midfielder,14/01/1933
David Binder,Germany,Forward,
Yann Bisseck,Germany,Defender,29/11/2000
AndrÃ© Bistram,Germany,Forward,25/03/1962
Danilo Blank,Germany,Forward,28/06/1974
Block,Germany,Defender,
Jens Bochert,Germany,Midfielder,15/12/1964
AndrÃ© Bock,Germany,Defender,02/02/1981
Alfred Boller,Germany,Forward,12/10/1922
Hans Bonnke,Germany,Midfielder,
Helmut Bork,Germany,Forward,
Alfred Bornemann,Germany,Forward,26/10/1932
Sven Boy,Germany,Defender,02/10/1976
Fritz Boyens,Germany,Forward,12/10/1943
SÃ¶ren Brandy,Germany,Forward,06/05/1985
AndrÃ© Breitenreiter,Germany,Forward,02/10/1973
Patrick Breitkreuz,Germany,Midfielder,18/01/1992
Dirk Bremser,Germany,Midfielder,01/10/1965
Sebastian Breuss,Germany,Goalkeeper,03/03/1970
Bernd Brexendorf,Germany,Midfielder,21/10/1954
Broszat,Germany,Midfielder,
Hauke BrÃ¼ckner,Germany,Midfielder,29/02/1980
Steffen Bruhn,Germany,Midfielder,16/03/1990
Timo Bruns,Germany,Midfielder,15/01/1982
Martin Burmeister,Germany,Goalkeeper,04/05/1955
Peter BÃ¼ttner,Germany,Defender,13/05/1939
Paul Camps,Germany,Midfielder,13/09/1989
Massimo Cannizzaro,Italy,Forward,03/04/1981
CÃ©sar Thier,Brazil,Goalkeeper,15/10/1967
Sofien Chahed,Tunisia,Midfielder,22/11/1989
Horst Christiansen,Germany,Midfielder,09/02/1932
Rudolf Christiansen,Germany,Forward,03/11/1943
Andreas Claasen,Germany,Midfielder,03/11/1967
Harro Clausen,Germany,Goalkeeper,19/12/1936
Hermann Clausen,Germany,Defender,02/11/1934
Ryan Coiner,USA,Forward,07/09/1979
Amara CondÃ©,Germany,Midfielder,06/01/1997
Francisco Copado,Spain,Midfielder,19/07/1974
Heiner Cornils,Germany,Midfielder,26/03/1928
Willi Cryns,Germany,Defender,29/08/1952
AndrÃ© Cyrkel,Germany,Midfielder,21/02/1961
Rafael Czichos,Germany,Defender,14/05/1990
Daniel Teixeira,Brazil,Forward,20/04/1968
Tim Danneberg,Germany,Midfielder,23/04/1986
Dimitrios Daras,Greece,Midfielder,21/04/1956
Peter Darsow,Germany,Defender,12/04/1949
Jannik Dehm,Germany,Midfielder,02/05/1996
Hans Dehning,Germany,Midfielder,
Detlefsen,Germany,Goalkeeper,
Eckhart Dettlaff,Germany,Midfielder,13/04/1950
Stefan Dietrich,Germany,Forward,14/12/1956
Dame Diouf,Senegal,Defender,31/03/1978
Salim Djefaflia,France,Forward,09/10/1978
Pavel DobrÃ½,Czech Republic,Forward,01/02/1976
HÃ¼seyin Dogan,Turkey,Midfielder,20/10/1979
Herbert Dohrn,Germany,Midfielder,
Eggert Dolling,Germany,Defender,11/06/1965
Pavel Dotchev,Bulgaria,Defender,28/09/1965
Jens Dowe,Germany,Defender,01/06/1968
Helmut Drews,Germany,Forward,04/10/1930
Rudolf Drews,Germany,Goalkeeper,01/08/1920
Werner Drews,Germany,Midfielder,07/07/1935
Dominick Drexler,Germany,Forward,26/05/1990
Marvin Ducksch,Germany,Forward,07/03/1994
Tobias Duffner,Germany,Goalkeeper,05/12/1983
Luca DÃ¼rholtz,Germany,Midfielder,18/08/1993
Michael Eberwein,Germany,Midfielder,11/03/1996
Hans-Peter Ehlers,Germany,Midfielder,22/01/1933
Manfred Eichmann,Germany,Forward,31/08/1949
SÃ¶ren Eismann,Germany,Midfielder,28/06/1988
Nasir El Kasmi,Morocco,Defender,02/10/1982
Ãmerson,Brazil,Forward,28/07/1973
Lutz Ernemann,Germany,Midfielder,30/01/1957
Reinhold Ertel,Germany,Midfielder,02/12/1924
Franz Esser,Germany,Forward,20/01/1900
Harald Evers,Germany,Defender,03/01/1947
Willy Evers,Germany,Defender,04/12/1935
Franck Evina,Germany,Forward,05/07/2000
Willi Evseev,Germany,Midfielder,14/02/1992
Stephen Famewo,Nigeria,Midfielder,30/12/1983
Mathias Fetsch,Germany,Forward,30/09/1988
Hans Fick,Germany,,
Hugo Fick,Germany,Forward,
Willi Fick,Germany,Forward,17/02/1891
Karsten Fischer,Germany,Midfielder,27/05/1984
Tobias Fleckstein,Germany,Defender,24/04/1999
Heinz FlÃ¶he,Germany,Midfielder,
Steve Frank,Germany,Defender,29/12/1979
Michael Frech,Germany,Goalkeeper,26/03/1976
Rudolf Friese,Germany,Goalkeeper,
Jens-Uwe Friske,Germany,Forward,10/03/1963
Till Furthmann,Germany,Midfielder,22/04/1979
Eitel Galle,Germany,Midfielder,09/02/1935
Marcel Gebers,Germany,Midfielder,05/06/1986
Ioannis Gelios,Germany,Goalkeeper,24/04/1992
Rolf Gerbers,Germany,Midfielder,02/01/1938
Joel Gerezgiher,Germany,Midfielder,09/10/1995
Tore Gersch,Germany,Defender,10/03/1985
Raphael Gertz,Germany,Midfielder,22/02/1990
Bernd Gerulat,Germany,Defender,31/05/1959
Darryl Geurts,Germany,Midfielder,05/07/1994
Thomas Gilica,Germany,Midfielder,19/08/1959
Benjamin Girth,Germany,Forward,31/01/1992
Stephan Glinka,Germany,Goalkeeper,04/11/1920
Mike GÃ¶bel,Germany,Midfielder,30/01/1971
Kjell Gonda,Germany,Midfielder,05/02/1991
Eberhard GrÃ¤f,Germany,Defender,18/11/1944
Paul GrÃ¤f,Germany,Defender,08/05/1915
Sebastian Gregorczyn,Germany,Midfielder,24/10/1981
Manfred Greif,Germany,Forward,14/10/1939
Manuel Greil,Germany,Goalkeeper,05/08/1974
Gerd Gretzler,Germany,Forward,16/09/1942
GÃ¼nther Grewenig,Germany,Forward,09/12/1926
Velimir GrgiÄ,Croatia,Forward,11/05/1978
Henning Grieneisen,Germany,Midfielder,09/09/1984
Georg Grille,Germany,Forward,
Andreas GrÃ¶per,Germany,Midfielder,11/04/1970
Hendrik GroÃÃ¶hmichen,Germany,Midfielder,06/06/1985
Kai Gruhnow,Germany,Midfielder,20/05/1954
Tjark Grundmann,Germany,Goalkeeper,05/08/1997
Heinz Grunewald,Germany,Midfielder,06/12/1920
RenÃ© Guder,Germany,Midfielder,06/09/1994
Adel Guemari,France,Defender,16/02/1984
GÃ¼nther,Germany,Midfielder,
GÃ¼nther,Germany,Defender,
Dimitrijus GuÅ¡Äinas,Lithuania,Forward,12/12/1975
Fynn Gutzeit,Germany,Defender,20/08/1990
Tjark Gutzeit,Germany,Midfielder,28/10/1993
Ernst Haack,Germany,Forward,09/08/1920
