Name,Country,Position,Born
Jamal Aabbou,Belgium,Forward,16/05/2000
Jason Adesanya,Belgium,Forward,26/05/1993
Issam Al Kamouchi,Netherlands,Midfielder,05/09/1997
EugÃ¨ne Ansah,Ghana,Midfielder,16/12/1994
Ä°smail Ayaz,Turkey,Forward,26/02/1979
Thomas Azevedo,Belgium,Midfielder,31/08/1991
Pa Omar Babou,Gambia,Forward,01/10/1998
Zsolt BÃ¡rÃ¡nyos,Hungary,Midfielder,15/12/1975
Bert Bauduin,Belgium,Midfielder,18/05/1983
Hakan Bayraktar,Turkey,Midfielder,11/02/1976
Eddy Bembuana-Keve,Congo DR,Forward,24/12/1972
Omar Bennassar,Belgium,Forward,04/03/1987
Geert Berben,Belgium,Midfielder,26/05/1993
Frank Berghuis,Netherlands,Midfielder,02/05/1967
Christophe Bertjens,Belgium,Forward,05/01/1993
Jesse Bertrams,Netherlands,Goalkeeper,22/12/1994
Rudy Berx,Belgium,,
Bjorn Beyens,Belgium,Midfielder,07/05/1987
Ãmit Bilican,Belgium,Forward,29/03/1981
Scott Bitsindou,Belgium,Midfielder,11/05/1996
Nenad BjekoviÄ,Serbia,Forward,17/11/1974
Marino Blancke,Belgium,Midfielder,14/09/1970
Tibo Bogaers,Belgium,Midfielder,06/08/1997
Dries Bongaerts,Belgium,Forward,19/03/1985
Niels Bongaerts,Belgium,Defender,01/06/1993
Alessandro Bongiorno,Belgium,Forward,06/11/1997
Sebastiaan Brebels,Belgium,Midfielder,05/05/1995
David Brocken,Belgium,Defender,18/02/1971
Loris Brogno,Belgium,Midfielder,18/09/1992
Davy Brouwers,Belgium,Forward,03/02/1988
Ngalula Buana,Congo DR,Defender,23/06/1968
Gert Cannaerts,Belgium,Midfielder,05/07/1963
Fabio Caracciolo,Belgium,Forward,06/09/1984
Antonio Caramazza,Belgium,Forward,22/03/1983
Umberto Carvalho,Belgium,Midfielder,07/05/1994
Joris Caubergs,Belgium,Forward,16/07/1984
Timo Cauwenberg,Belgium,Midfielder,02/10/1994
Alessandro Cerigioni,Belgium,Forward,30/09/1992
Zinho Chergui,Belgium,Defender,17/12/1983
Glenn Claes,Belgium,Midfielder,08/03/1994
Michael Clepkens,Belgium,Goalkeeper,30/01/1986
Gilles Colin,Belgium,Defender,06/09/1984
JÃ©rÃ´me Colinet,Belgium,Midfielder,26/04/1983
Kristof Coomans,Belgium,Defender,23/02/1979
Wouter Corstjens,Belgium,Defender,13/02/1987
GaÃ«tan Coucke,Belgium,Goalkeeper,03/12/1998
Dieter Creemers,Belgium,Goalkeeper,02/09/1997
Bram Criel,Belgium,Forward,02/06/1986
Richard Culek,Czech Republic,Midfielder,01/04/1974
Evert Daams,Belgium,Goalkeeper,30/11/1990
Dirk Daelmans,Belgium,Midfielder,06/10/1968
Ntumba Danga,Congo DR,Defender,27/07/1963
Glenn DaniÃ«ls,Belgium,Goalkeeper,30/06/1994
Gert Davidts,Belgium,Goalkeeper,30/03/1972
Dylan De Belder,Belgium,Forward,03/04/1992
Alexandre De Bruyn,Belgium,Midfielder,04/06/1994
Dimitri De CondÃ©,Belgium,Midfielder,07/01/1975
Mike De Koninck,Belgium,Defender,05/04/1982
Rik De Kuyffer,Belgium,Forward,15/03/1999
Jarno De Smet,Belgium,Goalkeeper,05/02/1999
Sebastiaan De Wilde,Belgium,Defender,02/02/1993
Ken Debauve,Belgium,Midfielder,30/11/1990
Stijn Deckers,Belgium,Forward,31/01/1996
Giel Deferm,Belgium,Defender,30/06/1988
Siegerd Degeling,Belgium,Midfielder,30/03/1989
Dieter Dekelver,Belgium,Forward,17/08/1979
Christophe Delande,Belgium,Midfielder,10/05/1982
Sven Delarbre,Belgium,Goalkeeper,31/07/1995
OÄuzhan Demirci,Belgium,Goalkeeper,09/06/1994
Marko Deronja,Slovenia,Goalkeeper,29/12/1995
Brandon Deville,Belgium,Midfielder,17/02/1993
Oumar Diouck,Belgium,Forward,09/11/1994
Igor Djokic,Serbia,Midfielder,07/03/1979
Eddy Dries,Belgium,Defender,29/12/1964
Benny Driesmans,Belgium,Defender,27/10/1960
Guy Dufour,Belgium,Midfielder,14/03/1987
Marc Eberle,Germany,Defender,03/06/1980
Soufiane El Banaouhi,Belgium,Defender,26/07/1992
Roel Elsen,Belgium,Defender,07/05/1979
Robert Eshun,Ghana,Forward,19/12/1974
Vincent Euvrard,Belgium,Midfielder,12/03/1982
Jelle Eyckens,Belgium,Goalkeeper,21/04/1991
Khalilou Fadiga,Senegal,Midfielder,30/12/1974
Predrag FilipoviÄ,Montenegro,Defender,12/01/1975
KristjÃ¡n Finnbogason,Iceland,Goalkeeper,08/05/1971
Mark Ford,England,Midfielder,10/10/1975
Kevin Franck,Belgium,Midfielder,10/06/1982
Thomas Frederix,Belgium,Midfielder,29/08/1988
Thimoty Freire,Belgium,Midfielder,14/03/1991
Jentle Gaethofs,Belgium,Midfielder,21/04/1993
Zinho Gano,Belgium,Forward,13/10/1993
Silvio Garcia,Belgium,Forward,21/06/1980
Jo Geerinckx,Belgium,Defender,12/01/1979
Pierre Geys,Belgium,Midfielder,29/04/1948
Brian Gielen,Belgium,Goalkeeper,23/09/1996
Rob Gielen,Belgium,Forward,
Marc Gielis,Belgium,,21/10/1962
Wim Gielis,Belgium,Midfielder,28/10/1968
Bart Gijbels,Belgium,Forward,10/02/1972
Robert Gijbels,Belgium,Defender,19/02/1962
Andy Gilissen,Belgium,Forward,05/07/1965
Louis Gomis,Senegal,Forward,03/12/1974
Bart Goossens,Belgium,Defender,05/01/1985
