Name,Country,Position,Born
Ali Abu-Alfa,Germany,Midfielder,28/08/1999
Kevin Adamski,Germany,Goalkeeper,21/02/1991
Ensar Aksakal,Germany,Midfielder,01/10/2001
Berkan Alimler,Germany,Defender,11/01/2000
Adrian AntunoviÄ,Croatia,Midfielder,27/04/1989
Fisnik Asllani,Kosovo,Forward,08/08/2002
Soufian Benyamina,Germany,Forward,02/03/1990
Abdulkadir Beyazit,Germany,Forward,04/11/1996
Jonas Beyer,Germany,Midfielder,05/07/1995
Adrian Billhardt,Germany,Midfielder,17/10/1997
Mert Bircakci,Turkey,Defender,28/03/1994
Leonard Brenneisen,Germany,Midfielder,08/10/1995
Martin Brosig,Germany,Goalkeeper,05/04/1988
Florian BrÃ¼ggemann,Germany,Goalkeeper,18/10/1994
Edgar Budde,Germany,Defender,21/01/1998
Batikan Cetin,Germany,Midfielder,18/02/2000
Yasar Cinar,Germany,Midfielder,02/08/2000
OÄuzhan Ãodura,Germany,Midfielder,01/03/2002
Milos Cvjetinovic,Germany,Midfielder,27/05/2003
Linus Josef Czosnyka,Germany,Forward,08/06/2002
Yasin Dag,Germany,Midfielder,11/09/2002
Scott DÃ¤hnrich,Germany,Defender,06/03/1998
Laurenz Dehl,Germany,Midfielder,12/12/2001
Armed Dema,Germany,Midfielder,23/05/1990
Christian Dietrich,Germany,Midfielder,11/03/1992
William Dittrich,Germany,Defender,17/02/1999
Timo Doman,Germany,Defender,22/01/2002
Igor Drmac,Germany,Defender,05/02/1996
Kai Druschky,Germany,Forward,19/04/1993
Dieter Eichler,Germany,Midfielder,18/02/1954
Daniel Eidtner,Germany,Forward,29/06/2000
Ismat El-Ali,Germany,Midfielder,01/01/1999
Waled Enani,Egypt,Forward,30/11/1987
Nico Englert,Germany,Midfielder,24/01/1991
Franz Fitkau,Germany,Defender,04/03/1990
Fabian Fritsche,Germany,Defender,28/09/1991
Emir Gencel,Germany,Defender,30/08/2001
Kevin Giese,Germany,Midfielder,27/08/1992
Stephan Gill,Germany,Defender,01/01/1989
Abdallah Gomaa,Egypt,Midfielder,10/01/1996
Christoph Gorkow,Germany,Defender,22/02/1996
Tobias GÃ¶th,Germany,Midfielder,30/03/1996
Oliver GÃ¶tze,Germany,Forward,08/06/1988
Anton Grabow,Germany,Forward,20/01/1995
Philipp GrÃ¼neberg,Germany,Forward,21/05/1992
Ä°rfan GÃ¼ner,Turkey,Goalkeeper,05/05/1993
Enrico GÃ¼nther,Germany,Defender,01/07/1987
Emil Gustavus,Germany,Defender,11/11/2000
Christian Gutjahr,Germany,Midfielder,25/04/1991
Luca Haase,Germany,Midfielder,11/02/2002
Florian Hacker,Germany,Midfielder,05/01/1990
Omar Hajjaj,Germany,Midfielder,13/03/2003
Christoph Haker,Germany,Goalkeeper,06/02/1991
Tim Hannemann,Germany,Forward,25/01/1999
Steven Hartwig,Germany,Midfielder,27/03/1989
Nicholas Hasslacher,Austria,Midfielder,28/08/1989
Steven Haubitz,Germany,Midfielder,21/06/1988
Marcel Hegert,Germany,Midfielder,09/02/1989
Bryan Henning,Germany,Defender,16/03/1995
Julian Hentschel,Germany,Defender,24/12/1996
Robert Herrmann,Germany,Midfielder,10/08/1993
Maxim Hertel,Czech Republic,Goalkeeper,25/01/1999
Michael Hinz,Germany,Goalkeeper,07/05/1987
Maximilian Hoffmann,Germany,Defender,12/09/1992
