Name,Country,Position,Born
Yutaka Abe,Japan,Forward,21/09/1994
Jens Adler,Germany,Goalkeeper,25/04/1965
Frank Albrecht,Germany,Defender,28/08/1967
Thomas Arendt,Germany,Forward,23/11/1958
Holger Bahra,Germany,Goalkeeper,20/03/1958
Christian Beeck,Germany,Defender,18/12/1971
Horst Bindig,Germany,Defender,21/07/1944
Daniel Bitterling,Germany,Defender,22/11/1975
Dietmar Bletsch,Germany,Defender,18/06/1964
JÃ¶rg BlÃ¼thmann,Germany,Forward,02/09/1965
Heiko Brestrich,Germany,Midfielder,08/04/1965
JÃ¶rg Buder,Germany,Defender,24/09/1969
Karsten Conrad,Germany,Defender,23/12/1971
JÃ¶rn Dahms,Germany,Goalkeeper,11/06/1961
Ronny Dau,Germany,Forward,27/05/1963
Sylvio Demuth,Germany,Defender,22/05/1963
Dirk Dittrich,Germany,Goalkeeper,02/06/1969
Holger DÃ¶bbel,Germany,Midfielder,19/06/1960
Dietmar Drabow,Germany,Midfielder,14/01/1963
JÃ¼rgen Ebeling,Germany,Forward,12/12/1955
RenÃ© Ferch,Germany,Midfielder,30/03/1963
Uwe Ferl,Germany,Midfielder,07/10/1958
Hendrik Fichtenau,Germany,Goalkeeper,19/04/1972
RenÃ© Fleck,Germany,Defender,10/08/1976
Rainer Fliegel,Germany,Midfielder,19/03/1953
Steffen Freund,Germany,Midfielder,19/01/1970
Helmut Gabriel,Germany,Defender,03/10/1968
Hubert Gebhardt,Germany,Goalkeeper,10/02/1956
Has-Magomet Gilagajev,Russia,Midfielder,28/02/1970
Torsten GlÃ¤ser,Germany,Defender,11/05/1969
Midhat GluhaÄeviÄ,Bosnia-Herzegovina,Forward,02/06/1965
Oleg Golovan,Ukraine,Forward,21/09/1971
Thomas Grether,Germany,Midfielder,14/11/1965
Roland Gumtz,Germany,Midfielder,03/11/1958
Michael Hartmann,Germany,Midfielder,11/07/1974
Karsten Heine,Germany,Midfielder,06/04/1955
AndrÃ© Hennig,Germany,Goalkeeper,24/06/1964
Uwe Hessel,Germany,Defender,24/06/1961
Detlef Irrgang,Germany,Forward,27/05/1966
Miroslav Jagatic,Germany,Forward,16/07/1976
Eberhard Janotta,Germany,Midfielder,14/12/1961
Frank Jeske,Germany,Forward,07/02/1960
Bernd Jessa,Germany,Midfielder,23/09/1948
Mike Jesse,Germany,Midfielder,01/06/1973
Andreas Joppien,Germany,Midfielder,15/09/1968
RÃ³bert JovÃ¡n,Hungary,Forward,11/04/1967
Juninho,Brazil,Forward,21/01/1991
Markus Jurzik,Germany,Goalkeeper,31/05/1980
Peter Kaehlitz,Germany,Forward,06/10/1959
Michael Kaiser,Germany,Midfielder,20/06/1966
JÃ¶rg Kampf,Germany,Midfielder,07/08/1954
Ingo Kimmritz,Germany,Forward,06/11/1958
Uwe Kirchner,Germany,Forward,11/12/1962
Wilfried Klingbiel,Germany,Forward,21/06/1939
Christian Knoop,Germany,Defender,22/04/1961
