Name,Country,Position,Born
Romeo Bertani,Italy,Midfielder,17/05/1999
Matteo Bondi,Italy,Forward,05/06/1980
Alex Buonaventura,Italy,Forward,12/02/1986
Gianmarco Celeste,Italy,Goalkeeper,21/08/1996
Tommaso Costantini,Italy,Forward,23/06/1996
Alessandro Fabbri,Italy,Defender,11/03/1990
Fabio Finucci,Italy,Goalkeeper,23/06/1971
Lorenzo Melli,Italy,Midfielder,26/09/1995
Quesada,Spain,Defender,03/05/1985
Andrea Rinaldi,Italy,Midfielder,23/06/2000
Luca Ruopolo,Italy,Defender,18/02/1981
Federico Sala,Italy,Forward,10/03/1999
Alfonso Selleri,Italy,Midfielder,15/05/1986
Apostolos Stikas,Greece,Defender,20/09/1996
Mario Tagliente,Italy,Forward,01/03/1980
Emmanuele Tedesco,Italy,Forward,17/04/1998
