Name,Country,Position,Born
Daniel Althoff,Germany,Goalkeeper,09/01/1988
Mike Andreas,Germany,Midfielder,31/01/1997
Aias Aosman,Syria,Midfielder,21/10/1994
Kaoa Aosman,Germany,Midfielder,10/02/1994
Michael Arnolds,Germany,Goalkeeper,22/12/1993
Altan Arslan,Turkey,Midfielder,18/02/1989
Daniel Barton,Germany,Midfielder,11/08/1987
Stipe Batarilo-Cerdic,Croatia,Midfielder,17/11/1993
Phil Beckhoff,Germany,Forward,10/04/2000
Kamil Bednarski,Germany,Midfielder,11/10/1985
Samy Benmbarek,Germany,Midfielder,09/02/1995
Samy Benmbarek,Germany,Midfielder,01/01/1995
Lars Bleker,Germany,Defender,28/06/1994
Stephan Boachie,Germany,Defender,26/07/1987
Herbert Bockhorn,Uganda,Defender,31/01/1995
Markus Bollmann,Germany,Defender,06/01/1981
Diego Bortolozzo,Italy,Midfielder,19/09/1982
Daniel Brinkmann,Germany,Midfielder,29/01/1986
Nick Brisevac,Germany,Forward,13/01/1993
Muhammed Bulut,Germany,Midfielder,20/06/1989
Matei BÃ¼yÃ¼kdag,Germany,Forward,
Marvin BÃ¼yÃ¼ksakarya,Germany,Defender,11/04/1995
Carlos Castilla,Germany,Forward,27/01/1976
Antonyos Celik,Germany,Midfielder,20/08/1994
Sargon Chabo,Germany,Midfielder,
Paterson Chato,Germany,Defender,01/12/1996
Jure Äolak,Croatia,Defender,21/08/1989
David Czyszczon,Germany,Defender,04/09/1981
Semih DaÄlar,Turkey,Forward,08/01/1993
Matthew Dallmann,USA,Midfielder,09/03/1985
Soner Dayangan,Germany,Forward,17/01/1979
Marcel Deelen,Germany,Defender,28/03/1994
Steven Degelmann,Germany,Defender,09/01/1983
Lukas Demming,Germany,Midfielder,12/02/2000
Omar Diarra,Belgium,Midfielder,15/08/1994
Diego DÃ­az,Spain,Forward,23/06/1992
Philipp Dieckmann,Germany,Defender,18/05/1999
Tristan Duschke,Germany,Defender,17/01/1997
