Name,Country,Position,Born
Kim Aabech,Denmark,Midfielder,31/05/1983
Kenneth Aggerholm,Denmark,Midfielder,22/05/1978
Tuomas Aho,Finland,Defender,27/05/1981
Osama Akharraz,Denmark,Midfielder,26/11/1990
Thomas Ambrosius,Denmark,Forward,14/07/1969
John Amdisen,Denmark,Defender,08/07/1934
John Amdisen,Denmark,Defender,16/03/1980
Mustafa Amini,Australia,Midfielder,20/04/1993
Alexander AmmitzbÃ¸ll,Denmark,Forward,17/02/1999
Magnus Anbo,Denmark,Defender,18/09/2000
Jesper Andersen,Denmark,Defender,31/05/1979
Kenni Andersen,Denmark,Midfielder,26/11/1964
Per Andersen,Denmark,Forward,13/07/1958
SÃ¸ren Andersen,Denmark,Forward,31/01/1970
Thomas Andersen,Denmark,Defender,18/04/1959
Leon Andreasen,Denmark,Midfielder,23/04/1983
Mick Andresen,Denmark,Midfielder,26/08/1982
Jakob Ankersen,Denmark,Midfielder,22/09/1990
KÃ¡ri Ãrnason,Iceland,Midfielder,13/10/1982
Danilo Arrieta,Denmark,Midfielder,10/02/1987
Jeffrey Aubynn,Sweden,Midfielder,12/05/1977
Niklas Backman,Sweden,Defender,13/11/1988
Lennart Bak,Denmark,Midfielder,13/09/1972
Ulrik Balling,Denmark,Forward,11/06/1975
Wade Barrett,USA,Defender,23/06/1976
Jan Bartram,Denmark,Midfielder,06/03/1962
Lars Bastrup,Denmark,Forward,31/07/1955
Lee Baxter,Sweden,Goalkeeper,17/06/1976
Poul BÃ¦kgaard,Denmark,Forward,
Stephen Beatty,Northern Ireland,Midfielder,01/09/1969
Morten Beck,Denmark,Forward,02/01/1988
Martin Beck Andersen,Denmark,Midfielder,19/05/1984
SÃ¸ren Berg,Denmark,Forward,15/05/1976
Filip Bergman,Sweden,Defender,13/03/1979
Teddy Bjarnason,Iceland,Midfielder,04/03/1987
Anders Bjerre,Denmark,Midfielder,27/05/1969
Henning Bjerregaard,Denmark,Forward,06/03/1927
Johnny Bjerregaard,Denmark,Forward,19/01/1942
Johan BjÃ¸rdal,Norway,Defender,05/05/1986
Jesper Blicher,Denmark,Midfielder,04/10/1988
Bror Blume,Denmark,Midfielder,22/01/1992
Mikkel Bo Jensen,Denmark,Midfielder,13/01/1978
Lasse Borg,Denmark,Goalkeeper,02/05/1986
Allan Borgvardt,Denmark,Forward,05/06/1980
Erik Boye,Denmark,Goalkeeper,07/01/1964
Henrik BÃ¸dker,Denmark,Goalkeeper,23/06/1981
Henrik BÃ¸gebjerg,Denmark,Midfielder,02/06/1981
Daniel Brink,Denmark,Defender,
Ole Budtz,Denmark,Defender,20/04/1979
Henrik Bundgaard,Denmark,Goalkeeper,20/03/1975
Mustapha Bundu,Sierra Leone,Forward,27/02/1997
Oskar Buur,Denmark,Defender,31/03/1998
Gustavo Cabrera,Guatemala,Defender,13/12/1979
Dennis Cagara,Philippines,Defender,19/02/1985
Shane Cansdell-Sherriff,Australia,Defender,10/11/1982
Nicklas Carlsson,Sweden,Defender,13/11/1979
Aleksandar ÄavriÄ,Serbia,Forward,18/05/1994
Volkan Ceran,Denmark,Forward,22/01/1982
Daniel Christensen,Denmark,Midfielder,19/09/1988
Emil Christensen,Denmark,Defender,10/07/1997
Erik Christensen,Denmark,Defender,18/04/1937
Kaj Christensen,Denmark,Forward,29/07/1934
Karsten Christensen,Denmark,Midfielder,18/04/1959
Kim Christensen,Denmark,Defender,11/02/1976
Nicolai Christensen,Denmark,Midfielder,11/02/1992
Tom Christensen,Denmark,Forward,31/01/1982
Tommy Christensen,Denmark,Midfielder,20/07/1961
Torben Christensen,Denmark,Midfielder,14/07/1963
Claus Christiansen,Denmark,Midfielder,27/03/1972
Helgi DanÃ­elsson,Iceland,Midfielder,13/07/1981
Niels Daugaard,Denmark,Forward,16/04/1976
Navid Dayyani,Denmark,Midfielder,17/02/1987
Peter Degn,Denmark,Midfielder,06/04/1977
Garra DembÃ©lÃ©,Mali,Forward,21/02/1986
Davit Devdariani,Georgia,Midfielder,28/10/1987
Giorgi Diasamidze,Georgia,Midfielder,20/02/1992
Kevin Diks,Netherlands,Defender,06/10/1996
Bojan Djordjic,Sweden,Midfielder,06/02/1982
Josta Dladla,South Africa,Forward,13/07/1979
Morten Donnerup,Denmark,Midfielder,28/08/1960
Michael Doyle,Ireland,Midfielder,08/07/1981
Boye Duedahl,Denmark,Defender,26/06/1960
Duncan,Denmark,Forward,31/01/1985
Zach Duncan,Australia,Midfielder,31/05/2000
Adam Eckersley,England,Defender,07/09/1985
Edafe Egbedi,Nigeria,Midfielder,05/08/1993
Josip Elez,Croatia,Defender,25/04/1994
Henning Enoksen,Denmark,Forward,26/09/1935
William Eskelinen,Sweden,Goalkeeper,03/09/1996
Benny Feilhaber,USA,Midfielder,19/01/1985
Lukas Fernandes,Denmark,Goalkeeper,01/03/1993
HÃ¥vard Flo,Norway,Forward,04/04/1970
Peter Foldgast,Denmark,Forward,03/12/1979
Per Frimann,Denmark,Midfielder,04/06/1962
Henry From,Denmark,Goalkeeper,01/06/1926
Mads Frost,Denmark,Midfielder,06/04/1983
Daniel Gadegaard,Denmark,Goalkeeper,31/05/2001
Christer George,Norway,Forward,11/08/1979
Alex Gersbach,Australia,Defender,08/05/1997
Jens Gjesing,Denmark,Midfielder,13/01/1986
Arkadiusz Gmur,Poland,Defender,15/10/1966
Kamil Grabara,Poland,Goalkeeper,08/01/1999
Tobias Grahn,Sweden,Midfielder,05/03/1980
Peter Graulund,Denmark,Forward,20/09/1976
Hans Gregersen,Denmark,Defender,17/12/1935
Nimo Gribenco,Denmark,Forward,23/01/1997
Bent GrÃ¸nbeck,Denmark,Defender,12/02/1960
Adama Guira,Burkina Faso,Midfielder,24/04/1988
Bjarke Gundlev,Denmark,Defender,09/01/1931
Thomas HagelskjÃ¦r,Denmark,Goalkeeper,04/02/1995
Atle Roar HÃ¥land,Norway,Defender,26/07/1977
Martin Halle,Denmark,Defender,16/10/1981
Carsten Hallum,Denmark,Forward,09/09/1969
Jan-Halvor Halvorsen,Norway,Defender,08/03/1963
Jan Hansen,Denmark,Midfielder,
Martin Hansen,Denmark,Midfielder,11/05/1983
Rune Hansen,Denmark,Defender,06/04/1985
Thomas Hansen,Denmark,Defender,18/01/1983
Jonny Hanssen,Norway,Midfielder,13/12/1972
Bo Harder,Denmark,Defender,05/03/1968
Jacob Harder,Denmark,Forward,05/12/1964
Piotr Haren,Denmark,Defender,02/05/1970
Jens Harmsen,Denmark,Defender,21/03/1952
Sebastian Hausner,Denmark,Defender,11/04/2000
Kenneth Heiner-MÃ¸ller,Denmark,Forward,17/01/1971
Nicklas Helenius,Denmark,Forward,08/05/1991
Carsten Hemmingsen,Denmark,Midfielder,18/12/1970
Bo Henriksen,Denmark,Forward,07/02/1975
Tony Henriksen,Denmark,Goalkeeper,25/04/1973
Richard Henriksson,Sweden,Defender,05/10/1982
SÃ¸ren Hermansen,Denmark,Forward,07/09/1970
Verner Hermansen,Denmark,Forward,14/04/1939
Mark Howard,England,Defender,29/01/1986
Dennis HÃ¸egh,Denmark,Forward,21/02/1989
Jes HÃ¸jen,Denmark,Defender,29/03/1978
Casper HÃ¸jer Nielsen,Denmark,Defender,20/11/1994
Jimmy HÃ¸yer,Denmark,Midfielder,08/01/1978
Nicolaj Hust,Denmark,Midfielder,30/10/1978
Benjamin Hvidt,Denmark,Midfielder,12/03/2000
Michael Hyldgaard,Denmark,Defender,06/02/1954
Morten Hyldgaard,Denmark,Goalkeeper,26/01/1978
Chris Ikonomidis,Australia,Midfielder,04/05/1995
Sigurd Iversen,Denmark,Midfielder,13/03/1926
Chris Iwelumo,Scotland,Forward,01/08/1978
Casper Jacobsen,Denmark,Goalkeeper,12/07/1979
Kasper Jakobsen,Denmark,Midfielder,17/07/1999
Aage Rou Jensen,Denmark,Forward,24/09/1924
Arne Jensen,Denmark,Defender,24/08/1940
Bent Jensen,Denmark,Forward,07/02/1940
Bjarne Jensen,Denmark,Midfielder,13/05/1973
Bruno Jensen,Denmark,Forward,15/03/1938
Erik Jensen,Denmark,Forward,02/03/1932
Erik Kuld Jensen,Denmark,Midfielder,10/06/1925
Henning Jensen,Denmark,Forward,17/08/1949
John Jensen,Denmark,Forward,13/05/1937
John Jensen,Denmark,Defender,04/01/1977
John Jensen,Denmark,Goalkeeper,18/05/1941
Kjeld Jensen,Denmark,Forward,11/02/1944
Lars Jensen,Denmark,Forward,12/12/1956
SÃ¸ren Vadstrup Jensen,Denmark,Midfielder,24/12/1901
Allan Jepsen,Denmark,Defender,04/07/1977
SÃ¸ren Jepsen,Denmark,Midfielder,12/05/2000
Henrik Jespersen,Denmark,Defender,07/11/1967
Nicolai Johannesen,Denmark,Defender,22/05/1994
Ãli Johannesen,Faroe Islands,Defender,06/05/1972
Aron JÃ³hannsson,USA,Forward,10/11/1990
Nocko Jokovic,Denmark,Forward,03/07/1973
Aleksandar JovanoviÄ,Serbia,Goalkeeper,06/12/1992
Finn JÃ¸nson,Denmark,Forward,28/09/1943
Jens JÃ¸nsson,Denmark,Defender,10/01/1993
Claus JÃ¸rgensen,Faroe Islands,Midfielder,27/04/1976
Jesper JÃ¸rgensen,Denmark,Forward,10/03/1984
Mads JÃ¸rgensen,Denmark,Midfielder,10/02/1979
Martin JÃ¸rgensen,Denmark,Midfielder,06/10/1975
Niels JÃ¸rgensen,Denmark,Goalkeeper,24/01/1971
Alexander Juel Andersen,Denmark,Defender,29/01/1991
Thomas Juel-Nielsen,Denmark,Defender,18/06/1990
