Name,Country,Position,Born
Abel,Spain,Midfielder,11/04/1991
Kasim Adams,Ghana,Defender,22/06/1995
AdriÃ¡n MarÃ­n,Spain,Defender,09/01/1997
Aguilar,Spain,Defender,13/04/1971
Aguilera,Spain,Goalkeeper,31/01/1963
Aicart,Spain,Midfielder,17/10/1986
Aitor,Spain,Midfielder,24/03/1976
Aitor Ruibal,Spain,Midfielder,22/03/1996
Yahya Al Shehri,Saudi Arabia,Midfielder,26/06/1990
Alain Eizmendi,Spain,Midfielder,10/06/1990
AlbarrÃ¡n,Spain,Defender,06/11/1979
Alberto MartÃ­n,Spain,Midfielder,31/03/1989
Albizua,Spain,Defender,18/01/1989
AlcÃ¡ntara,Spain,Defender,01/02/1985
Lucas AlessandrÃ­a,Argentina,Defender,05/04/1978
Ãlex,Spain,Defender,25/01/1998
Alex,Spain,Defender,25/01/1975
Ãlex Bernal,Spain,Midfielder,03/03/1991
Alfonso,Spain,Midfielder,09/12/1970
Alfredo,Spain,Midfielder,03/12/1972
Alonso,Spain,Midfielder,26/09/1969
Ãlvaro GarcÃ­a,Spain,Midfielder,07/07/1986
Nordin Amrabat,Morocco,Forward,31/03/1987
AndrÃ© Grandi,Brazil,Goalkeeper,02/05/1997
AndrÃ©s,Spain,Midfielder,03/08/1964
AndrÃ©s Prieto,Spain,Goalkeeper,17/10/1993
Ãngel Castro,Spain,Forward,22/09/1975
AngelÃ­n,Spain,Defender,23/06/1966
Antelo,Spain,Defender,26/08/1989
Antonio,Spain,Forward,22/05/1964
Antonio LÃ³pez,Spain,Midfielder,12/05/1980
Marco Arcaleni,Italy,Midfielder,29/10/1996
Aridane Santana,Spain,Forward,31/03/1987
Aridani,Spain,Defender,08/03/1980
Rida Arkine,Morocco,Forward,06/10/1990
Arnal,Spain,Forward,21/11/1980
Arruabarrena,Spain,Forward,09/02/1983
Francisco ArruÃ©,Chile,Midfielder,07/08/1977
Arteaga,Spain,Forward,23/08/1972
Javier Artero,Spain,Midfielder,16/04/1975
AsdrÃºbal PadrÃ³n,Spain,Forward,13/03/1991
Chidozie Awaziem,Nigeria,Defender,01/01/1997
Federico AzcÃ¡rate,Argentina,Defender,15/06/1984
Baigorri,Spain,Defender,11/08/1983
BarbarÃ­n,Spain,Forward,07/05/1971
Barbero,Spain,Defender,09/05/1968
Bartolo,Spain,Forward,07/10/1968
Batres,Spain,Midfielder,08/01/1986
Bayarri,Spain,Midfielder,13/05/1978
BayÃ³n,Spain,Defender,12/04/1984
Claudio Beauvue,Guadeloupe,Forward,16/04/1988
Belenguer,Spain,Defender,17/12/1972
BermÃºdez,Spain,Defender,19/06/1982
Bernal,Spain,Midfielder,06/04/1968
Berodia,Spain,Midfielder,06/06/1981
Bicho,Spain,Midfielder,20/02/1996
Bidari,Spain,Defender,27/09/1989
Biel Medina,Spain,Defender,22/03/1980
Bizarro,Portugal,Goalkeeper,11/01/1970
Borja LÃ¡zaro,Spain,Forward,05/04/1988
Borja PÃ©rez,Spain,Forward,01/04/1982
Martin Braithwaite,Denmark,Forward,05/06/1991
Darko BraÅ¡anac,Serbia,Midfielder,12/02/1992
Alberto Brignoli,Italy,Goalkeeper,19/08/1991
Bueno,Spain,Forward,20/03/1988
Bustinza,Spain,Defender,02/02/1992
Cabero,Spain,Defender,08/05/1984
Jorge Cabeza,Spain,Defender,27/03/1979
Caibi,Brazil,Defender,21/10/1982
Pablo Calandria,Argentina,Forward,15/03/1982
CÃ¡mara,Spain,Midfielder,09/07/1978
Canabal,Spain,Forward,10/11/1974
Canario,Spain,Midfielder,05/05/1989
Carcedo,Spain,Midfielder,19/08/1973
CÃ¡rcel,Spain,Midfielder,13/06/1974
Carlitos,Portugal,Midfielder,06/03/1977
Carlos,Spain,Defender,19/04/1996
Carlos,Spain,Defender,04/11/1991
Carlos Ãlvarez,Spain,Forward,23/04/1986
Carlos Delgado,Spain,Defender,22/04/1990
Carlos MartÃ­nez,Spain,Midfielder,13/11/1980
Carlos SÃ¡nchez,Spain,Goalkeeper,19/01/1978
Guido Carrillo,Argentina,Forward,25/05/1991
Casado,Spain,Defender,02/11/1975
Casquero,Spain,Midfielder,14/09/1981
Catanha,Spain,Forward,06/03/1972
JosÃ© Antonio Chamot,Argentina,Defender,17/05/1969
Nereo Champagne,Argentina,Goalkeeper,20/01/1985
Christian Rivera,Spain,Midfielder,09/07/1997
Chuli,Spain,Forward,25/01/1991
Chupe,Equatorial Guinea,Forward,09/05/1980
Chupe,Spain,Midfielder,13/01/1986
Chuso,Spain,Midfielder,05/08/1969
Clotet,Spain,Defender,01/12/1972
Codina,Spain,Forward,17/02/1973
Corona,Spain,Defender,08/07/1976
Walter Coyette,Argentina,Midfielder,28/01/1976
Cristian Mora,Spain,Midfielder,02/09/1992
CuÃ©llar,Spain,Forward,02/01/1970
CuÃ©llar,Spain,Goalkeeper,27/05/1984
Dani Barrio,Spain,Goalkeeper,10/02/1987
Dani GÃ³mez,Spain,Defender,16/04/1988
Dani Hernando,Spain,Defender,11/10/1979
Dani Plomer,Spain,Forward,30/11/1998
Dani Ruiz,Spain,Midfielder,10/04/1977
Daniel Ojeda,Spain,Forward,03/12/1994
David Darmon,France,Midfielder,11/03/1974
David,Spain,Midfielder,08/07/1967
David LÃ³pez,Spain,Midfielder,09/10/1989
David Timor,Spain,Midfielder,17/10/1989
De la Vega,Spain,Defender,24/01/1980
