Name,Country,Position,Born
Sonny Ãberg,Sweden,Midfielder,22/11/1958
Peter Abrahamsson,Sweden,Goalkeeper,18/07/1988
Kevin Ackermann,Sweden,Midfielder,24/05/2001
Mohamed Adan,Sweden,Forward,10/01/2000
Amin Affane,Sweden,Midfielder,21/01/1994
Afonso Alves,Brazil,Forward,30/01/1981
AÃ­lton,Brazil,Forward,20/08/1984
Bo Ãkervall,Sweden,Defender,1941
Alex,Brazil,Defender,15/05/1982
Alibek Aliev,Sweden,Forward,16/08/1996
Marcus AllbÃ¤ck,Sweden,Forward,05/07/1973
Filip AlmstrÃ¶m-TÃ¤hti,Sweden,Defender,22/06/1991
Gabriel Altemark-Vanneryr,Sweden,Forward,20/08/1985
Alvaro Santos,Brazil,Forward,30/01/1980
Markus Anderberg,Sweden,Forward,04/08/1988
StÃ¥le Andersen,Norway,Midfielder,07/03/1970
Adam Andersson,Sweden,Midfielder,
Albert Andersson,Sweden,Defender,18/12/1895
Bengt Andersson,Sweden,Goalkeeper,11/08/1966
Fredrik Andersson,Sweden,Goalkeeper,25/10/1988
Knut Andersson,Sweden,Forward,16/06/1903
Otto Andersson,Sweden,Defender,07/05/1910
Sven Andersson,Sweden,Goalkeeper,06/10/1963
Anton Andreasson,Sweden,Midfielder,26/07/1993
Johan Anegrund,Sweden,Defender,31/03/1973
BjÃ¶rn Anklev,Sweden,Midfielder,13/04/1979
Josef Appelgren,Sweden,Forward,29/09/1890
Hakeem Araba,England,Forward,12/02/1991
Claes-Olof Arvidsson,Sweden,Forward,1945
William Atashkadeh,Sweden,Forward,12/04/1992
Jeffrey Aubynn,Sweden,Midfielder,12/05/1977
Jonathan Azulay,Sweden,Defender,05/05/1993
Kent BÃ¤ck,Sweden,Defender,1942
Hjalmar BÃ¤ckstrÃ¶m,Sweden,Goalkeeper,15/07/2000
Samuel Barlay,Sierra Leone,Midfielder,15/09/1986
Nadir Benchenaa,Sweden,Midfielder,02/02/1984
Christofer Bengtsson,Sweden,Defender,16/11/1980
Oskar Bengtsson,Sweden,Goalkeeper,14/01/1885
Robert Bengtsson,Sweden,Defender,04/06/1968
Ãke Bergling,Sweden,Goalkeeper,1943
Adam Bergmark Wiberg,Sweden,Forward,07/05/1997
Erik BergstrÃ¶m,Sweden,Forward,06/01/1886
Gustaf BergstrÃ¶m,Sweden,Forward,04/07/1884
Henrik BergstrÃ¶m,Sweden,Forward,19/01/1889
Andreas Berndtsson,Sweden,Midfielder,21/01/1996
Hans Berndtsson,Sweden,Defender,05/03/1956
Alexander Bernhardsson,Sweden,Midfielder,08/09/1998
Henrik Bertilsson,Sweden,Forward,16/10/1969
Allan Billing,Sweden,Midfielder,12/07/1901
Fredrik BjÃ¶rck,Sweden,Defender,22/10/1979
SigurÃ°ur BjÃ¶rgvinsson,Iceland,Midfielder,22/03/1959
Kristoffer BjÃ¶rk,Sweden,Goalkeeper,31/05/1994
Marcus BjÃ¶rklund,Sweden,,29/05/1976
Petter BjÃ¶rlund,Sweden,Midfielder,06/06/1989
Mikael BjÃ¶rqvist,Sweden,Defender,28/08/1972
Oskar Blank,Sweden,Goalkeeper,02/06/2000
Johan Blomberg,Sweden,Forward,27/10/1969
Thomas Blomberg,Sweden,Midfielder,19/10/1960
Hampus Bohman,Sweden,Defender,12/06/1992
Erik BÃ¶rjesson,Sweden,Forward,01/12/1886
Helge BÃ¶rjesson,Sweden,Defender,
Rune BÃ¶rjesson,Sweden,Forward,05/04/1937
SÃ¶ren BÃ¶rjesson,Sweden,Midfielder,14/03/1956
Bosco,Brazil,Defender,16/11/1980
Abdel Bouraima,Benin,Forward,05/05/1993
Rasmus BoÅ¾iÄ,Sweden,Midfielder,27/10/1996
Tobias Bratt,Sweden,Defender,19/03/1993
Dragoljub BrnoviÄ,Montenegro,Midfielder,02/11/1963
Freddie Brorsson,Sweden,Forward,04/06/1997
Lukas Browning,Sweden,Defender,06/01/1999
Jens Cajuste,Sweden,Midfielder,10/08/1999
Sebastian CarlsÃ©n,Sweden,Midfielder,09/01/1991
