Name,Country,Position,Born
Tarek Abdalla,Germany,Forward,
Jeong-hoon Ahn,South Korea,Midfielder,21/11/1995
Andy Akoteng-Bonsrah,Germany,Forward,06/07/1998
Neim Ameti,Albania,Goalkeeper,17/06/1996
Kristijan Augustinovic,Germany,Midfielder,07/08/1998
Marko Augustinovic,Germany,Midfielder,07/08/1998
Dennis-Marcel Ayas,Germany,Midfielder,
Fabio Bandow,Germany,Midfielder,25/01/1995
Jendrik Bauer,Germany,Forward,07/01/1988
Manuel Brendel,Germany,Forward,09/08/1999
Muhammed Burtakucin,Germany,Midfielder,03/01/1995
Mijo Celebic,Germany,Defender,08/08/1974
Maximilian Danzer,Germany,Defender,07/10/1996
Tino Dehmelt,Germany,Goalkeeper,29/01/1992
Tom Dornick,Germany,Midfielder,04/10/1998
Ramon Dreshaj,Germany,Midfielder,
Mathias Dyreborg,Denmark,Defender,17/07/1992
Matteo Evers,Germany,Midfielder,20/03/1996
Taufeeq Fousseni,Germany,Midfielder,
Jan Haerting,Germany,Goalkeeper,19/03/1989
Semih Halavurta,Turkey,Midfielder,23/02/1998
Steve Harder,Germany,Defender,04/10/1989
Daniel Hauff,Germany,Defender,
Tim Henkis,Germany,Midfielder,30/12/1988
Yannick Heuer,Germany,Goalkeeper,25/03/1986
Patrick Hinrichsen,Philippines,Defender,02/03/1991
Ercan Ileri,Germany,Midfielder,21/09/1997
Damian Ilic,Germany,Midfielder,02/03/1998
Marcell Jansen,Germany,Midfielder,04/11/1985
Dominik Jordan,Germany,Midfielder,27/09/1994
Volkan Karadeniz,Germany,Defender,11/11/1996
Abdoul-Azim Kondo,Germany,Midfielder,
Agonis Krasniqi,Germany,Forward,02/05/1995
Artur KrÃ¼ger,Germany,Defender,10/09/1996
Mark Lafrentz,Germany,Defender,02/03/1990
Sebastian Mahnke,Germany,Forward,08/01/1982
Christopher Mann,Germany,Defender,25/05/1987
Christian Matic,Germany,Midfielder,29/09/1990
Daniel Michalowski,Germany,Defender,20/09/1991
Michele Morrone,Italy,Midfielder,19/06/1999
Joussef Mountassir,Germany,Goalkeeper,11/06/1987
Modou Ndow,Germany,Defender,31/05/1997
Sepehr Nikroo,Germany,Midfielder,08/07/1995
Tom Nitzsche,Germany,Midfielder,29/09/1990
Can ÃkgÃ¼zbogan,Germany,Goalkeeper,01/04/1999
SÃ¶ren Ostermann,Germany,Forward,03/10/1988
Nathaniel Oyeniyi,Nigeria,Defender,26/05/1994
Edward Pfister,Germany,Forward,15/01/1999
Christopher Rieder,Germany,Forward,17/11/1995
Dimitrij Rikspun,Moldova,Midfielder,06/03/1994
Jerry Sampaney,Germany,Midfielder,08/03/1992
Nikolai Scherping,Germany,Goalkeeper,
Steen Schimmelpfennig,Germany,Midfielder,15/01/1999
Max Scholz,Germany,Forward,26/02/1990
Marco SchrÃ¶der,Germany,Defender,08/04/1999
Derrick Schwatke,Germany,Forward,28/02/1989
Bazier Sharifi,Afghanistan,Forward,10/03/1993
Hannes Steckel,Germany,Forward,15/12/1986
Darwin Streubier,Germany,Midfielder,02/08/1996
Veli Sulejmani,Albania,Forward,20/07/1997
Timo Trefzger,Germany,Defender,19/02/1988
Mladen Tunjic,Croatia,Forward,06/10/1985
Michael Ulbricht,Germany,Defender,11/07/1989
Stjepan Vego,Croatia,Defender,09/07/1997
Torben Wacker,Germany,Defender,12/03/1993
Torben WÃ¤schenbach,Germany,Defender,21/07/1993
Okay Wieden,Germany,Defender,01/12/1998
Emre Yasar,Turkey,Midfielder,11/04/1996
