Name,Country,Position,Born
Deniz Arabaci,Belgium,Midfielder,11/03/2003
Lucas Beerten,Belgium,Defender,05/01/2003
Lucas Chantrain,Belgium,Defender,21/10/2004
Thomas Claes,Belgium,Midfielder,26/03/2004
Senne Concas,Belgium,Midfielder,15/05/2004
Bilal El Khannous,Belgium,Midfielder,10/05/2004
Wout Goossens,Belgium,Midfielder,07/03/2003
Chris Lokesa,Belgium,Forward,07/11/2004
Nolan Martens,Belgium,Midfielder,07/07/2004
Tarik Radi,Belgium,Forward,17/04/2003
Ferre Slegers,Belgium,Midfielder,01/12/2004
