Name,Country,Position,Born
Mohammed Abdulai,Ghana,Forward,04/12/1980
Timo Achenbach,Germany,Midfielder,03/09/1982
Ahmet Akbulut,Turkey,Defender,06/01/2002
Sedat Akcay,Turkey,Forward,01/09/1979
Mehmet AkgÃ¼n,Turkey,Midfielder,06/08/1986
Jannik Albert,Germany,Midfielder,14/02/1994
Mihail Aleksandrov,Bulgaria,Midfielder,11/06/1989
Hayrullah AlÄ±cÄ±,Turkey,Forward,07/01/1997
Zlatan AlomeroviÄ,Germany,Goalkeeper,15/06/1991
Abdenour Amachaibou,Morocco,Forward,22/01/1987
Maik Amedick,Germany,Midfielder,21/05/2002
Etienne Amenyido,Germany,Forward,01/03/1998
Hans-JÃ¼rgen Andexer,Germany,Midfielder,19/12/1950
Berkan Aras,Germany,Defender,28/03/2002
Tolgay Arslan,Germany,Forward,16/08/1990
Jonas Arweiler,Germany,Midfielder,10/04/1997
Ahmet Aydincan,Germany,Defender,08/10/1994
Emre Aydinel,Turkey,Forward,14/01/2000
OÄuzhan AydoÄan,Germany,Midfielder,04/02/1997
Burak AygÃ¼n,Turkey,Forward,05/01/1988
Kamal Bafounta,France,Midfielder,08/01/2002
Alaa Bakir,Germany,Forward,15/01/2001
Benyounes Ballout,Morocco,Midfielder,16/08/1979
Maurice Banach,Germany,Forward,09/10/1967
Jannik Bandowski,Germany,Defender,30/03/1994
Eike Bansen,Germany,Goalkeeper,21/02/1998
Ibrahim Barry,Guinea,Forward,01/01/1992
Felix Bastians,Germany,Defender,09/05/1988
Til Bauman,Germany,Defender,29/03/1995
Merlin Baus,Germany,Midfielder,08/02/1993
Jano Baxmann,Germany,Midfielder,18/01/1999
Tobias Beckmann,Germany,Defender,07/07/1979
Christian Beer,Germany,Goalkeeper,03/05/1988
Rico Benatelli,Germany,Midfielder,17/03/1992
Igor Bendovskyi,Ukraine,Midfielder,06/10/1981
Said Benkarit,Germany,Forward,12/01/1995
Paul-Philipp Besong,Germany,Forward,06/10/2000
Jan-Niklas Beste,Germany,Defender,04/01/1999
Dominik Beutler,Germany,Midfielder,11/06/1994
Serdar BingÃ¶l,Turkey,Defender,06/01/1996
Jan Binias,Germany,Defender,05/01/1998
David Blacha,Poland,Midfielder,22/10/1990
Marvin Bobka,Germany,Goalkeeper,05/02/1998
Felix BÃ¶hmer,Germany,Midfielder,29/06/1995
Tim BÃ¶hmer,Germany,Defender,09/01/2002
Vincenz Borgelt,Germany,Defender,21/07/1994
Konstantinos Bougias,Greece,Midfielder,02/08/1986
Hendrik Brauer,Germany,Defender,07/02/1996
Pierre Brauer,Germany,Defender,24/06/1990
Christian BrÃ¼cker,Germany,Defender,
Simon BrÃ¼ning,Germany,Midfielder,29/09/1987
Jacob Bruun Larsen,Denmark,Forward,19/09/1998
Markus Brzenska,Germany,Defender,25/05/1984
Marvin Buchta,Poland,Defender,29/01/1993
Francis Bugri,Germany,Midfielder,09/11/1980
HÃ¼seyin Bulut,Turkey,Forward,29/03/1999
Nils Burchardt,Germany,Midfielder,08/02/1997
DÅ¾enis BurniÄ,Germany,Midfielder,22/05/1998
Vladimir But,Russia,Midfielder,07/09/1977
Nizamettin ÃalÄ±Åkan,Turkey,Midfielder,20/03/1987
Burak ÃamoÄlu,Turkey,Midfielder,05/10/1996
Onur Cenik,Germany,Defender,24/09/1992
Peter Cichon,Germany,Midfielder,
Lukas Äuljak,Croatia,Defender,05/03/1996
Semih DaÄlar,Turkey,Forward,08/01/1993
Shlomi Dahan,Israel,Midfielder,30/09/1979
JoÃ£o DÃ¤mmers,Germany,Defender,01/03/1995
David Danielzyk,Germany,Defender,
Marcel Deelen,Germany,Defender,28/03/1994
Yannick Deichmann,Germany,Midfielder,13/08/1994
Alexander Deiters,Germany,Midfielder,19/08/1993
Marco Dej,Germany,Midfielder,05/01/1989
Kerem Demirbay,Germany,Midfielder,03/07/1993
Stefan Demuth,Germany,Goalkeeper,18/10/1984
Nik Deubel,Germany,Goalkeeper,29/03/2002
SÃ¶ren Dieckmann,Germany,Defender,16/01/1996
Lars Dietz,Germany,Midfielder,07/01/1997
Nils Dietz,Germany,Midfielder,20/01/1996
Henning Dirks,Germany,Forward,11/02/1994
Domagoj DroÅ¾Äek,Croatia,Midfielder,20/03/1996
Marvin Ducksch,Germany,Forward,07/03/1994
Jeremy Dudziak,Germany,Midfielder,28/08/1995
Marc Dyballa,Germany,Midfielder,26/01/1984
Sven Dyballa,Germany,Defender,10/05/1986
Patrick Dytko,Poland,Midfielder,28/03/1994
Thomas Eisfeld,Germany,Midfielder,18/01/1993
Volkan Ekici,Germany,Midfielder,23/03/1991
Mohammed El Gourari,Germany,Midfielder,08/01/2000
Mohamed El-Bouazzati,Morocco,Defender,09/01/1997
Redouan El-Hossaini,Germany,Midfielder,05/02/1991
Erdal Eraslan,Turkey,Defender,17/09/1977
YalÃ§Ä±n Erkaya,Germany,Midfielder,10/01/1988
Jannik Erlmann,Germany,Goalkeeper,05/01/1993
Kai Bastian Evers,Germany,Defender,05/05/1990
Constantin Fath,Germany,Midfielder,12/07/2000
Saban Ferati,Germany,Midfielder,03/08/1990
Ramzi Ferjani,Germany,Defender,11/04/2001
Bradley Fink,Switzerland,Forward,17/04/2003
Thorsten Fink,Germany,Midfielder,29/10/1967
Hakan Firat,Germany,Forward,26/10/1987
Bastian Fischer,Germany,Defender,25/01/1991
Junior Flores,USA,Midfielder,26/04/1996
Johannes Focher,Germany,Goalkeeper,20/01/1990
Patrick Franke,Germany,Defender,04/10/1996
Patrick Fritsch,Germany,Defender,21/12/1998
Moritz Fritz,Germany,Midfielder,15/07/1993
Salvatore Gambino,Germany,Midfielder,27/11/1983
Christian Gandu,Congo,Forward,01/07/1992
SÃ¶ren Gerlach,Germany,Goalkeeper,29/06/1991
Daniel Ginczek,Germany,Forward,13/04/1991
Mert GÃ¶Ã§kan,Germany,Defender,29/04/2001
Steffen GÃ¶cke,Germany,Goalkeeper,14/02/1995
Fabian GÃ¶tze,Germany,Midfielder,03/06/1990
Mario GÃ¶tze,Germany,Midfielder,03/06/1992
Arek Grad,Poland,Forward,06/09/1977
Manuel Greshake,Germany,Midfielder,24/01/1995
Selcuk GÃ¼lec,Turkey,Forward,09/07/1990
OgÃ¼n GÃ¼mÃ¼ÅtaÅ,Germany,Forward,14/01/1996
Berkant GÃ¼ner,Turkey,Midfielder,19/02/1998
Ãetin GÃ¼ner,Turkey,Forward,28/12/1977
Koray GÃ¼nter,Germany,Defender,16/08/1994
GÃ¶ktan GÃ¼rpÃ¼z,Germany,Midfielder,22/01/2003
Pascal Harder,Germany,Defender,16/01/1988
Lucien Hawryluk,Germany,Goalkeeper,05/10/2000
Christopher Heermann,Germany,Defender,10/01/1989
Maximilian Heinrich,Germany,Defender,07/03/1985
AndrÃ© Heitmeier,Germany,Midfielder,18/03/1985
Marc Heitmeier,Germany,Defender,18/03/1985
Tim Helwig,Germany,Forward,23/05/1990
Dennis Hense,Germany,Defender,05/10/1988
Tim Hermes,Germany,Defender,08/06/1991
Heiko Hesse,Germany,Defender,
Rilind Hetemi,Germany,Midfielder,11/02/2002
Daniel Heuer Fernandes,Portugal,Goalkeeper,13/11/1992
Nico Hillenbrand,Germany,Defender,25/05/1987
Carsten Hinz,Germany,Midfielder,07/08/1975
Benjamin Hoffmann,Germany,Defender,28/09/1979
Stefan Hoffmann,Germany,Midfielder,11/01/1984
Tim Hohmann,Germany,Goalkeeper,31/12/1992
Julius HÃ¶lscher,Germany,Midfielder,29/05/1993
Kevin Holz,Germany,Forward,20/01/1994
JÃ¶rg Horn,Germany,Defender,06/05/1964
Marc Hornschuh,Germany,Defender,02/03/1991
Julian Horstmann,Germany,Midfielder,09/11/1999
Thorsten Horz,Germany,Midfielder,03/07/1978
Ivan Hosman,Croatia,Goalkeeper,11/11/1989
Victor Hounyovi-Huschka,Germany,Forward,31/12/1991
Jonathan HÃ¼bbe,Germany,Goalkeeper,19/01/1995
Gerrit Hundshagen,Germany,Defender,10/08/1976
Uwe HÃ¼nemeier,Germany,Defender,09/01/1986
Thorsten Hunger,Germany,Midfielder,
Jonas Hupe,Germany,Goalkeeper,01/12/1999
Sandy Husic,Bosnia-Herzegovina,Defender,01/04/1998
David HÃ¼sing,Germany,Defender,24/01/1996
Yassin Ibrahim,Germany,Midfielder,09/02/2000
Eike Immel,Germany,Goalkeeper,27/11/1960
Alexander Isak,Sweden,Forward,21/09/1999
Issa Issa,Lebanon,Midfielder,07/03/1984
Ralph Jonca,Germany,Defender,31/08/1987
Devrim KalaycÄ±,Turkey,Defender,21/09/1977
Jonas Kaltenmaier,Germany,Midfielder,13/05/1993
Anargyros Kampetsis,Greece,Forward,06/05/1999
Marcel Kandziora,Germany,Midfielder,04/02/1990
Helmut Kapitulski,Germany,Forward,29/09/1934
Ahmet Karayildiz,Turkey,Forward,24/02/1977
Philipp Kasperidus,Germany,Defender,30/01/1984
Robin Kehr,Germany,Forward,22/02/2000
Reda Khadra,Germany,Midfielder,04/07/2001
Luca Kilian,Germany,Defender,01/09/1999
Colin Kleine-Bekel,Germany,Defender,24/01/2003
Matthias Kleinsteiber,Germany,Goalkeeper,05/01/1978
Leon KluÃmann,Germany,Goalkeeper,18/08/2002
Ansgar Knauff,Germany,Midfielder,10/01/2002
Benjamin Knoche,Germany,Defender,11/10/1978
Niclas Knoop,Germany,Defender,29/01/2001
Nico Knystock,Germany,Defender,19/10/1995
Julian Koch,Germany,Defender,11/11/1990
EyÃ¼p KoÃ§oÄlu,Germany,Midfielder,14/01/1995
David Kopacz,Poland,Midfielder,29/05/1999
Sahin KÃ¶secik,Germany,Midfielder,12/01/1998
Serhat Kot,Turkey,Midfielder,12/08/1997
Steve Kozole,Germany,Defender,28/01/1981
Michael Krahn,Germany,Defender,26/09/1989
Florian Kringe,Germany,Midfielder,18/08/1982
Marc-AndrÃ© Kruska,Germany,Midfielder,29/06/1987
Tim KÃ¼bel,Germany,Defender,12/07/1993
Lloyd Kuffour,Germany,Defender,22/05/2002
Michael KÃ¼gler,Germany,Midfielder,03/09/1981
Hoppy Kurrat,Germany,Midfielder,15/05/1942
Mehmet Kurt,Germany,Midfielder,09/01/1996
Tarik Kurt,Turkey,Forward,22/02/1998
Alexander Kuschmann,Germany,Goalkeeper,21/08/1979
Gabriel Kyeremateng,Germany,Forward,28/04/1999
Yannick Langesberg,Germany,Defender,31/03/1994
Alexander Laukart,Germany,Midfielder,25/10/1998
Lukas Lenz,Germany,Forward,18/01/1989
Sascha Lindner,Germany,Midfielder,22/01/1979
