Name,Country,Position,Born
Walter Abbott,England,Midfielder,07/12/1877
Gary Ablett,England,Defender,19/11/1965
Charlee Adams,England,Midfielder,16/02/1995
Charlie Adams,England,Midfielder,16/05/1994
Che Adams,England,Forward,13/07/1996
Dele Adebola,Nigeria,Forward,23/06/1975
Tom Adeyemi,England,Midfielder,24/10/1991
Agus Medina,Spain,Midfielder,08/09/1994
Kemy Agustien,CuraÃ§ao,Midfielder,20/08/1986
Alan Ainscow,England,Midfielder,15/07/1953
Scott Allan,Scotland,Forward,28/11/1991
George Allen,England,Defender,23/01/1932
Jimmy Allen,England,Defender,16/10/1909
Oliver Allen,England,Forward,07/09/1986
Sam Alsop,England,Defender,04/06/1985
Sone Aluko,Nigeria,Midfielder,19/02/1989
Ãlvaro,Spain,Forward,19/05/1991
Darren Ambrose,England,Midfielder,29/02/1984
Geoff Anderson,England,Midfielder,26/11/1944
Darren Anderton,England,Forward,03/03/1972
Kenneth Armstrong,England,Defender,31/01/1959
Koby Arthur,Ghana,Midfielder,03/01/1996
Akwasi Asante,Netherlands,Forward,06/09/1992
Kevin Ashley,England,Defender,31/12/1968
Gordon Astall,England,Forward,22/09/1927
Peter Atherton,England,Defender,06/04/1970
Ian Atkins,England,Defender,16/01/1957
Bertie Auld,Scotland,Midfielder,23/04/1938
Trevor Aylott,England,Forward,26/11/1957
Jack Badham,England,Defender,31/01/1919
Horace Bailey,England,Goalkeeper,03/07/1881
Odin Bailey,England,Midfielder,08/12/1999
Geraldo Bajrami,Albania,Defender,24/09/1999
Arkadiusz BÄk,Poland,Midfielder,06/10/1974
Alan Ball sr.,England,Forward,26/09/1924
Francis Banks,England,Goalkeeper,1865
Keith Bannister,England,Midfielder,13/11/1930
Eric Barber,Ireland,Forward,18/01/1942
Fred Barber,England,Goalkeeper,26/08/1963
Ned Barkas,England,Defender,21/11/1901
Ray Barlow,England,Midfielder,17/08/1926
Neil Barnes,England,Goalkeeper,28/12/1983
Paul Barnes,England,Forward,16/11/1967
Dave Barnett,England,Defender,16/04/1967
Jim Barrett,England,Forward,05/11/1930
Stewart Barrowclough,England,Midfielder,29/10/1951
Andy Barrowman,England,Forward,27/11/1984
Kyle Bartley,England,Defender,22/05/1991
Percy Barton,England,Defender,19/08/1895
Jonathan Bass,England,Defender,01/07/1976
Malcolm Beard,England,Midfielder,03/05/1942
Jean Beausejour,Chile,Midfielder,01/06/1984
Jason Beckford,England,Forward,14/02/1970
