Name,Country,Position,Born
Mykola Agapov,Ukraine,Forward,13/11/1993
Levan Arveladze,Ukraine,Midfielder,06/04/1993
Maxym Banasevich,Ukraine,Midfielder,31/01/1995
Viktor Bannikov,Ukraine,Goalkeeper,28/04/1938
Yevhenii Belych,Ukraine,Midfielder,09/01/2001
Denys Bezborodko,Ukraine,Forward,31/05/1994
Andrey Biba,Ukraine,Midfielder,10/08/1937
Andriy Bogdanov,Ukraine,Midfielder,21/01/1990
Vadym Bovtruk,Ukraine,Midfielder,18/08/1991
Anton Bratkov,Ukraine,Defender,14/05/1993
Pylyp Budkovsky,Ukraine,Forward,10/03/1992
Evgen Chepurnenko,Ukraine,Midfielder,06/09/1989
Ruslan Chernenko,Ukraine,Midfielder,29/09/1992
Evgen Cherpurnenko,Ukraine,Forward,06/08/1989
Oleksandr Chornomorets,Ukraine,Defender,05/04/1993
Evgen Chumak,Ukraine,Midfielder,25/08/1995
Maksym Degtyarev,Ukraine,Forward,30/05/1993
Oleksandr Derebchynsky,Ukraine,Forward,07/05/1991
Andriy Dombrovskyi,Ukraine,Midfielder,12/08/1995
Evgen Eliseev,Ukraine,Defender,06/03/1989
Vitaliy Ermakov,Ukraine,Defender,07/06/1992
Aderinsola Eseola,Ukraine,Forward,28/06/1991
Artem Favorov,Ukraine,Midfielder,19/03/1994
Denis Favorov,Ukraine,Defender,01/04/1991
Andriy Fedorenko,Ukraine,Goalkeeper,09/01/1984
Aleksandr Filipov,Ukraine,Forward,23/10/1992
Oleksandr Filippov,Ukraine,Forward,23/10/1992
Giorgi Gadrani,Georgia,Defender,30/09/1994
Leonid Gaidarzhi,Ukraine,Midfielder,20/05/1959
Denis Galenkov,Ukraine,Forward,13/10/1995
Ruslan Gilazev,Ukraine,Forward,07/01/1977
Andriy Gitchenko,Ukraine,Defender,02/10/1984
Oleksandr Golovko,Ukraine,Defender,11/03/1995
Yuriy Gruznov,Ukraine,Goalkeeper,22/02/1947
Oleksiy Gutsulyak,Ukraine,Forward,25/12/1997
Mykhaylo Hurka,Ukraine,Midfielder,21/11/1975
Maksym Imerekov,Ukraine,Defender,23/01/1991
Oleksandr Iosha,Ukraine,Defender,03/02/1994
Ruslan Ivashko,Ukraine,Midfielder,10/11/1986
Vladislav Kalitvintsev,Ukraine,Midfielder,04/01/1993
Egor Kartushov,Ukraine,Midfielder,05/01/1991
Yarema Kavatsiv,Ukraine,Forward,10/02/1986
Oleg Kerchu,Ukraine,Midfielder,06/07/1984
Dmytro Khlyobas,Ukraine,Forward,09/05/1994
Ihor Kiriienko,Ukraine,Forward,05/03/1986
Ruslan Kisil,Ukraine,Forward,23/10/1991
Luka Koberidze,Georgia,Midfielder,09/09/1994
Bogdan Kogut,Ukraine,Goalkeeper,10/10/1987
Dmitri Kolodin,Ukraine,Midfielder,12/04/1978
Yuri Komyagin,Ukraine,Midfielder,06/05/1984
Petro Kondratyuk,Ukraine,Midfielder,21/04/1979
Yukhym Konoplia,Ukraine,Defender,26/08/1999
Oleksandr Kovpak,Ukraine,Forward,02/02/1983
Mykhaylo Kozak,Ukraine,Forward,20/01/1991
Anton Kramar,Ukraine,Midfielder,05/02/1988
Konstantin Kravchenko,Ukraine,Midfielder,24/09/1986
Yakiv Kripak,Ukraine,Midfielder,13/06/1978
Maksim Kuchinskiy,Ukraine,Goalkeeper,28/06/1988
Oleg Kuznetsov,Ukraine,Defender,22/03/1963
Orest Kuzyk,Ukraine,Midfielder,17/05/1995
Dmytro Lelyuk,Ukraine,Defender,08/01/1974
Maksim Leshchenko,Ukraine,Defender,18/01/1992
Vladimir Lisenko,Ukraine,Forward,20/04/1988
Igor Litovka,Ukraine,Goalkeeper,05/06/1988
Serhiy Lyulka,Ukraine,Defender,22/03/1990
Konstantin Machnovskiy,Ukraine,Goalkeeper,01/01/1989
Roman Machulenko,Ukraine,Midfielder,26/07/1992
Maksym Maksymenko,Ukraine,Defender,28/05/1990
Yaroslav Matviiv,Ukraine,Forward,15/12/1992
Sergey Melashenko,Ukraine,Goalkeeper,16/08/1996
Vadim Melnik,Ukraine,Defender,16/05/1980
Rienat Mochuliak,Ukraine,Midfielder,15/02/1998
Sergey Morozov,Ukraine,Midfielder,30/04/1950
Mikhail Moskalenko,Ukraine,Goalkeeper,1953
Andriy Mostoviy,Ukraine,Midfielder,24/01/1988
Bogdan Myshenko,Ukraine,Midfielder,29/12/1994
Dmitriy Nemchaninov,Ukraine,Defender,27/01/1990
Vladislav Ohirya,Ukraine,Midfielder,03/04/1990
Denys Oliynyk,Ukraine,Forward,16/06/1987
Temur Partsvaniya,Ukraine,Defender,06/07/1991
Evgen Past,Ukraine,Goalkeeper,16/03/1988
Vitali Pryndeta,Ukraine,Defender,02/02/1993
Vladimir Pyanykh,Ukraine,Defender,05/12/1951
Timur Rustamov,Ukraine,Defender,08/03/1989
Mykhaylo Sergiychuk,Ukraine,Forward,29/07/1991
Vyacheslav Sharpar,Ukraine,Midfielder,02/06/1987
Pavlo Shchedrakov,Ukraine,Defender,17/01/1985
Oleg Shevchenko,Ukraine,Goalkeeper,23/04/1988
Denis Shevchuk,Russia,Forward,23/01/1992
Sergiy Sitalo,Ukraine,Goalkeeper,20/12/1986
Denis Skepskiy,Ukraine,Midfielder,05/07/1987
Yuriy Slabyshev,Ukraine,Forward,06/10/1979
Andrii Slinkin,Ukraine,Defender,19/02/1991
Valeriy Sokolenko,Ukraine,Defender,21/06/1982
Mykhaylo Sokolovsky,Ukraine,Midfielder,15/11/1951
Igor Soldat,Ukraine,Defender,10/03/1991
Sergey Starenkiy,Ukraine,Midfielder,20/09/1984
Oleksandr Stetsenko,Ukraine,Defender,02/03/1990
Kyrylo Sydorenko,Ukraine,Defender,25/07/1985
Joonas Tamm,Estonia,Forward,02/02/1992
Maksym Tatarenko,Ukraine,Goalkeeper,07/05/1999
Andriy Totovytskyy,Ukraine,Midfielder,20/01/1993
Dmitriy Tyapushkin,Ukraine,Goalkeeper,06/11/1964
Oleksandr Volkov,Ukraine,Midfielder,07/02/1989
Vadym Voronchenko,Ukraine,Midfielder,11/01/1989
Roman Vovk,Ukraine,Forward,05/03/1997
